pxd,pmid,pmc,jaccard,title
PXD000070,24657495,PMC4047622,0.469,Plasmodium falciparum schizont phosphoproteome
PXD000999,25100859,PMC4223503,0.433,DeMix:efficient identification of co-fragmented peptides
PXD001061,25218447,PMC4259010,0.479,Uncovering Global SUMOylation Signaling Networks in a Site-Specific Manner
PXD001468,26076430,PMC4515955,0.426,A mass-tolerant database search identifies a large proportion of unassigned spectra in shotgun proteomics as modified pe
PXD002266,26149123,PMC4507021,0.587,Phosphoproteomics reveals malaria parasite Protein Kinase G as a signalling hub regulating egress and invasion
PXD002619,26725330,PMC4725767,0.461,Proteomic maps of breast cancer subtypes
PXD004613,28091603,PMC5241828,0.476,Repo-Man/PP1 regulates heterochromatin formation in interphase
PXD005207,28680058,PMC5498596,0.545,PfCDPK1 mediated signaling in erythrocytic stages of Plasmodium falciparum
PXD005554,28675934,PMC8078728,0.513,Analysis of ECM-enriched samples using different methods
PXD008440,29681787,PMC5898006,0.389,The response to neoadjuvant chemoradiotherapy to 5-fluorouracil in locally advanced colorectal cancer patients: a predic
PXD010357,31395880,PMC6687710,0.607,Proteogenomic Landscape of Squamous Cell Lung Cancer 1: Digestion QC with DIA LC-MS/MS
PXD012986,31699904,PMC6944235,0.568,"Reproducibility, specificity and accuracy of DIA quantification - DDA analysis"
PXD014557,31699905,PMC6944231,0.645,Microdissected brain tissue Alzheimer's
PXD015744,32860207,PMC7716908,0.564,Co-expression analysis of label-free proteomics data reveals prognostic biomarkers in pancreatic ductal adenocarcinoma
PXD015833,32284562,PMC7116245,0.73,An Exported Kinase Family Mediates Species-Specific Erythrocyte Remodelling and Virulence in Human Malaria
PXD018830,33855848,PMC8155562,0.515,DIA-MS analysis of 21 breast cancer tissues
PXD019394,21183079,PMC3035969,0.194,A Tissue-Specific Atlas of Mouse Protein Phosphorylation and Expression
PXD022741,33630598,PMC8210948,0.444,Categorization of Phosphorylation Site Behavior During the Diauxic Shift in Saccharomyces cerevisiae
PXD026287,35236848,PMC8891334,0.456,Two zinc finger proteins with functions in m6A writing interact with HAKAI
PXD029966,35236989,PMC9592526,0.624,Establishment of fetomaternal tolerance via glycan-mediated B cell suppression
PXD030403,35037038,PMC8860584,0.409,Thyroid Hormone Dependent Transcriptional Programming by TRb Requires SWI/SNF Chromatin Remodelers
PXD031991,35680998,PMC7613034,0.533,A phylogenetic and proteomic reconstruction of eukaryotic chromatin evolution
PXD032098,36097293,PMC9507969,0.496,Structure of the AAA-ATPase Drg1 during extraction of Rlp24 from pre-60S particles
PXD036832,37330510,PMC10276868,0.421,A pharmacoproteomic landscape of organotypic intervention responses in gram-negative sepsis
PXD039898,37328468,PMC10275869,0.488,Structure and antigenicity of divergent Henipavirus fusion glycoproteins
PXD040176,37207340,PMC10325924,0.385,Composition of the mitoribosome of Diplonema papillatum
PXD041681,37681923,PMC10486756,0.468,Changes in the proteome of platelets from patients with critical progression of COVID-19
