Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	sampleChecksum	sampleAccession
PXD001474-Sample 1	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 1	OEI6337.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6337.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	62c4e542169636ea99be2a1cc41628cfdd0a3fe2c5e90300170e09a1840b1a6e	SAMEA7718119
PXD001474-Sample 2	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 2	OEI6343.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6343.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	2fed7653b6016b4878c5b3b70cf0137582e2dbcf71632dfcff75bbb8ac31e1ac	SAMEA7718120
PXD001474-Sample 3	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 3	OEI6353.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6353.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	2a62a2734699f3941de7656036b6301975635c6ea8bd700d91df455dae2bb182	SAMEA7718121
PXD001474-Sample 4	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 4	OEI6359.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6359.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	a4e76a46be26975339f55787df8ddd129bffd102c62aeed881ef33dfe594846c	SAMEA7718122
PXD001474-Sample 5	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 5	OEI6361.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6361.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	b9c84e75eee5865bde10b04c6df7efd08b1b8927538b9eb3c6bfdd7810da1048	SAMEA7718123
PXD001474-Sample 6	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 6	OEI6363.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6363.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	5d3d773adce5a6d8486eb03dd3f93766d7e28ddd6e8a1df0cec876c948f1c2f2	SAMEA7718124
PXD001474-Sample 7	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 7	OEI6367.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6367.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	9d57b5db3f0a5adb20bb1a418d321daf8d1c00eed583c0f21da67b0ebcccb46a	SAMEA7718125
PXD001474-Sample 8	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 8	OEI6371.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6371.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	e8b108cbc6846470808154c7f6d146213918e25f356e60966fa4026b9efbe96f	SAMEA7718126
PXD001474-Sample 9	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 9	OEI6373.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6373.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	7980ca8352a3a1a9e5a8c2a9ae0ff8395677aba8fd9bef39639d0ebe3445efb4	SAMEA7718127
PXD001474-Sample 10	Homo sapiens	liver	not applicable	not applicable	adult	HCV-related hepatic fibrosis	not avaailable	not available	47Y-61Y2M	run 10	OEI6375.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001474/OEI6375.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	5 ppm	0.4 Da	biopsy	2dafb38ab13f49aa0f62e32c2a0f54f727775d7dc59078d2decd1f59ee100d3e	SAMEA7718128
