source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	characteristics[treatment]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[instrument]	comment[MS2 analyzer type]	comment[depletion]	comment[collision energy]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[number of missed cleavages]	factor value[treatment]	material type	sampleChecksum	sampleAccession
PXD005507-sample1	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	1	OEII15601	OEII15601.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15601.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Cu complex	cell	f629b6142a548a7a54bcebfa657064ee81590f8acc02e16a8f7491856d3d5c6a	SAMEA7713471
PXD005507-sample2	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	2	OEII15607	OEII15607.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15607.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Cu complex	cell	77fcf8dd720617a29150d90f9bbd93633d71d8a7518b6d65fce3b3e8d575bbc2	SAMEA7713472
PXD005507-sample3	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	3	OEII15617	OEII15617.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15617.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Cu complex	cell	fc527386b61b93352e8d5095facda2e002d804b6054618440906e784de4c0aec	SAMEA7713473
PXD005507-sample4	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	4	OEII15629	OEII15629.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15629.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Cu complex	cell	2afe2e8e1fb362aa7d29c2a97f86b328abeb0e2eed71bd96706507e933630659	SAMEA7713474
PXD005507-sample5	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	5	OEII15635	OEII15635.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15635.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Cu complex	cell	152d907a3d28ea8a805156bd0f158cb07cafc18d650b6daf3b72ed5846d1298a	SAMEA7713475
PXD005507-sample6	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	6	OEII15637	OEII15637.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15637.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Cu complex	cell	d6579dd39fe8bfc9a75b0527220eb07d6a7de7fe78d32fef41f816e4cd3c9d90	SAMEA7713476
PXD005507-sample7	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	1	OEII15605	OEII15605.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15605.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	DMSO	cell	93dfadca79cb9b54f844a3b7efaf255d823b9c6e8293789141388ecacad3b17c	SAMEA7713477
PXD005507-sample8	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	2	OEII15609	OEII15609.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15611.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	DMSO	cell	f76b3ba738728931d9560ad7118dd8f66198d535250511b021d69b654a306061	SAMEA7713478
PXD005507-sample9	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	3	OEII15611	OEII15611.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15613.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	DMSO	cell	8af3e6690d82b56b6c28566f28dcd4319e6dfe637171dcb2c6796a87ee8a8532	SAMEA7713479
PXD005507-sample10	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	4	OEII15619	OEII15619.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15619.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	DMSO	cell	bbdf78eb3acfe9f12f8bf9180f2aa36758c9100038b109d487e7a0e5aba27760	SAMEA7713480
PXD005507-sample11	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	5	OEII15623	OEII15623.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15623.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	DMSO	cell	7ebbcbffbfcb71a82a6d25d5163900665c2da28e3f7307810599585218fd010a	SAMEA7713481
PXD005507-sample12	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	6	OEII15631	OEII15631.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15631.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	DMSO	cell	8f27d69751503cb87dcea99c41902638f87837aceca4886e8636646065bcf658	SAMEA7713482
PXD005507-sample13	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Mn complex	1	OEII15603	OEII15603.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15603.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Mn complex	cell	3d7b6da7d2c9d5cd06748b42f98a3f504705cd4b07a1b236810be360ffbf1709	SAMEA7713483
PXD005507-sample14	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Mn complex	2	OEII15615	OEII15615.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15615.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Mn complex	cell	1fd397929cb81be9ffe8069d18f267a698d59fa81fe8b53d7904a70ff0ac6784	SAMEA7713484
PXD005507-sample15	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Mn complex	3	OEII15621	OEII15621.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15621.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Mn complex	cell	3030b3d468ba99a4c4a36d2e1e1fa36047b6f96df333a4f7fb29c6933777f6b1	SAMEA7713485
PXD005507-sample16	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Mn complex	4	OEII15625	OEII15625.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15625.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Mn complex	cell	ffb1489d82d6e20645fb09df1267964dbe97b6591ede01e6dae37371519edb8d	SAMEA7713486
PXD005507-sample17	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Mn complex	5	OEII15633	OEII15633.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15633.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Mn complex	cell	33a3aa3af8ccd67fb9c3b8c67b9c872d307a989d7d43175471387c572c512f35	SAMEA7713487
PXD005507-sample18	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Mn complex	6	OEII15639	OEII15639.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15639.raw	1	no fractionation	label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	linear ion trap	not available	35% NCE	collision-induced dissociation	NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)	NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M	NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C	5 ppm	0.4 Da	1	Mn complex	cell	fcc456c0b0671f497a71f9cb73547868097cd10118290925db7ac1079b3475e3	SAMEA7713488
