Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[organism part]	sampleChecksum	sampleAccession
PXD020192-Sample 1	Homo sapiens	frontal cortex	not applicable	not applicable	adult	none	not available	not available	not available	1	run 1	S1_Frontal_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S1_Frontal_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	frontal	261b7fa338400e23a51d199e8cbb6755e2e02391fc58a8f9e1d00d347ca733a2	SAMEA7714830
PXD020192-Sample 2	Homo sapiens	frontal cortex	not applicable	not applicable	adult	none	not available	not available	not available	2	run 2	S2_Frontal_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S2_Frontal_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	frontal	956ee35de598974758a553ed00725290c9d76515f8b28e86feab8df97d7f0151	SAMEA7714831
PXD020192-Sample 3	Homo sapiens	parietal	not applicable	not applicable	adult	none	not available	not available	not available	1	run 3	S3_Parietal_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S3_Parietal_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	parietal	1b3723526f1cf37fec5dba02685ca3b97022f310c101c5f796c0060484ab149a	SAMEA7714832
PXD020192-Sample 4	Homo sapiens	parietal	not applicable	not applicable	adult	none	not available	not available	not available	2	run 4	S4_Parietal_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S4_Parietal_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	parietal	b9b9c6be0cc47c9a0c7c685d3bdae4e44d4badfcb8ca3e5994c2268c6a5a1418	SAMEA7714833
PXD020192-Sample 5	Homo sapiens	temporal lobe	not applicable	not applicable	adult	none	not available	not available	not available	1	run 5	S5_Temporal_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S5_Temporal_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	temporal	64548f65d2e3e6a8cd7a20580522c21d9ef8997ced81c8248db5386ab63ea2d1	SAMEA7714834
PXD020192-Sample 6	Homo sapiens	temporal lobe	not applicable	not applicable	adult	none	not available	not available	not available	2	run 6	S6_Temporal_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S6_Temporal_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	temporal	11742c7cbb8b8eb36ce015107a22f23000f95f1256c99865ea9643e8d622b1aa	SAMEA7714835
PXD020192-Sample 7	Homo sapiens	occipital cortex	not applicable	not applicable	adult	none	not available	not available	not available	1	run 7	S7_Occipital_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S7_Occipital_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	occipital	28d78b80a4cc93c32d60e9b1fb7da2a5648e90f00cb976b679a768145c31a574	SAMEA7714836
PXD020192-Sample 8	Homo sapiens	occipital cortex	not applicable	not applicable	adult	none	not available	not available	not available	2	run 8	S8_Occipital_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S8_Occipital_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	occipital	7f726f73f127d823fec8f4cc799a10edfdb2b3704948ef9735c84a7277a655f9	SAMEA7714837
PXD020192-Sample 9	Homo sapiens	cerebellum	not applicable	not applicable	adult	none	not available	not available	not available	1	run 9	S9_Cerebellum_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S9_Cerebellum_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	cerebellum	c64ee7468b21d09b5a1d5e5688c901cd19ce2da6c99aac951ea3a1e54a6ed3ed	SAMEA7714838
PXD020192-Sample 10	Homo sapiens	cerebellum	not applicable	not applicable	adult	none	not available	not available	not available	2	run 10	S10_Cerebellum_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S10_Cerebellum_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	cerebellum	445ee9f22d2fcb094a8c8556a043215406e719393876aae09eb3bd056725fbaf	SAMEA7714839
PXD020192-Sample 11	Homo sapiens	spinal cord	not applicable	not applicable	adult	none	not available	not available	not available	1	run 11	S11_SpinalCord_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S11_SpinalCord_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	spinalcord	06c71dadb0583e91e963525c52504aababf284a8a70bdf22abd0ce03dd944a85	SAMEA7714840
PXD020192-Sample 12	Homo sapiens	spinal cord	not applicable	not applicable	adult	none	not available	not available	not available	2	run 12	S12_SpinalCord_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S12_SpinalCord_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	spinalcord	cdc5424073e99325414a07eebde5cba03cc53dd6a537ab98b6afe518631a46c9	SAMEA7714841
PXD020192-Sample 13	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	1	run 13	S13_Brain_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S13_Brain_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	brain	31981653177de957efa4feabd74ffe2aa068f2b321c33cea566f3f18b47a0a24	SAMEA7714842
PXD020192-Sample 14	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	2	run 14	S14_Brain_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S14_Brain_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	brain	e1c46ab72cbe47caab29fb7827a5b8433a1e9b24fa0a261d4d46d04481c0bf0c	SAMEA7714843
PXD020192-Sample 15	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	1	run 15	S15_MedullaOblongata_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S15_MedullaOblongata_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	medulla oblongata	c9f88bce2ca0963206a74224481996791674bb83b134b1c4361dae3eca076203	SAMEA7714844
PXD020192-Sample 16	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	2	run 16	S16_MedullaOblongata_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S16_MedullaOblongata_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	medulla oblongata	0b319535039a6d6b5e78c0c2b87ac547e31ed2592d02a9a8156054aa08b85b3f	SAMEA7714845
PXD020192-Sample 17	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	1	run 17	S17_Placenta_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S17_Placenta_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	placenta	a872f21bd0b24ee8552812c6d4082680096675221c691b481a2231053ab3f133	SAMEA7714846
PXD020192-Sample 18	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	2	run 18	S18_Placenta_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S18_Placenta_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	placenta	d6d336222e83709e8a8e10501f9056677418886bdbf56adbb70ad0ffa2357e03	SAMEA7714847
