source name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[infect]	characteristics[time]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[label].1	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters ]	comment[modification parameters ].1	comment[modification parameters ].2	comment[cleavage agent details]	comment[cleavage agent details].1	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[infect]	factor value[time]	factor value[label]	factor value[label].1
2uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_2uL_MAA_R1.raw			SILAC light	
2uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_2uL_MAA_R1.raw			SILAC intermediate	
2uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_2uL_MAA_R1.raw			SILAC heavy	
2uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_2uL_MAA_R2.raw			SILAC light	
2uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_2uL_MAA_R2.raw			SILAC intermediate	
2uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_2uL_MAA_R2.raw			SILAC heavy	
3uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_3uL_MAA_R1.raw			SILAC light	
3uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_3uL_MAA_R1.raw			SILAC intermediate	
3uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_3uL_MAA_R1.raw			SILAC heavy	
3uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_3uL_MAA_R2.raw			SILAC light	
3uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_3uL_MAA_R2.raw			SILAC intermediate	
3uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_3uL_MAA_R2.raw			SILAC heavy	
4uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_4uL_MAA_R1.raw			SILAC light	
4uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_4uL_MAA_R1.raw			SILAC intermediate	
4uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_4uL_MAA_R1.raw			SILAC heavy	
4uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_4uL_MAA_R2.raw			SILAC light	
4uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_4uL_MAA_R2.raw			SILAC intermediate	
4uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_4uL_MAA_R2.raw			SILAC heavy	
5uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_5uL_MAA_R1.raw			SILAC light	
5uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_5uL_MAA_R1.raw			SILAC intermediate	
5uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_5uL_MAA_R1.raw			SILAC heavy	
5uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_5uL_MAA_R2.raw			SILAC light	
5uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_5uL_MAA_R2.raw			SILAC intermediate	
5uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_5uL_MAA_R2.raw			SILAC heavy	
6uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_6uL_MAA_R1.raw			SILAC light	
6uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_6uL_MAA_R1.raw			SILAC intermediate	
6uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_6uL_MAA_R1.raw			SILAC heavy	
6uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_6uL_MAA_R2.raw			SILAC light	
6uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_6uL_MAA_R2.raw			SILAC intermediate	
6uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_6uL_MAA_R2.raw			SILAC heavy	
7uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_7uL_MAA_R1.raw			SILAC light	
7uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_7uL_MAA_R1.raw			SILAC intermediate	
7uL_MAA_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_7uL_MAA_R1.raw			SILAC heavy	
7uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_7uL_MAA_R2.raw			SILAC light	
7uL_MAA_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220701_QE1_TB_7uL_MAA_R2.raw			SILAC intermediate	
