source name	characteristics[age]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[individual]	characteristics[organism part]	characteristics[organism]	characteristics[sex]	technology type	assay name	comment[cleavage agent details]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]
PROETD16430isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate1	Trypsin	PROETD16430isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0
PROETD16452isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate2	Trypsin	PROETD16452isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	2	lesSDRF v0.1.0
PROETD16452isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate3	Trypsin	PROETD16462isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	3	lesSDRF v0.1.0
PROETD16472isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate4	Trypsin	PROETD16472isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	4	lesSDRF v0.1.0
PROETD16483isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate5	Trypsin	PROETD16483isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	5	lesSDRF v0.1.0
PROETD16511isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate6	Trypsin	PROETD16511isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	6	lesSDRF v0.1.0
PROETD16533isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate7	Trypsin	PROETD16533isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	7	lesSDRF v0.1.0
PROETD16555isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate8	Trypsin	PROETD16555isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	8	lesSDRF v0.1.0
PROETD16577isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate9	Trypsin	PROETD16577isa.raw		1	0.4Da	Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	9	lesSDRF v0.1.0
PROETD16599isa	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate10	Trypsin	PROETD16599isa.raw		1		Velos Plus	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	10	lesSDRF v0.1.0
