source name	characteristics[age]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[individual]	characteristics[organism part]	characteristics[organism]	characteristics[sex]	technology type	assay name	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]
QExHF10717std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate1	Trypsin	QExHF10717std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0
QExHF10735std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate2	Trypsin	QExHF10735std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	2	lesSDRF v0.1.0
QExHF10748std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate3	Trypsin	QExHF10748std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	3	lesSDRF v0.1.0
QExHF10772std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate4	Trypsin	QExHF10772std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	4	lesSDRF v0.1.0
QExHF10791std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate5	Trypsin	QExHF10791std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	5	lesSDRF v0.1.0
QExHF10810std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate6	Trypsin	QExHF10810std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	6	lesSDRF v0.1.0
QExHF10829std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate7	Trypsin	QExHF10829std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	7	lesSDRF v0.1.0
QExHF10847std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate8	Trypsin	QExHF10847std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	8	lesSDRF v0.1.0
QExHF10862std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate9	Trypsin	QExHF10862std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	9	lesSDRF v0.1.0
QExHF10877std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate10	Trypsin	QExHF10877std.raw	1	0.02Da	Q Exactive HF	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	10	lesSDRF v0.1.0
