source name	characteristics[organism]	characteristics[organism part]	characteristics[heart weight]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
Sample 1	Homo sapiens	2D_MM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 1	proteomic profiling by mass spectrometry	XZ-5355_1	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 2	Homo sapiens	2D_MM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 2	proteomic profiling by mass spectrometry	XZ-5355_2	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 3	Homo sapiens	2D_MM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 3	proteomic profiling by mass spectrometry	XZ-5355_3	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 4	Homo sapiens	2D_MM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 4	proteomic profiling by mass spectrometry	XZ-5355_4	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 5	Homo sapiens	2D_CM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 5	proteomic profiling by mass spectrometry	XZ-5355_5	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 6	Homo sapiens	2D_CM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 6	proteomic profiling by mass spectrometry	XZ-5355_6	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 7	Homo sapiens	2D_CM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 7	proteomic profiling by mass spectrometry	XZ-5355_7	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 8	Homo sapiens	2D_CM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 8	proteomic profiling by mass spectrometry	XZ-5355_8	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 9	Homo sapiens	3D_MM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 9	proteomic profiling by mass spectrometry	XZ-5355_9	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
Sample 10	Homo sapiens	3D_MM	not available	not available	not available	not available	not available	MDA-MB-231	breast cancer	1	not available	run 10	proteomic profiling by mass spectrometry	XZ-5355_10	NT=label free sample	1	1	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	20 ppm	breast cancer
