Source Name	Characteristics[organism]	Characteristics[organism part]	assay name	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	comment[label]	comment[fractionation method]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[ms2 mass analyzer].1	comment[instrument]	comment[separation]	comment[dissociation method]	comment[dissociation method].1	comment[HCD collision energy]	comment[HCD collision energy].1	comment[HCD collision energy].2	comment[CID collision energy]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	comment[technical replicate]	characteristics[synthetic peptide]
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_s_1	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GD1-TUM_mod_citrullination_s_1_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_s_1	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GD1-TUM_mod_citrullination_s_1_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_s_1	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BD1-TUM_mod_citrullination_s_1_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_s_2	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GD2-TUM_mod_citrullination_s_2_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_s_2	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GD2-TUM_mod_citrullination_s_2_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_s_2	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BD2-TUM_mod_citrullination_s_2_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_1	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA1-TUM_mod_citrullination_l_1_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_1	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA1-TUM_mod_citrullination_l_1_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_1	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA1-TUM_mod_citrullination_l_1_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_13	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BB1-TUM_mod_citrullination_l_13_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
