source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[pooled sample]	characteristics[spiked compound]	characteristics[spiked compound].1	characteristics[synthetic peptide]	technology type	assay name	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[modification parameters].4	comment[modification parameters].5	comment[modification parameters].6	comment[modification parameters].7	comment[modification parameters].8	comment[modification parameters].9	comment[modification parameters].10	comment[precursor mass tolerance]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[MS1 scan range]	comment[tool metadata]
pooled1	Mus musculus		3M		not applicable	Not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls			proteomic profiling by mass spectrometry		NT=Trypsin	30 NCE	HF1_022616.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K	NT=Butyryl;AC=1289;MT=Variable;PP=Anywhere;TA=K	NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K		NT=Crotonyl;AC=1363;MT=Variable;PP=Anywhere;TA=K			5 ppm	1.0	DDA	300m/z - 1300m/z	lesSDRF v0.1.0
pooled2	Mus musculus		3M		not applicable	Not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls			proteomic profiling by mass spectrometry		NT=Trypsin	30 NCE	HF1_022617.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K	NT=Butyryl;AC=1289;MT=Variable;PP=Anywhere;TA=K	NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K		NT=Crotonyl;AC=1363;MT=Variable;PP=Anywhere;TA=K			5 ppm	2.0	DDA	300m/z - 1300m/z	lesSDRF v0.1.0
pooled3	Mus musculus		3M		not applicable	Not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls			proteomic profiling by mass spectrometry		NT=Trypsin	30 NCE	HF1_022618.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K	NT=Butyryl;AC=1289;MT=Variable;PP=Anywhere;TA=K	NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K		NT=Crotonyl;AC=1363;MT=Variable;PP=Anywhere;TA=K			5 ppm	3.0	DDA	300m/z - 1300m/z	lesSDRF v0.1.0
Mix34	Mus musculus		3M		not applicable	Not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	CT=mixture;CV=in-house	synthetic	proteomic profiling by mass spectrometry		NT=Trypsin	30 NCE	HF1_022620a.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K	NT=Butyryl;AC=1289;MT=Variable;PP=Anywhere;TA=K	NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K					5 ppm		DDA	300m/z - 1300m/z	lesSDRF v0.1.0
H3WT-188	Mus musculus		3M	1.0	not applicable	Not available	normal	M					proteomic profiling by mass spectrometry		NT=Trypsin	27,32 NCE	HF2_017315.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K		NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K							DDA	300m/z - 1300m/z	lesSDRF v0.1.0
H3WT-104	Mus musculus		3M	2.0	not applicable	Not available	normal	M					proteomic profiling by mass spectrometry		NT=Trypsin	27,32 NCE	HF2_017316.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K		NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K							DDA	300m/z - 1300m/z	lesSDRF v0.1.0
H3WT-101	Mus musculus		3M	3.0	not applicable	Not available	normal	M					proteomic profiling by mass spectrometry		NT=Trypsin	27,32 NCE	HF2_017321.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K		NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K							DDA	300m/z - 1300m/z	lesSDRF v0.1.0
H3WT-x	Mus musculus		3M	4.0	not applicable	Not available	normal	M					proteomic profiling by mass spectrometry		NT=Trypsin	27,32 NCE	HF2_017322.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K		NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K							DDA	300m/z - 1300m/z	lesSDRF v0.1.0
H3-mix5	Mus musculus		3M		not applicable	Not available	normal	M			CT=mixture;CV=in-house		proteomic profiling by mass spectrometry		NT=Trypsin	27,32 NCE	HF2_017327.raw	beam-type collision-induced dissociation	1	20 ppm	Q Exactive HF	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K		NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term	NT=Propionyl;AC=58;MT=Variable;PP=Anywhere;TA=K	NT=Lactyl;AC=2114;MT=Variable;PP=Anywhere;TA=K	NT=Propionyl;AC=58;MT=Variable;PP=Any N-term;TA=S,T,Y						DDA	300m/z - 1300m/z	lesSDRF v0.1.0
MD_sample1	Mus musculus		3M		not applicable	Not available	normal	M					proteomic profiling by mass spectrometry		NT=V8-E;AC=MS_1001315	60-100 ms 	20230331-0417_ECLIP_1004936_ONJ_TR_NeoHILIC_HisCro_sample1_all.raw	electron transfer dissociation	1	20 ppm	Orbitrap Eclipse	label free sample	NT=Acetyl;AC=1;MT=Variable;PP=Anywhere;TA=K		NT=Dimethyl;AC=36;MT=Variable;PP=Anywhere;TA=K	NT=Trimethyl;AC=37;MT=Variable;PP=Anywhere;TA=K					NT=Crotonyl;AC=1363;MT=Variable;PP=Anywhere;TA=K	NT=Methyl;AC=34;MT=Variable;PP=Anywhere;TA=K	NT=Acetyl;AC=1;MT=Variable;PP= Protein N-term;TA=K	1.03 Da		DDA	500m/z - 1000m/z	lesSDRF v0.1.0
