source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	technology type	assay name	comment[cleavage agent details]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[precursor mass tolerance]	comment[technical replicate]	factor value[transient transfections ]	factor value[induced ]	factor value[gene inserts in Flp-In T?REx-293 cells]	comment[tool metadata]	factor value[technical replicate]
Untrans No I	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 1	NT=Trypsin	EXV000132	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	1	No	No	No	lesSDRF v0.1.0	
Untrans No II	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 2	NT=Trypsin	EXV000133	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	2	No	No	No	lesSDRF v0.1.0	
Untrans No III	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 3	NT=Trypsin	EXV000134	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	3	No	No	No	lesSDRF v0.1.0	
Untrans No IV	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 4	NT=Trypsin	EXV000135	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	4	No	No	No	lesSDRF v0.1.0	
Untrans No V	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 5	NT=Trypsin	EXV000136	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	5	No	No	No	lesSDRF v0.1.0	
Untrans Yes I	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 6	NT=Trypsin	EXV000137	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	1	No	Yes	No	lesSDRF v0.1.0	
Untrans Yes II	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 7	NT=Trypsin	EXV000138	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	2	No	Yes	No	lesSDRF v0.1.0	
Untrans Yes III	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 8	NT=Trypsin	EXV000139	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	3	No	Yes	No	lesSDRF v0.1.0	
Untrans Yes IV	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 9	NT=Trypsin	EXV000140	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	4	No	Yes	No	lesSDRF v0.1.0	
Untrans Yes V	Homo sapiens	embryonic kidney	1	Flp-In T-Rex 293	embryonic cell (metazoa)	Not available	proteomic profiling by mass spectrometry	run 10	NT=Trypsin	EXV000141	collision-induced dissociation	1	0.02 Da	Orbitrap Exploris 480	label free sample	NT=Carbamidomethyl;AC=4;;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=35;;MT=Variable;PP=Anywhere;TA=M	5ppm	5	No	Yes	No	lesSDRF v0.1.0	
