source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662 exposure	run 1	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GW_4_1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_1.raw
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662 exposure	run 2	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GW_4_2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_2.raw
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662 exposure	run 3	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GW_4_3.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_3.raw
Sample 4	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662 exposure	run 4	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GW_4_4.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_4.raw
Sample 5	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662+10 µM MINCH exposure	run 5	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWMINCH_6_1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_1.raw
Sample 6	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662+10 µM MINCH exposure	run 6	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWMINCH_6_2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_2.raw
Sample 7	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662+10 µM MINCH exposure	run 7	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWMINCH_6_3.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_3.raw
Sample 8	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662+10 µM MINCH exposure	run 8	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWMINCH_6_4.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_4.raw
Sample 9	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662+rosiglitazone exposure	run 9	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWrosi_5_1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_1.raw
Sample 10	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662+rosiglitazone exposure	run 10	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWrosi_5_2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_2.raw
Sample 11	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662+rosiglitazone exposure	run 11	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWrosi_5_3.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_3.raw
Sample 12	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662+rosiglitazone exposure	run 12	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_GWrosi_5_4.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_4.raw
Sample 13	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, 10 µM MINCH exposure	run 13	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_MINCH_3_1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_1.raw
Sample 14	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, 10 µM MINCH exposure	run 14	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_MINCH_3_2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_2.raw
Sample 15	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, 10 µM MINCH exposure	run 15	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_MINCH_3_3.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_3.raw
Sample 16	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, 10 µM MINCH exposure	run 16	proteomic profiling by mass spectrometry	1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD059390/145_SGBS_MINCH_3_4.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_4.raw
