source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[compound]	technology type	assay name	comment[cleavage agent details]	comment[cleavage agent details].1	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]
F_Exp1_EST_03	Homo sapiens	bone marrow	1	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Estradiol	proteomic profiling by mass spectrometry	F_Exp1_EST_03	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_100_AM_F_Exp1_EST_03	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	3	lesSDRF v0.1.0
F_Exp1_BPAF_03	Homo sapiens	bone marrow	1	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Bisphenol AF	proteomic profiling by mass spectrometry	F_Exp1_BPAF_03	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_102_AM_F_Exp1_BPAF_03	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	3	lesSDRF v0.1.0
F_Exp2_0h_03	Homo sapiens	bone marrow	2	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Untreated	proteomic profiling by mass spectrometry	F_Exp2_0h_03	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_104_AM_F_Exp2_0h_03	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	3	lesSDRF v0.1.0
F_Exp2_DMSO_03	Homo sapiens	bone marrow	2	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	DMSO	proteomic profiling by mass spectrometry	F_Exp2_DMSO_03	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_106_AM_F_Exp2_DMSO_03	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	3	lesSDRF v0.1.0
F_Exp2_EST_03	Homo sapiens	bone marrow	2	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Estradiol	proteomic profiling by mass spectrometry	F_Exp2_EST_03	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_108_AM_F_Exp2_EST_03	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	3	lesSDRF v0.1.0
F_Exp2_BPAF_03	Homo sapiens	bone marrow	2	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Bisphenol AF	proteomic profiling by mass spectrometry	F_Exp2_BPAF_03	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_110_AM_F_Exp2_BPAF_03	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	3	lesSDRF v0.1.0
F_Exp1_0h_01	Homo sapiens	bone marrow	1	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Untreated	proteomic profiling by mass spectrometry	F_Exp1_0h_01	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_34_AM_F_Exp1_0h_01	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	1	lesSDRF v0.1.0
F_Exp1_DMSO_01	Homo sapiens	bone marrow	1	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	DMSO	proteomic profiling by mass spectrometry	F_Exp1_DMSO_01	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_36_AM_F_Exp1_DMSO_01	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	1	lesSDRF v0.1.0
F_Exp1_EST_01	Homo sapiens	bone marrow	1	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Estradiol	proteomic profiling by mass spectrometry	F_Exp1_EST_01	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_38_AM_F_Exp1_EST_01	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	1	lesSDRF v0.1.0
F_Exp1_BPAF_01	Homo sapiens	bone marrow	1	bone marrow cell	cultured cell	Not applicable	Not applicable	Not applicable	Not applicable	Bisphenol AF	proteomic profiling by mass spectrometry	F_Exp1_BPAF_01	NT=Trypsin/P; CS='(?<=[KR])'	NT=Lys-C; CS='(?<=K)(?\!P)'	20221214_40_AM_F_Exp1_BPAF_01	1	10 ppm	Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	10 ppm	1	lesSDRF v0.1.0
