source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	assay name	 technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[instrument]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]
HDF_KO_1	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast vim -/-	1	not applicable	not applicable	not applicable	HDF_KO_1	proteomic profiling by mass spectrometry	1	20230810_HDF_KO_1_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
HDF_KO_2	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast vim -/-	2	not applicable	not applicable	not applicable	HDF_KO_2	proteomic profiling by mass spectrometry	1	20230810_HDF_KO_2_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002039	NT=Trypsin;AC=MS:1001252	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002733	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
HDF_KO_3	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast vim -/-	3	not applicable	not applicable	not applicable	HDF_KO_3	proteomic profiling by mass spectrometry	1	20230810_HDF_KO_3_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002040	NT=Trypsin;AC=MS:1001253	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002734	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
HDF_KO_4	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast vim -/-	4	not applicable	not applicable	not applicable	HDF_KO_4	proteomic profiling by mass spectrometry	1	20230810_HDF_KO_4_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002041	NT=Trypsin;AC=MS:1001254	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002735	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
HDF_WT_1	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast	1	not applicable	not applicable	not applicable	HDF_WT_1	proteomic profiling by mass spectrometry	1	20230810_HDF_WT_1_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002042	NT=Trypsin;AC=MS:1001255	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002736	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
HDF_WT_2	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast	2	not applicable	not applicable	not applicable	HDF_WT_2	proteomic profiling by mass spectrometry	1	20230810_HDF_WT_2_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002043	NT=Trypsin;AC=MS:1001256	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002737	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
HDF_WT_3	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast	3	not applicable	not applicable	not applicable	HDF_WT_3	proteomic profiling by mass spectrometry	1	20230810_HDF_WT_3_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002044	NT=Trypsin;AC=MS:1001257	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002738	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
HDF_WT_4	Homo sapiens	Skin	fibroblast	Normal	Human dermal fibroblast	4	not applicable	not applicable	not applicable	HDF_WT_4	proteomic profiling by mass spectrometry	1	20230810_HDF_WT_4_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002045	NT=Trypsin;AC=MS:1001258	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
MCF7_EV_KO_WCL_1	Homo sapiens	Breast; Mammary gland	epithelial cell	Breast Cancer	MCF7	1	not applicable	not applicable	not applicable	MCF7_EV_KO_WCL_1	proteomic profiling by mass spectrometry	1	20230810_MCF7_EV_KO_WCL_1_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002046	NT=Trypsin;AC=MS:1001259	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002740	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
MCF7_EV_KO_WCL_2	Homo sapiens	Breast; Mammary gland	epithelial cell	Breast Cancer	MCF7	2	not applicable	not applicable	not applicable	MCF7_EV_KO_WCL_2	proteomic profiling by mass spectrometry	1	20230810_MCF7_EV_KO_WCL_2_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002047	NT=Trypsin;AC=MS:1001260	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002741	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
MCF7_EV_KO_WCL_3	Homo sapiens	Breast; Mammary gland	epithelial cell	Breast Cancer	MCF7	3	not applicable	not applicable	not applicable	MCF7_EV_KO_WCL_3	proteomic profiling by mass spectrometry	1	20230810_MCF7_EV_KO_WCL_3_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002048	NT=Trypsin;AC=MS:1001261	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002742	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
MCF7_EV_KO_WCL_4	Homo sapiens	Breast; Mammary gland	epithelial cell	Breast Cancer	MCF7	4	not applicable	not applicable	not applicable	MCF7_EV_KO_WCL_4	proteomic profiling by mass spectrometry	1	20230810_MCF7_EV_KO_WCL_4_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002049	NT=Trypsin;AC=MS:1001262	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002743	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
MCF7_EV_WT_WCL_1	Homo sapiens	Breast; Mammary gland	epithelial cell	Breast Cancer	MCF7	1	not applicable	not applicable	not applicable	MCF7_EV_WT_WCL_1	proteomic profiling by mass spectrometry	1	20230810_MCF7_EV_WT_WCL_1_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002050	NT=Trypsin;AC=MS:1001263	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002744	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
MCF7_EV_WT_WCL_2	Homo sapiens	Breast; Mammary gland	epithelial cell	Breast Cancer	MCF7	2	not applicable	not applicable	not applicable	MCF7_EV_WT_WCL_2	proteomic profiling by mass spectrometry	1	20230810_MCF7_EV_WT_WCL_2_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002051	NT=Trypsin;AC=MS:1001264	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002745	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
MCF7_EV_WT_WCL_3	Homo sapiens	Breast; Mammary gland	epithelial cell	Breast Cancer	MCF7	3	not applicable	not applicable	not applicable	MCF7_EV_WT_WCL_3	proteomic profiling by mass spectrometry	1	20230810_MCF7_EV_WT_WCL_3_800ng_FAIMS.raw	1	NT=label free sample;AC=MS:1002052	NT=Trypsin;AC=MS:1001265	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002746	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm
