Source Name	characteristics[sample type]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[synthetic molecule]	characteristics[biological replicate]	Assay Name	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[cleavage agent details]	comment[instrument]	comment[label]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]
Immunopeptidomics_cell_model_JY_ETV6-RUNX1|E5_3_FAIMS-DDA	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Lentivirus mCherry-T2A-ETV6-RUNX1|E5_3	1	Immunopeptidomics FAIMS-DDA	1	1	MAPs_20240927_FAIMS-DDA_LC135MG_FAIMS_1Inj_4CV_IP0058_20Mi_S07.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY_ETV6-RUNX1|E5_3_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Lentivirus mCherry-T2A-ETV6-RUNX1|E5_3	1	Immunopeptidomics FAIMS-PRM	1	1	CQDM_20241017_noprec_LC60MG_FAIMS-PRM_tRIAHvLt2PTM_IP0058_S0102_20Mi_R1.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY_ETV6-RUNX1|E5_3_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Lentivirus mCherry-T2A-ETV6-RUNX1|E5_3	1	Immunopeptidomics FAIMS-PRM	2	1	CQDM_20241017_noprec_LC60MG_FAIMS-PRM_tRIAHvLt2PTM_IP0058_S0102_20Mi_R2.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY_ETV6-RUNX1|E5_3_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Lentivirus mCherry-T2A-ETV6-RUNX1|E5_3	1	Immunopeptidomics FAIMS-PRM	3	1	CQDM_20241017_noprec_LC60MG_FAIMS-PRM_tRIAHvLt2PTM_IP0058_S0102_20Mi_R3.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY_ETV6-RUNX1|E5_3_NAKED_FAIMS-DDA	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Lentivirus ETV6-RUNX1|E5_3(Naked)	1	Immunopeptidomics FAIMS-DDA	1	1	MAPs_20240927_FAIMS-DDA_LC135MG_FAIMS_1Inj_4CV_IP0058_20Mi_S08.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl_FAIMS-DDA	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-DDA	1	1	MAPs_20240927_FAIMS-DDA_LC135MG_FAIMS_1Inj_4CV_IP0058_20Mi_S02.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-PRM	1	1	CQDM_20241018_noprec_LC60MG_FAIMS-PRM_tRIAHvLt2PTM_IP0058_S7_20Mi_R1.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-PRM	2	1	CQDM_20241018_noprec_LC60MG_FAIMS-PRM_tRIAHvLt2PTM_IP0058_S7_20Mi_R2.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-PRM	3	1	CQDM_20241018_noprec_LC60MG_FAIMS-PRM_tRIAHvLt2PTM_IP0058_S7_20Mi_R3.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY_ETV6-RUNX1|E5_4_FAIMS-DDA	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Lentivirus mCherry-T2A-ETV6-RUNX1|E5_4	1	Immunopeptidomics FAIMS-DDA	1	1	MAPs_20250630_FAIMS-DDA_IP0069_20Mi_QC_S17.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
