source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[compound based treatment]	characteristics[environmental stress treatment]	characteristics[disease]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	factor value[compound based treatment]	factor value[environmental stress treatment]
P1	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	1	no enrichment	normoxia_mono_1	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT126	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P2	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	2	no enrichment	normoxia_mono_2	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT127n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P3	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	3	no enrichment	normoxia_mono_3	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT127c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P4	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	4	no enrichment	normoxia_mono_4	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT128n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P5	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	5	no enrichment	normoxia_pff_1	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT128c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P6	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	6	no enrichment	normoxia_pff_2	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT129n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P7	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	7	no enrichment	normoxia_pff_3	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT129c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P8	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	8	no enrichment	normoxia_pff_4	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT130n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P9	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	9	no enrichment	hypoxia_mono_1	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT130c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P10	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	10	no enrichment	hypoxia_mono_2	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT131	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P11	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	11	no enrichment	hypoxia_mono_3	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT131c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P12	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	12	no enrichment	hypoxia_mono_4	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT132n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P13	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	13	no enrichment	hypoxia_pff_1	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT132c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P14	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	14	no enrichment	hypoxia_pff_2	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT133n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P15	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	15	no enrichment	hypoxia_pff_3	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT133c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P16	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	16	no enrichment	hypoxia_pff_4	proteomic profiling by mass spectrometry	1	JM10806.raw	1	TMT134n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P1	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	1	no enrichment	normoxia_mono_1	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT126	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P2	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	2	no enrichment	normoxia_mono_2	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT127n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P3	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	3	no enrichment	normoxia_mono_3	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT127c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P4	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	4	no enrichment	normoxia_mono_4	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT128n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
P5	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	5	no enrichment	normoxia_pff_1	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT128c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P6	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	6	no enrichment	normoxia_pff_2	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT129n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P7	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	7	no enrichment	normoxia_pff_3	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT129c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P8	mus musculus	substantia nigra	not applicable	not applicable	pff injection	21% oxygen	parkinsons disease	8	no enrichment	normoxia_pff_4	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT130n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	21% oxygen
P9	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	9	no enrichment	hypoxia_mono_1	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT130c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P10	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	10	no enrichment	hypoxia_mono_2	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT131	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P11	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	11	no enrichment	hypoxia_mono_3	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT131c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P12	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	11% oxygen	parkinsons disease	12	no enrichment	hypoxia_mono_4	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT132n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	11% oxygen
P13	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	13	no enrichment	hypoxia_pff_1	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT132c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P14	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	14	no enrichment	hypoxia_pff_2	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT133n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P15	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	15	no enrichment	hypoxia_pff_3	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT133c	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P16	mus musculus	substantia nigra	not applicable	not applicable	pff injection	11% oxygen	parkinsons disease	16	no enrichment	hypoxia_pff_4	proteomic profiling by mass spectrometry	1	JM10807.raw	2	TMT134n	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	pff injection	11% oxygen
P1	mus musculus	substantia nigra	not applicable	not applicable	monomer injection	21% oxygen	parkinsons disease	1	no enrichment	normoxia_mono_1	proteomic profiling by mass spectrometry	1	JM10808.raw	3	TMT126	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos	monomer injection	21% oxygen
