source name	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	characteristics[organism]	characteristics[organism part]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[data file]	comment[technical replicate]	comment[tool metadata]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	factor value[group]
00818_HF_RL_20679	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20200818_HF_RL_20679	proteomic profiling by mass spectrometry	1	label free sample	NT=Q Exactive HF Orbitrap	20200818_HF_RL_20679.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	WT
00818_HF_RL_20680	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20200818_HF_RL_20680	proteomic profiling by mass spectrometry	1	label free sample	NT=Q Exactive HF Orbitrap	20200818_HF_RL_20680.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	WT
00818_HF_RL_20681	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20200818_HF_RL_20681	proteomic profiling by mass spectrometry	1	label free sample	NT=Q Exactive HF Orbitrap	20200818_HF_RL_20681.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	WT
00818_HF_RL_20685	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20200818_HF_RL_20685	proteomic profiling by mass spectrometry	1	label free sample	NT=Q Exactive HF Orbitrap	20200818_HF_RL_20685.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	CCT4-Halo
00818_HF_RL_20686	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20200818_HF_RL_20686	proteomic profiling by mass spectrometry	1	label free sample	NT=Q Exactive HF Orbitrap	20200818_HF_RL_20686.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	CCT4-Halo
00818_HF_RL_20687	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20200818_HF_RL_20687	proteomic profiling by mass spectrometry	1	label free sample	NT=Q Exactive HF Orbitrap	20200818_HF_RL_20687.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	CCT4-Halo
30811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample01	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample01	proteomic profiling by mass spectrometry	1	label free sample	NT=Exploris 480 Orbitrap	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample01.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	WT
30811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample02	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample02	proteomic profiling by mass spectrometry	1	label free sample	NT=Exploris 480 Orbitrap	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample02.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	WT
30811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample03	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample03	proteomic profiling by mass spectrometry	1	label free sample	NT=Exploris 480 Orbitrap	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample03.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	WT
30811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample10	not available	not available	not available	not available	not available	not available	1	not available	homo sapiens	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample10	proteomic profiling by mass spectrometry	1	label free sample	NT=Exploris 480 Orbitrap	20230811_EXPL6_NiKr_SA_LC12-19_Orbi4804_Sample10.raw	1	MaxQuant_v2.7.0.0	AC=MS:1003221;NT=Data-Dependent Acquisition	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	not available	NT=Carbamidomethyl (C);MT=Fixed	PFD4_Halo
