field	raw_value	normalized_to	similarity	count	status
acquisition	DDA	DDA	1.000	2193	mapped
acquisition	DIA	DIA	1.000	295	mapped
acquisition	Not specified		0.000	16	unmapped
acquisition	PRM		0.000	9	unmapped
acquisition	SRM		0.000	5	unmapped
acquisition	WWA		0.000	3	unmapped
acquisition	MRM		0.000	2	unmapped
acquisition	MS3		0.000	2	unmapped
acquisition	SWATH MS		0.000	1	unmapped
cell_line	HeLa	HeLa	1.000	169	exact_match
cell_line	HEK293T	HEK293T	1.000	98	exact_match
cell_line	HEK293	HEK293	1.000	70	exact_match
cell_line	A549	A549	1.000	40	exact_match
cell_line	MDA-MB-231	MDA-MB-231	1.000	39	exact_match
cell_line	Jurkat	Jurkat	1.000	35	exact_match
cell_line	U2OS	U2-OS	1.000	34	exact_match
cell_line	HCT116	HCT-116	1.000	32	exact_match
cell_line	MCF7	MCF-7	1.000	24	exact_match
cell_line	MCF-7	MCF-7	1.000	23	exact_match
cell_line	SH-SY5Y	SH-SY5Y	1.000	22	exact_match
cell_line	HepG2	HepG2	1.000	22	exact_match
cell_line	A375	A375	1.000	20	exact_match
cell_line	MCF10A	MCF-10A	1.000	15	exact_match
cell_line	K562	K-562	1.000	15	exact_match
cell_line	THP-1	THP-1	1.000	13	exact_match
cell_line	SW480	SW-480	1.000	12	exact_match
cell_line	HEK 293T	HEK293T	1.000	10	exact_match
cell_line	SW620	SW-620	1.000	7	exact_match
cell_line	A431	A-431	1.000	7	exact_match
cell_line	A2780	A2780	1.000	7	exact_match
cell_line	HEK-293	HEK293	1.000	6	exact_match
cell_line	OVCAR5	OVCAR5	1.000	6	exact_match
cell_line	SKOV3	SKOV3	1.000	6	exact_match
cell_line	MDA-MB-468	MDA-MB-468	1.000	6	exact_match
cell_line	HEK-293T	HEK293T	1.000	6	exact_match
cell_line	Ramos	RAMOS	1.000	5	exact_match
cell_line	PC9	PC-9	1.000	5	exact_match
cell_line	HCC1806	HCC-1806	1.000	5	exact_match
cell_line	ZR-75-1	ZR-75-1	1.000	5	exact_match
cell_line	Hela	HeLa	1.000	5	exact_match
cell_line	59M	59M	1.000	5	exact_match
cell_line	HL-60	HL-60	1.000	5	exact_match
cell_line	LNCaP	LNCaP	1.000	5	exact_match
cell_line	HEK 293	HEK293	1.000	5	exact_match
cell_line	HEK293F	HEK293F	1.000	5	exact_match
