pxd	run	acquisition	cell_line	cell_part	disease	enrichment	fractionation	fragmentation	instrument	labeling	organism	tissue
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_1		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_10		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_11		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_12		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_2		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_3		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_4		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_5		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_6		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_7		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_8		HeLa								Homo sapiens	
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_9		HeLa								Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac01		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac02		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac03		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac04		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac05		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac06		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac07		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac08		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac09		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac10		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac11		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac12		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac13		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac14		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac15		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac16		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac17		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac18		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac19		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac20		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac21		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac22		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac23		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac01		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac02		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac03		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac04		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac05		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac06		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac07		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac08		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac09		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac10		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac11		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac12		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac13		HEK293				True				Homo sapiens	
