pxd	run	organism	tissue	disease	cell_line	instrument	fragmentation	collision_energy	enzymes	modifications	labeling	enrichment	fraction_identifier	fractionation
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_1h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120327QEx2_RS1_50nl-min_0k1HeLa_14h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_10h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_1h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_5h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_3h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_8h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120330QEx2_RS1_50nl-min_100ngHeLa_14h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_5h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120309QEx2_RS1_50nl-min_0k1HeLa_3h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120309QEx2_RS1_50nl-min_0k1HeLa_8h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120327QEx2_RS1_50nl-min_0k1HeLa_5h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120327QEx2_RS1_50nl-min_0k1HeLa_10h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
