pxd	run	sample_base	fraction_id	pattern_type	group_size
PXD000072	OR5_111110_MD_LLW2_F13	OR5_111110_MD_LLW2	13	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F14	OR5_111110_MD_LLW2	14	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F15	OR5_111110_MD_LLW2	15	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F16	OR5_111110_MD_LLW2	16	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F17	OR5_111110_MD_LLW2	17	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F18	OR5_111110_MD_LLW2	18	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F19	OR5_111110_MD_LLW2	19	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F20	OR5_111110_MD_LLW2	20	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F21	OR5_111110_MD_LLW2	21	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F22	OR5_111110_MD_LLW2	22	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F23	OR5_111110_MD_LLW2	23	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F24	OR5_111110_MD_LLW2	24	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F25	OR5_111110_MD_LLW2	25	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F26	OR5_111110_MD_LLW2	26	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F28	OR5_111110_MD_LLW2	28	explicit_f	16
PXD000072	OR5_111110_MD_LLW2_F30	OR5_111110_MD_LLW2	30	explicit_f	16
PXD000072	OR5_111206_MD_LLW3_F11	OR5_111206_MD_LLW3	11	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F12	OR5_111206_MD_LLW3	12	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F13	OR5_111206_MD_LLW3	13	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F14_2	OR5_111206_MD_LLW3	14	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F14	OR5_111206_MD_LLW3	14	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F15	OR5_111206_MD_LLW3	15	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F15_2	OR5_111206_MD_LLW3	15	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F16	OR5_111206_MD_LLW3	16	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F17	OR5_111206_MD_LLW3	17	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F18	OR5_111206_MD_LLW3	18	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F20	OR5_111206_MD_LLW3	20	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F21	OR5_111206_MD_LLW3	21	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F22	OR5_111206_MD_LLW3	22	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F22_2	OR5_111206_MD_LLW3	22	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F23	OR5_111206_MD_LLW3	23	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F24	OR5_111206_MD_LLW3	24	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F25	OR5_111206_MD_LLW3	25	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F26	OR5_111206_MD_LLW3	26	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F27	OR5_111206_MD_LLW3	27	explicit_f	20
PXD000072	OR5_111206_MD_LLW3_F28	OR5_111206_MD_LLW3	28	explicit_f	20
PXD000072	OR5_120110_MD_PW_LLW2_F16	OR5_120110_MD_PW_LLW2	16	explicit_f	2
PXD000072	OR5_120110_MD_PW_LLW2_F17	OR5_120110_MD_PW_LLW2	17	explicit_f	2
PXD000072	OR5_120116_MD_PW_LLW1_F10	OR5_120116_MD_PW_LLW1	10	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F11	OR5_120116_MD_PW_LLW1	11	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F12	OR5_120116_MD_PW_LLW1	12	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F13	OR5_120116_MD_PW_LLW1	13	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F18	OR5_120116_MD_PW_LLW1	18	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F19	OR5_120116_MD_PW_LLW1	19	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F20	OR5_120116_MD_PW_LLW1	20	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F7	OR5_120116_MD_PW_LLW1	7	explicit_f	9
PXD000072	OR5_120116_MD_PW_LLW1_F8	OR5_120116_MD_PW_LLW1	8	explicit_f	9
PXD000228	OR4_110719_OB_PAR14_sSCX_fr10	OR4_110719_OB_PAR14_sSCX	10	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr11	OR4_110719_OB_PAR14_sSCX	11	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr12	OR4_110719_OB_PAR14_sSCX	12	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr13	OR4_110719_OB_PAR14_sSCX	13	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr14	OR4_110719_OB_PAR14_sSCX	14	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr15	OR4_110719_OB_PAR14_sSCX	15	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr16	OR4_110719_OB_PAR14_sSCX	16	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr20	OR4_110719_OB_PAR14_sSCX	20	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr21	OR4_110719_OB_PAR14_sSCX	21	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr23	OR4_110719_OB_PAR14_sSCX	23	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr4	OR4_110719_OB_PAR14_sSCX	4	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr5	OR4_110719_OB_PAR14_sSCX	5	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr6	OR4_110719_OB_PAR14_sSCX	6	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr7	OR4_110719_OB_PAR14_sSCX	7	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr8	OR4_110719_OB_PAR14_sSCX	8	explicit_f	16
PXD000228	OR4_110719_OB_PAR14_sSCX_fr9	OR4_110719_OB_PAR14_sSCX	9	explicit_f	16
PXD001068	OR5110722_EDG_smallSCX_3d_fr10	OR5110722_EDG_smallSCX_3d	10	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr11	OR5110722_EDG_smallSCX_3d	11	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr11_2	OR5110722_EDG_smallSCX_3d	11	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr12	OR5110722_EDG_smallSCX_3d	12	explicit_f	27
