accession,source,path,note
PXD000072,,,no SDRF found in PRIDE or bigbio
PXD006517,,,no SDRF found in PRIDE or bigbio
PXD006776,,,no SDRF found in PRIDE or bigbio
PXD006863,,,no SDRF found in PRIDE or bigbio
PXD009258,,,no SDRF found in PRIDE or bigbio
PXD009393,,,no SDRF found in PRIDE or bigbio
PXD009261,,,no SDRF found in PRIDE or bigbio
PXD003534,,,no SDRF found in PRIDE or bigbio
PXD009118,,,no SDRF found in PRIDE or bigbio
PXD008205,,,no SDRF found in PRIDE or bigbio
PXD009396,,,no SDRF found in PRIDE or bigbio
PXD010286,,,no SDRF found in PRIDE or bigbio
PXD008568,,,no SDRF found in PRIDE or bigbio
PXD010154,bigbio,SDRFs/PXD010154.sdrf.tsv,
PXD001674,,,no SDRF found in PRIDE or bigbio
PXD006805,,,no SDRF found in PRIDE or bigbio
PXD001985,,,no SDRF found in PRIDE or bigbio
PXD002437,,,no SDRF found in PRIDE or bigbio
PXD009606,,,no SDRF found in PRIDE or bigbio
PXD009348,,,no SDRF found in PRIDE or bigbio
PXD020192,bigbio,SDRFs/PXD020192.sdrf.tsv,
PXD006833,,,no SDRF found in PRIDE or bigbio
PXD001325,bigbio,SDRFs/PXD001325.sdrf.tsv,
PXD002211,,,no SDRF found in PRIDE or bigbio
PXD009438,,,no SDRF found in PRIDE or bigbio
PXD010821,,,no SDRF found in PRIDE or bigbio
PXD009917,,,no SDRF found in PRIDE or bigbio
PXD004682,bigbio,SDRFs/PXD004682.sdrf.tsv,
PXD004626,,,no SDRF found in PRIDE or bigbio
PXD000533,,,no SDRF found in PRIDE or bigbio
PXD007745,,,no SDRF found in PRIDE or bigbio
PXD009112,,,no SDRF found in PRIDE or bigbio
PXD009916,,,no SDRF found in PRIDE or bigbio
PXD007975,,,no SDRF found in PRIDE or bigbio
PXD009737,,,no SDRF found in PRIDE or bigbio
PXD009310,,,no SDRF found in PRIDE or bigbio
PXD006576,,,no SDRF found in PRIDE or bigbio
PXD006570,,,no SDRF found in PRIDE or bigbio
PXD007123,,,no SDRF found in PRIDE or bigbio
PXD009893,,,no SDRF found in PRIDE or bigbio
PXD011214,,,no SDRF found in PRIDE or bigbio
PXD009870,,,no SDRF found in PRIDE or bigbio
PXD006578,,,no SDRF found in PRIDE or bigbio
PXD008311,,,no SDRF found in PRIDE or bigbio
PXD002990,,,no SDRF found in PRIDE or bigbio
PXD000529,,,no SDRF found in PRIDE or bigbio
PXD005436,,,no SDRF found in PRIDE or bigbio
PXD009813,,,no SDRF found in PRIDE or bigbio
PXD007959,,,no SDRF found in PRIDE or bigbio
PXD002212,,,no SDRF found in PRIDE or bigbio
PXD001326,,,no SDRF found in PRIDE or bigbio
PXD006589,,,no SDRF found in PRIDE or bigbio
PXD009196,bigbio,SDRFs/PXD009196.sdrf.tsv,
PXD011492,,,no SDRF found in PRIDE or bigbio
PXD009061,,,no SDRF found in PRIDE or bigbio
PXD008992,,,no SDRF found in PRIDE or bigbio
PXD007744,,,no SDRF found in PRIDE or bigbio
PXD000004,,,no SDRF found in PRIDE or bigbio
PXD010690,,,no SDRF found in PRIDE or bigbio
PXD011309,,,no SDRF found in PRIDE or bigbio
PXD009784,,,no SDRF found in PRIDE or bigbio
PXD000561,bigbio,SDRFs/PXD000561.sdrf.tsv,
PXD015239,,,no SDRF found in PRIDE or bigbio
PXD006847,,,no SDRF found in PRIDE or bigbio
PXD003215,,,no SDRF found in PRIDE or bigbio
PXD003075,,,no SDRF found in PRIDE or bigbio
PXD008252,,,no SDRF found in PRIDE or bigbio
PXD003533,,,no SDRF found in PRIDE or bigbio
PXD015523,,,no SDRF found in PRIDE or bigbio
PXD010093,,,no SDRF found in PRIDE or bigbio
PXD005733,,,no SDRF found in PRIDE or bigbio
PXD009021,,,no SDRF found in PRIDE or bigbio
PXD002014,,,no SDRF found in PRIDE or bigbio
PXD008130,,,no SDRF found in PRIDE or bigbio
PXD017213,,,no SDRF found in PRIDE or bigbio
PXD000228,bigbio,SDRFs/PXD000228.sdrf.tsv,
PXD008440,bigbio,SDRFs/PXD008440.sdrf.tsv,
PXD010150,,,no SDRF found in PRIDE or bigbio
PXD000440,,,no SDRF found in PRIDE or bigbio
PXD009880,,,no SDRF found in PRIDE or bigbio
PXD004928,bigbio,SDRFs/PXD004928.sdrf.tsv,
PXD002620,,,no SDRF found in PRIDE or bigbio
PXD010271,bigbio,SDRFs/PXD010271.sdrf.tsv,
PXD006571,,,no SDRF found in PRIDE or bigbio
PXD009709,,,no SDRF found in PRIDE or bigbio
PXD006607,bigbio,SDRFs/PXD006607.sdrf.tsv,
PXD012971,,,no SDRF found in PRIDE or bigbio
PXD007592,,,no SDRF found in PRIDE or bigbio
PXD005477,,,no SDRF found in PRIDE or bigbio
PXD010708,bigbio,SDRFs/PXD010708.sdrf.tsv,
PXD008443,,,no SDRF found in PRIDE or bigbio
PXD011000,,,no SDRF found in PRIDE or bigbio
PXD012970,,,no SDRF found in PRIDE or bigbio
PXD005755,,,no SDRF found in PRIDE or bigbio
PXD001524,,,no SDRF found in PRIDE or bigbio
PXD004355,,,no SDRF found in PRIDE or bigbio
PXD010284,,,no SDRF found in PRIDE or bigbio
PXD011175,bigbio,SDRFs/PXD011175.sdrf.tsv,
PXD011178,,,no SDRF found in PRIDE or bigbio
PXD011204,,,no SDRF found in PRIDE or bigbio
PXD009343,,,no SDRF found in PRIDE or bigbio
PXD005055,,,no SDRF found in PRIDE or bigbio
PXD010260,,,no SDRF found in PRIDE or bigbio
PXD007740,,,no SDRF found in PRIDE or bigbio
PXD012960,,,no SDRF found in PRIDE or bigbio
PXD004683,bigbio,SDRFs/PXD004683.sdrf.tsv,
PXD007846,,,no SDRF found in PRIDE or bigbio
PXD004540,,,no SDRF found in PRIDE or bigbio
PXD007080,,,no SDRF found in PRIDE or bigbio
PXD001425,,,no SDRF found in PRIDE or bigbio
PXD017261,,,no SDRF found in PRIDE or bigbio
PXD003045,,,no SDRF found in PRIDE or bigbio
PXD006176,,,no SDRF found in PRIDE or bigbio
PXD007258,,,no SDRF found in PRIDE or bigbio
PXD005323,,,no SDRF found in PRIDE or bigbio
PXD007081,,,no SDRF found in PRIDE or bigbio
PXD016865,,,no SDRF found in PRIDE or bigbio
PXD005220,,,no SDRF found in PRIDE or bigbio
PXD009645,,,no SDRF found in PRIDE or bigbio
PXD008465,,,no SDRF found in PRIDE or bigbio
PXD009144,,,no SDRF found in PRIDE or bigbio
PXD005709,,,no SDRF found in PRIDE or bigbio
PXD010508,,,no SDRF found in PRIDE or bigbio
PXD006522,,,no SDRF found in PRIDE or bigbio
PXD006465,,,no SDRF found in PRIDE or bigbio
PXD002883,,,no SDRF found in PRIDE or bigbio
PXD009781,,,no SDRF found in PRIDE or bigbio
PXD004443,,,no SDRF found in PRIDE or bigbio
PXD016261,,,no SDRF found in PRIDE or bigbio
PXD009029,,,no SDRF found in PRIDE or bigbio
PXD008832,,,no SDRF found in PRIDE or bigbio
PXD009754,,,no SDRF found in PRIDE or bigbio
PXD009440,,,no SDRF found in PRIDE or bigbio
PXD010469,,,no SDRF found in PRIDE or bigbio
PXD005970,,,no SDRF found in PRIDE or bigbio
PXD006268,,,no SDRF found in PRIDE or bigbio
PXD001324,,,no SDRF found in PRIDE or bigbio
PXD008795,,,no SDRF found in PRIDE or bigbio
PXD006911,,,no SDRF found in PRIDE or bigbio
PXD006743,,,no SDRF found in PRIDE or bigbio
PXD017268,,,no SDRF found in PRIDE or bigbio
PXD009996,,,no SDRF found in PRIDE or bigbio
PXD008723,,,no SDRF found in PRIDE or bigbio
PXD006572,,,no SDRF found in PRIDE or bigbio
PXD009254,,,no SDRF found in PRIDE or bigbio
PXD011609,,,no SDRF found in PRIDE or bigbio
PXD018678,bigbio,SDRFs/PXD018678.sdrf.tsv,
PXD000605,,,no SDRF found in PRIDE or bigbio
PXD011183,,,no SDRF found in PRIDE or bigbio
PXD008934,bigbio,SDRFs/PXD008934.sdrf.tsv,
PXD009056,,,no SDRF found in PRIDE or bigbio
PXD008354,,,no SDRF found in PRIDE or bigbio
PXD017976,,,no SDRF found in PRIDE or bigbio
PXD006897,,,no SDRF found in PRIDE or bigbio
PXD008996,,,no SDRF found in PRIDE or bigbio
PXD009755,,,no SDRF found in PRIDE or bigbio
PXD007122,,,no SDRF found in PRIDE or bigbio
PXD009300,,,no SDRF found in PRIDE or bigbio
PXD016437,,,no SDRF found in PRIDE or bigbio
PXD009624,,,no SDRF found in PRIDE or bigbio
PXD009350,,,no SDRF found in PRIDE or bigbio
PXD009646,,,no SDRF found in PRIDE or bigbio
PXD011241,,,no SDRF found in PRIDE or bigbio
PXD009716,,,no SDRF found in PRIDE or bigbio
PXD016555,,,no SDRF found in PRIDE or bigbio
PXD004625,,,no SDRF found in PRIDE or bigbio
PXD007624,,,no SDRF found in PRIDE or bigbio
PXD010698,bigbio,SDRFs/PXD010698.sdrf.tsv,
PXD007705,,,no SDRF found in PRIDE or bigbio
PXD007873,,,no SDRF found in PRIDE or bigbio
PXD017804,,,no SDRF found in PRIDE or bigbio
PXD009752,,,no SDRF found in PRIDE or bigbio
PXD006265,,,no SDRF found in PRIDE or bigbio
PXD010294,,,no SDRF found in PRIDE or bigbio
PXD007894,,,no SDRF found in PRIDE or bigbio
PXD005693,,,no SDRF found in PRIDE or bigbio
PXD018682,,,no SDRF found in PRIDE or bigbio
PXD004624,bigbio,SDRFs/PXD004624.sdrf.tsv,
PXD008029,,,no SDRF found in PRIDE or bigbio
PXD008682,,,no SDRF found in PRIDE or bigbio
PXD002133,,,no SDRF found in PRIDE or bigbio
PXD007231,,,no SDRF found in PRIDE or bigbio
PXD013649,,,no SDRF found in PRIDE or bigbio
