PXD_accession
PXD000072 PXD006517 PXD006776 PXD006863 PXD009258 PXD009393 PXD009261
PXD003534 PXD009118 PXD008205 PXD009396 PXD010286 PXD008568 PXD010154
PXD001674 PXD006805 PXD001985 PXD002437 PXD009606 PXD009348 PXD020192
PXD006833 PXD001325 PXD002211 PXD009438 PXD010821 PXD009917 PXD004682
PXD004626 PXD000533 PXD007745 PXD009112 PXD009916 PXD007975 PXD009737
PXD009310 PXD006576 PXD006570 PXD007123 PXD009893 PXD011214 PXD009870
PXD006578 PXD008311 PXD002990 PXD000529 PXD005436 PXD009813 PXD007959
PXD002212 PXD001326 PXD006589 PXD009196 PXD011492 PXD009061 PXD008992
PXD007744 PXD000004 PXD010690 PXD011309 PXD009784 PXD000561 PXD015239
PXD006847 PXD003215 PXD003075 PXD008252 PXD003533 PXD015523
PXD010093 PXD005733 PXD009021 PXD002014 PXD008130 PXD017213
PXD000228 PXD008440 PXD010150 PXD000440 PXD009880 PXD004928
PXD002620 PXD010271 PXD006571 PXD009709 PXD006607 PXD012971
PXD007592 PXD005477 PXD010708 PXD008443 PXD011000 PXD012970
PXD005755 PXD001524 PXD004355 PXD010284 PXD011175 PXD011178
PXD011204 PXD009343 PXD005055 PXD010260 PXD007740 PXD012960
PXD004683 PXD007846 PXD004540 PXD007080 PXD001425 PXD017261
PXD003045 PXD006176 PXD007258 PXD005323 PXD007081 PXD016865
PXD005220 PXD009645 PXD008465 PXD009144 PXD005709 PXD010508
PXD006522 PXD006465 PXD002883 PXD009781 PXD004443 PXD016261
PXD009029 PXD008832 PXD009754 PXD009440 PXD010469 PXD005970
PXD006268 PXD001324 PXD008795 PXD006911 PXD006743 PXD017268
PXD009996 PXD008723 PXD006572 PXD009254 PXD011609 PXD018678
PXD000605 PXD011183 PXD008934 PXD009056 PXD008354 PXD017976
PXD006897 PXD008996 PXD009755 PXD007122 PXD009300 PXD016437
PXD009624 PXD009350 PXD009646 PXD011241 PXD009716 PXD016555
PXD004625 PXD007624 PXD010698 PXD007705 PXD007873 PXD017804
PXD009752 PXD006265 PXD010294 PXD007894 PXD005693 PXD018682
PXD004624 PXD008029 PXD008682 PXD002133 PXD007231 PXD013649
