accession,pubmed_id,pmcid,doi,is_open_access,license,text_mining_permissive,note
PXD000072,23640497,,10.1161/atvbaha.113.301147,N,,False,closed access (no license applies)
PXD006517,29530281,,10.1016/j.kint.2017.12.012,N,,False,closed access (no license applies)
PXD006776,29176937,PMC5689177,10.1186/s12014-017-9168-7,Y,cc by,True,
PXD006863,29208752,PMC5836375,10.1074/mcp.ra117.000186,Y,cc by,True,
PXD009258,30327373,PMC6199659,10.1182/bloodadvances.2018023515,N,,False,closed access (no license applies)
PXD009393,29725820,,10.1007/s00401-018-1853-8,N,,False,closed access (no license applies)
PXD009261,32125911,,10.1089/omi.2019.0190,N,,False,closed access (no license applies)
PXD003534,26933193,PMC5083103,10.1074/mcp.m115.055541,Y,cc by,True,
PXD009118,30487605,PMC7220805,10.1038/s41586-018-0753-3,Y,,False,open access but no license string recorded
PXD008205,29503093,PMC5919410,10.1016/j.stemcr.2018.01.039,Y,cc by-nc-nd,False,
PXD009396,30327373,PMC6199659,10.1182/bloodadvances.2018023515,N,,False,closed access (no license applies)
PXD010286,,,,,,,no linked publication in PRIDE record
PXD008568,30480800,,10.1002/jcp.27433,N,,False,closed access (no license applies)
PXD010154,30777892,PMC6379049,10.15252/msb.20188503,Y,cc by,True,
PXD001674,28515092,,10.1182/blood-2016-07-727669,N,,False,closed access (no license applies)
PXD006805,29950347,PMC6126387,10.1074/mcp.ra118.000562,N,cc by,True,
PXD001985,28679606,,10.1183/13993003.01569-2016,N,,False,closed access (no license applies)
PXD002437,27155584,PMC4955710,10.1016/j.bbmt.2016.04.021,N,cc by-nc-nd,False,
PXD009606,30287811,PMC6172285,10.1038/s41387-018-0063-8,Y,cc by,True,
PXD009348,30528273,,10.1016/j.cels.2018.10.012,N,cc by-nc-nd,False,
PXD020192,33107741,,10.1021/acs.jproteome.0c00502,N,,False,closed access (no license applies)
PXD006833,28960076,,10.1021/acs.jproteome.7b00353,N,,False,closed access (no license applies)
PXD001325,25238572,,10.1021/pr500727h,N,,False,closed access (no license applies)
PXD002211,26092402,,10.1007/s00216-015-8817-9,N,,False,closed access (no license applies)
PXD009438,30346940,PMC8897557,10.1038/nbt.4279,N,,False,closed access (no license applies)
PXD010821,30315276,PMC6185938,10.1038/s41467-018-06448-y,Y,cc by,True,
PXD009917,29980616,PMC6166677,10.1074/mcp.ra118.000882,N,cc by,True,
PXD004682,28195392,PMC5606153,10.1002/pmic.201600300,N,,False,closed access (no license applies)
PXD004626,27879288,PMC5217785,10.1074/mcp.m116.063313,N,cc by,True,
PXD000533,24328083,,10.1021/pr400902u,N,,False,closed access (no license applies)
PXD007745,29752063,,10.1016/j.immuni.2018.04.008,N,,False,closed access (no license applies)
PXD009112,30346940,PMC8897557,10.1038/nbt.4279,N,,False,closed access (no license applies)
PXD009916,29980616,PMC6166677,10.1074/mcp.ra118.000882,N,cc by,True,
