accession,title,pubmed_id,doi,pride_license,submission_date,publication_date,organisms,organism_parts,diseases,instruments,experiment_types,quantification_methods,identified_ptms
PXD000072,High precision platelet releasate definition by quantitative reversed protein profiling,23640497,10.6019/PXD000072,EBI terms of use,2012-11-20,2014-02-03,Homo sapiens (human),Blood platelet,,LTQ Orbitrap Velos,Bottom-up proteomics,,monohydroxylated residue; formylated residue; dihydroxylated residue; iodoacetamide derivatized residue
PXD006517,Analysis of human glomeruli of a patient with NPHS1 mutation - part 1,29530281,,EBI terms of use,2017-05-15,2018-06-28,Homo sapiens (human),Epithelial cell; Kidney,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD006776,Proteome Profiling Identifies Markers for Inflammation-Related Tumor-Fibroblast Interaction in Colorectal Cancer,29176937,10.6019/PXD006776,EBI terms of use,2017-06-22,2018-10-17,Homo sapiens (human),Colon,Colorectal cancer,Q Exactive,Shotgun proteomics,,L-arginine residue; residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD006863,TMT-FASP-LC-MS analysis of peritoneal dialysis effluent,29208752,10.6019/PXD006863,EBI terms of use,2017-09-28,2012-12-13,Homo sapiens (human),Peritoneal dialysis fluid,,LTQ Orbitrap Velos,Shotgun proteomics,TMT,TMT6plex; Carbamidomethyl; Oxidation
PXD009258,Absolute proteome quantification of highly purified reticulocytes and erythrocytes,30327373,,EBI terms of use,2018-03-19,2018-09-18,Homo sapiens (human),Blood; Reticulocyte; Erythrocyte,,Orbitrap Fusion,Shotgun proteomics,Label free,No PTMs are included in the dataset
PXD009393,Proteome analysis of microvessels from CADASIL patients,29725820,,EBI terms of use,2018-04-04,2018-08-03,Homo sapiens (human),Microvessel,Cadasil,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD009261,A proteomic landscape of the human cornea,32125911,,EBI terms of use,2018-03-20,2020-03-09,Homo sapiens (human),Cornea,,Orbitrap Fusion,Shotgun proteomics,,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD003534,Adjuvant Secretomes -  Adjuvant-induced human monocyte secretome profiles reveal adjuvant- and age-specific protein signatures,26933193,10.6019/PXD003534,EBI terms of use,2016-01-27,2016-03-14,Homo sapiens (human),Blood; Blood cell,Disease free,Q Exactive,Shotgun proteomics,Spectrum counting,Gln->pyro-Glu; Ammonia-loss; Dehydrated; Carbamidomethyl; Oxidation; Acetyl
PXD009118,Secretome of trophoblast organoids,30487605,10.6019/PXD009118,EBI terms of use,2018-03-06,2018-11-29,Homo sapiens (human),Trophoblast,,Q Exactive,Shotgun proteomics,,Gln->pyro-Glu; Amidated; Carbamidomethyl; Oxidation; Acetyl
PXD008205,Contractile work contributes to maturation of energy metabolism in hiPSC-derived cardiomyocytes,29503093,10.6019/PXD008205,EBI terms of use,2017-11-14,2018-03-06,Homo sapiens (human),Heart,,LTQ Orbitrap,Shotgun proteomics,,Deamidated; Carbamidomethyl; Oxidation
PXD009396,Quantitative analysis of the erythrocyte kinome,30327373,,EBI terms of use,2018-04-04,2018-09-18,Homo sapiens (human),Blood; Erythrocyte,,Orbitrap Fusion,Shotgun proteomics,MS1 intensity based label-free quantification method,No PTMs are included in the dataset
PXD010286,"A549 CD38 proteomic analysis, part 2",,,Creative Commons Public Domain (CC0),2018-07-02,2018-09-24,Homo sapiens (human),Lung,,Orbitrap Fusion Lumos,Shotgun proteomics,,No PTMs are included in the dataset
PXD008568,Human plasma LC-MSMS -  Altered plasma proteins released from platelets and endothelial cells are associated with human patent ductus arteriosus,30480800,,EBI terms of use,2018-01-02,2018-11-30,Homo sapiens (human),Blood plasma,,Q Exactive,Top-down proteomics,,iTRAQ8plex-116 reporter+balance reagent acylated residue
PXD010154,A deep proteome and transcriptome abundance atlas of 29 healthy human tissues,30777892,,Creative Commons Public Domain (CC0),2019-07-10,2019-07-10,Homo sapiens (human),Bone marrow; Adipose tissue; Heart; Salivary gland; Oviduct; Ovary; Vermiform appendix; Urinary bladder; Lung; Small intestine; Placenta; Hypophysis; Thyroid gland; Gall bladder; Spleen; Rectum; Colon; Tonsil; Duodenum; Prostate gland; Lymph node; Uterine endometrium; Pancreas; Liver; Adrenal gland; Smooth muscle; Stomach; Kidney; Brain; Esophagus; Testis,,Orbitrap Fusion Lumos; Q Exactive Plus; Q Exactive HF,Shotgun proteomics,MS1 intensity based label-free quantification method,acetylated residue; L-methionine sulfoxide; iodoacetamide derivatized residue
PXD001674,Immune suppressive neutrophils are a separate subset developing parallel to normal neutrophils,28515092,10.6019/PXD001674,EBI terms of use,2015-01-14,2017-05-29,Homo sapiens (human),Blood; Neutrophil,,Q Exactive,Shotgun proteomics,,"monohydroxylated residue; formylated residue; dihydroxylated residue; 2x(13)C,6x(2)H labeled dimethylated L-arginine; iodoacetamide derivatized residue; 2x(13)C,6x(2)H labeled dimethylated L-arginine"
PXD006805,In-depth protein profiling of cytology samples in urothelial carcinoma,29950347,,EBI terms of use,2017-06-26,2018-07-04,Homo sapiens (human),Urinary bladder; Urinary bladder,Bladder transitional cell carcinoma,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,No PTMs are included in the dataset
PXD001985,CF sputum LC-MSMS -  Proteomic profile of cystic fibrosis sputum cells in adults chronically infected with Pseudomonas aeruginosa,28679606,10.6019/PXD001985,EBI terms of use,2016-05-20,2017-05-19,Homo sapiens (human),Epithelial cell; Neutrophil; Leukocyte; Sputum; T cell; Macrophage; Dendritic cell; B cell; Platelet; Fibroblast; Erythrocyte,Cystic fibrosis,LTQ Orbitrap Velos,Shotgun proteomics,iTRAQ,Deamidated; iTRAQ8plex; Oxidation
PXD002437,Proteome Profiling in Lung Injury Following Hematopoietic Stem Cell Transplantation,27155584,,EBI terms of use,2015-06-29,2018-10-24,Homo sapiens (human),Bronchoalveolar lavage,Adult respiratory distress syndrome,LTQ Orbitrap Velos,Shotgun proteomics,iTRAQ,iTRAQ8plex-116 reporter+balance reagent acylated residue; L-cysteine methyl disulfide
PXD009606,Sexual dimorphic correlation of IGFBP-2 and -3 with vitamin D status,30287811,,EBI terms of use,2018-04-25,2018-10-17,Homo sapiens (human),Blood,,LTQ Orbitrap Elite,Shotgun proteomics,,monohydroxylated residue; iTRAQ8plex-116 reporter+balance reagent acylated residue; phosphorylated residue; deamidated residue
PXD009348,Plasma proteome profiling reveals global and specific changes of inflammatory and lipid homeostasis markers after bariatric surgery,30528273,,EBI terms of use,2018-03-28,2018-12-07,Homo sapiens (human),Blood plasma,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD020192,Proteomic Profiling of the Human Tissue and Biological Fluid Proteome,33107741,,Creative Commons Public Domain (CC0),2020-07-04,2020-10-29,Homo sapiens (human),Spleen; Bone marrow; Skin; Lymph node; Colon; Liver; Lung; Kidney; Brain; Heart; Placenta; Testis,,Q Exactive HF,Shotgun proteomics,Spectrum counting,iodoacetamide derivatized residue
PXD006833,"Human bladder,colon,kidney,liver cancer LC MS/MS",28960076,10.6019/PXD006833,EBI terms of use,2017-06-29,2017-10-02,Homo sapiens (human),Liver,,Q Exactive HF,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue
