group,annotator_a,annotator_b,kappa,raw_agreement,chance_agreement,positive_agreement,both_absent_share,prevalence_a,prevalence_b,n_slots
human-human,SingleHuman,Annotator1,0.46988749172733285,0.7645502645502645,0.5558495002939448,0.6454183266932271,0.5502645502645502,0.3492063492063492,0.3148148148148148,378
human-human,SingleHuman,Annotator2,0.665733706517393,0.8354978354978355,0.5078709169618261,0.8118811881188119,0.4805194805194805,0.43506493506493504,0.4393939393939394,462
human-human,SingleHuman,Annotator3,0.49647390691114246,0.7571428571428571,0.5176870748299319,0.6946107784431138,0.48095238095238096,0.4380952380952381,0.35714285714285715,420
human-human,SingleHuman,Annotator4,0.26984126984126977,0.6349206349206349,0.5,0.5106382978723404,0.4444444444444444,0.5,0.24603174603174602,126
human-human,SingleHuman,Annotator5,0.3769426391636056,0.7222222222222222,0.5541698160745779,0.5748987854251012,0.5343915343915344,0.38095238095238093,0.2724867724867725,378
human-human,SingleHuman,Annotator6,0.4086661002548854,0.7238095238095238,0.5329365079365078,0.6158940397350994,0.5023809523809524,0.4166666666666667,0.30238095238095236,420
human-human,SingleHuman,Annotator7,0.3797216699801193,0.7248677248677249,0.5564373897707231,0.5272727272727272,0.5714285714285714,0.41534391534391535,0.16666666666666666,378
human-human,SingleHuman,Annotator8,0.4907171037363658,0.7532467532467533,0.5154888401641649,0.6968085106382979,0.4696969696969697,0.43722943722943725,0.37662337662337664,462
model-human,SingleHuman,Qwen,0.49802407041494523,0.7566137566137566,0.5151435974481242,0.7051282051282052,0.4656084656084656,0.4056437389770723,0.41975308641975306,1134
model-human,SingleHuman,Gemma,0.536942041191333,0.7742504409171076,0.5124809869077946,0.7310924369747899,0.4673721340388007,0.4056437389770723,0.43386243386243384,1134
model-human,SingleHuman,GLM,0.49960060296069153,0.7583774250440917,0.5171405553533713,0.7034632034632035,0.47178130511463845,0.4056437389770723,0.4091710758377425,1134
human-human,Annotator1,Annotator2,0.7083333333333334,0.8690476190476191,0.5510204081632653,0.8070175438596491,0.5952380952380952,0.32142857142857145,0.35714285714285715,84
human-human,Annotator1,Annotator3,0.42201834862385323,0.75,0.5674603174603174,0.6037735849056604,0.5595238095238095,0.3333333333333333,0.2976190476190476,84
human-human,Annotator1,Annotator5,0.4524539877300615,0.7976190476190477,0.6303854875283447,0.5853658536585366,0.6547619047619048,0.2619047619047619,0.2261904761904762,168
human-human,Annotator1,Annotator6,0.5345869711215582,0.8035714285714286,0.5779478458049887,0.6666666666666666,0.6071428571428571,0.35119047619047616,0.23809523809523808,168
human-human,Annotator1,Annotator7,0.20411946446961873,0.7261904761904762,0.6559665532879819,0.30303030303030304,0.6666666666666666,0.31547619047619047,0.07738095238095238,168
human-human,Annotator1,Annotator8,0.6507760532150776,0.8412698412698413,0.545477450239355,0.7727272727272727,0.5714285714285714,0.3492063492063492,0.3492063492063492,126
model-human,Annotator1,Qwen,0.43932511356262177,0.746031746031746,0.5470311581422692,0.6307692307692307,0.5291005291005291,0.3148148148148148,0.373015873015873,378
model-human,Annotator1,Gemma,0.4835589941972921,0.7645502645502645,0.5440917107583774,0.6615969581749049,0.5343915343915344,0.3148148148148148,0.38095238095238093,378
model-human,Annotator1,GLM,0.45797485109199215,0.7592592592592593,0.5558495002939448,0.6374501992031872,0.5476190476190477,0.3148148148148148,0.3492063492063492,378
human-human,Annotator2,Annotator3,0.6383467278989666,0.8214285714285714,0.5062358276643991,0.7887323943661971,0.4880952380952381,0.47619047619047616,0.36904761904761907,84
human-human,Annotator2,Annotator4,0.31372549019607854,0.6428571428571429,0.47959183673469385,0.5714285714285714,0.40476190476190477,0.5476190476190477,0.2857142857142857,42
human-human,Annotator2,Annotator5,0.418013856812933,0.7142857142857143,0.5090702947845805,0.6363636363636364,0.4642857142857143,0.47619047619047616,0.30952380952380953,84
human-human,Annotator2,Annotator6,0.45494764783955177,0.7380952380952381,0.5194869614512472,0.6666666666666666,0.47619047619047616,0.43452380952380953,0.35119047619047616,168
human-human,Annotator2,Annotator7,0.4755463059313215,0.75,0.5233134920634921,0.631578947368421,0.5357142857142857,0.4583333333333333,0.22023809523809523,168
human-human,Annotator2,Annotator8,0.5684662805903231,0.7904761904761904,0.514467120181406,0.7411764705882353,0.49047619047619045,0.44761904761904764,0.3619047619047619,210
model-human,Annotator2,Qwen,0.5125748502994012,0.7597402597402597,0.5070838252656434,0.7272727272727273,0.4393939393939394,0.4393939393939394,0.44155844155844154,462
model-human,Annotator2,Gemma,0.5593018643395479,0.7813852813852814,0.503935458480913,0.7589498806682577,0.43722943722943725,0.4393939393939394,0.4675324675324675,462
model-human,Annotator2,GLM,0.5316354954237963,0.7683982683982684,0.5055096418732782,0.7409200968523002,0.43722943722943725,0.4393939393939394,0.45454545454545453,462
human-human,Annotator3,Annotator4,0.35877862595419857,0.7142857142857143,0.5544217687074829,0.5384615384615384,0.5476190476190477,0.40476190476190477,0.21428571428571427,42
human-human,Annotator3,Annotator5,0.40992819231970024,0.7321428571428571,0.5460600907029478,0.6153846153846154,0.5178571428571429,0.35119047619047616,0.34523809523809523,168
human-human,Annotator3,Annotator6,0.40236148955494994,0.7202380952380952,0.5318877551020409,0.6178861788617886,0.49404761904761907,0.4107142857142857,0.32142857142857145,168
human-human,Annotator3,Annotator7,0.3942307692307692,0.75,0.5873015873015873,0.5333333333333333,0.6071428571428571,0.36904761904761907,0.16666666666666666,84
human-human,Annotator3,Annotator8,0.4633379201887163,0.7523809523809524,0.53859410430839,0.6533333333333333,0.5190476190476191,0.3238095238095238,0.3904761904761905,210
model-human,Annotator3,Qwen,0.394700139470014,0.7047619047619048,0.5122448979591837,0.6374269005847953,0.4452380952380952,0.35714285714285715,0.45714285714285713,420
model-human,Annotator3,Gemma,0.4430727023319616,0.7238095238095238,0.5040816326530612,0.672316384180791,0.44047619047619047,0.35714285714285715,0.4857142857142857,420
model-human,Annotator3,GLM,0.4798611111111111,0.7452380952380953,0.5102040816326531,0.6898550724637681,0.46190476190476193,0.35714285714285715,0.4642857142857143,420
human-human,Annotator4,Annotator5,0.323529411764706,0.7261904761904762,0.5952380952380951,0.5106382978723404,0.5833333333333334,0.25,0.30952380952380953,84
human-human,Annotator4,Annotator6,0.23529411764705882,0.6904761904761905,0.5952380952380952,0.43478260869565216,0.5714285714285714,0.21428571428571427,0.3333333333333333,42
human-human,Annotator4,Annotator7,0.16803278688524595,0.6547619047619048,0.5850340136054422,0.40816326530612246,0.5357142857142857,0.2619047619047619,0.32142857142857145,84
human-human,Annotator4,Annotator8,0.4181360201511336,0.7380952380952381,0.5498866213151927,0.5925925925925926,0.5476190476190477,0.23809523809523808,0.40476190476190477,42
model-human,Annotator4,Qwen,0.268009295120062,0.6428571428571429,0.5120937263794407,0.5054945054945055,0.4603174603174603,0.24603174603174602,0.47619047619047616,126
model-human,Annotator4,Gemma,0.1969507623094226,0.5952380952380952,0.4959687578735198,0.4631578947368421,0.42063492063492064,0.24603174603174602,0.5079365079365079,126
model-human,Annotator4,GLM,0.31111689664149944,0.6666666666666666,0.5161249685059209,0.5333333333333333,0.47619047619047616,0.24603174603174602,0.46825396825396826,126
human-human,Annotator5,Annotator6,0.5333333333333334,0.8452380952380952,0.6683673469387754,0.6285714285714286,0.7142857142857143,0.17857142857142858,0.23809523809523808,84
human-human,Annotator5,Annotator7,0.44186046511627913,0.8095238095238095,0.6587301587301587,0.5555555555555556,0.6904761904761905,0.2619047619047619,0.16666666666666666,84
human-human,Annotator5,Annotator8,0.3783783783783783,0.7261904761904762,0.5595238095238095,0.5818181818181818,0.5357142857142857,0.32142857142857145,0.3333333333333333,84
model-human,Annotator5,Qwen,0.369407625345021,0.708994708994709,0.5385207580974777,0.5769230769230769,0.5105820105820106,0.2724867724867725,0.41534391534391535,378
model-human,Annotator5,Gemma,0.3759193107795755,0.708994708994709,0.5337056633352929,0.5833333333333334,0.5052910052910053,0.2724867724867725,0.42592592592592593,378
model-human,Annotator5,GLM,0.321269087843113,0.6957671957671958,0.5517622686934855,0.5381526104417671,0.5185185185185185,0.2724867724867725,0.3862433862433862,378
human-human,Annotator6,Annotator7,0.2271762208067942,0.6904761904761905,0.5994897959183673,0.4090909090909091,0.5833333333333334,0.34523809523809523,0.17857142857142858,84
human-human,Annotator6,Annotator8,0.3266033254156771,0.6785714285714286,0.5226757369614512,0.5714285714285714,0.4642857142857143,0.30952380952380953,0.44047619047619047,84
model-human,Annotator6,Qwen,0.4173169825343737,0.7333333333333333,0.5423469387755102,0.6164383561643836,0.5190476190476191,0.30238095238095236,0.39285714285714285,420
model-human,Annotator6,Gemma,0.3362127207798477,0.6880952380952381,0.5301133786848071,0.5704918032786885,0.48095238095238096,0.30238095238095236,0.4238095238095238,420
model-human,Annotator6,GLM,0.3563021088769004,0.7023809523809523,0.537641723356009,0.5791245791245792,0.4976190476190476,0.30238095238095236,0.40476190476190477,420
human-human,Annotator7,Annotator8,0.48148148148148134,0.7619047619047619,0.5408163265306123,0.6551724137931034,0.5357142857142857,0.2857142857142857,0.40476190476190477,84
model-human,Annotator7,Qwen,0.23636363636363628,0.6666666666666666,0.5634920634920635,0.4166666666666667,0.5476190476190477,0.16666666666666666,0.40476190476190477,378
model-human,Annotator7,Gemma,0.2514734774066798,0.6640211640211641,0.5511463844797179,0.4304932735426009,0.5370370370370371,0.16666666666666666,0.42328042328042326,378
model-human,Annotator7,GLM,0.2514970059880238,0.6693121693121693,0.5582010582010583,0.4292237442922374,0.544973544973545,0.16666666666666666,0.4126984126984127,378
model-human,Annotator8,Qwen,0.4255367617745885,0.7164502164502164,0.5064091752403441,0.6666666666666666,0.4329004329004329,0.37662337662337664,0.474025974025974,462
model-human,Annotator8,Gemma,0.4255367617745885,0.7164502164502164,0.5064091752403441,0.6666666666666666,0.4329004329004329,0.37662337662337664,0.474025974025974,462
model-human,Annotator8,GLM,0.4179793433731464,0.7164502164502164,0.5128183504806881,0.6561679790026247,0.4458874458874459,0.37662337662337664,0.44805194805194803,462
model-model,Qwen,Gemma,0.7152963160704751,0.8606701940035273,0.5106146711084982,0.8367768595041323,0.5035273368606702,0.41975308641975306,0.43386243386243384,1134
model-model,Qwen,GLM,0.6766394545617654,0.8430335097001763,0.514577481655671,0.8106382978723404,0.5070546737213404,0.41975308641975306,0.4091710758377425,1134
model-model,Gemma,GLM,0.6783378590278042,0.8430335097001763,0.5120144079579706,0.8138075313807531,0.5,0.43386243386243384,0.4091710758377425,1134
