label,category,annotator_a,annotator_b,pair_category,n_shared_docs,kappa
AcquisitionMethod,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.847457627118644
Age,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.6301369863013699
AlkylationReagent,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.6538461538461539
CellLine,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.8235294117647058
CellType,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.5621621621621622
Chromatography,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.05152224824355962
CleavageAgent,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.6493506493506489
CollisionEnergy,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.8421052631578947
Compound,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.7272727272727271
Disease,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.8524590163934427
EnrichmentMethod,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.689655172413793
FactorValue,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.3571428571428572
FractionIdentifier,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.43749999999999983
FractionationFraction,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.45783132530120485
FractionationMethod,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.43750000000000006
FragmentMassTolerance,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.5759162303664922
FragmentationMethod,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.8085106382978723
GradientTime,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.689655172413793
Instrument,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.0
IonizationType,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.9256198347107437
Label,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.9260273972602738
MS2MassAnalyzer,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.9221902017291065
Modification,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.7272727272727272
NumberOfBiologicalReplicates,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.5846153846153848
NumberOfFractions,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.7792915531335148
NumberOfMissedCleavages,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.7096774193548387
