label,category,n_docs,mention_rate
AcquisitionMethod,technical,27,0.6296296296296297
Age,biological,27,0.14814814814814814
AlkylationReagent,technical,27,0.7777777777777778
CellLine,biological,27,0.3333333333333333
CellType,biological,27,0.5185185185185185
Chromatography,technical,27,0.5925925925925926
CleavageAgent,technical,27,0.9629629629629629
CollisionEnergy,technical,27,0.6666666666666666
Compound,biological,27,0.3333333333333333
Disease,biological,27,0.5185185185185185
EnrichmentMethod,technical,27,0.4444444444444444
FactorValue,experimental_design,27,0.8518518518518519
FractionIdentifier,experimental_design,27,0.2222222222222222
FractionationFraction,experimental_design,27,0.2962962962962963
FractionationMethod,technical,27,0.5555555555555556
FragmentMassTolerance,technical,27,0.6296296296296297
FragmentationMethod,technical,27,0.7777777777777778
GradientTime,technical,27,0.7037037037037037
Instrument,technical,27,1.0
IonizationType,technical,27,0.48148148148148145
Label,technical,27,0.5185185185185185
MS2MassAnalyzer,technical,27,0.6296296296296297
Modification,technical,27,0.7777777777777778
NumberOfBiologicalReplicates,experimental_design,27,0.2962962962962963
NumberOfFractions,experimental_design,27,0.5925925925925926
NumberOfMissedCleavages,technical,27,0.5555555555555556
NumberOfSamples,experimental_design,27,0.6666666666666666
NumberOfTechnicalReplicates,experimental_design,27,0.3333333333333333
Organism,biological,27,0.9259259259259259
OrganismPart,biological,27,0.6666666666666666
PooledSample,biological,27,0.2962962962962963
PrecursorMassTolerance,technical,27,0.7777777777777778
ReductionReagent,technical,27,0.7777777777777778
SampleTreatment,experimental_design,27,0.18518518518518517
SamplingTime,experimental_design,27,0.25925925925925924
Separation,technical,27,0.9629629629629629
Sex,biological,27,0.25925925925925924
Staining,biological,27,0.25925925925925924
Strain,biological,27,0.3333333333333333
SupplementaryFile,technical,27,0.48148148148148145
Time,experimental_design,27,0.7777777777777778
Treatment,biological,27,0.25925925925925924
