annotator_a,annotator_b,pair_category,n_shared,kappa
SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,1134,0.7031914479405058
SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,378,0.5073219351376216
SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,462,0.6249527621873556
SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,420,0.4960985070587705
SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,126,0.26721763085399464
SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,378,0.4029049533178368
SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,420,0.43949635904725975
SingleHuman,Annotator7,SingleHuman vs. MultiHuman annotator,378,0.4114664425368918
SingleHuman,Annotator8,SingleHuman vs. MultiHuman annotator,462,0.5250892109784573
SingleHuman,Qwen,model vs. any human annotator,1134,0.45383812368832654
SingleHuman,Gemma,model vs. any human annotator,1134,0.47813585462986197
SingleHuman,GLM,model vs. any human annotator,1134,0.4715673081836609
HarmonizedHuman,Annotator1,HarmonizedHuman vs. any human annotator,378,0.6314791745653469
HarmonizedHuman,Annotator2,HarmonizedHuman vs. any human annotator,462,0.6914294355600924
HarmonizedHuman,Annotator3,HarmonizedHuman vs. any human annotator,420,0.5317260918372801
HarmonizedHuman,Annotator4,HarmonizedHuman vs. any human annotator,126,0.31509922346850733
HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,378,0.5317196134828556
HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,420,0.5093179292048321
HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,378,0.35209822417592673
HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,462,0.5877010322980816
HarmonizedHuman,Qwen,model vs. any human annotator,1134,0.44084096225488784
HarmonizedHuman,Gemma,model vs. any human annotator,1134,0.4707690480079592
HarmonizedHuman,GLM,model vs. any human annotator,1134,0.4563155121869233
Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,84,0.656967840735069
Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,84,0.43411479385610335
Annotator1,Annotator4,MultiHuman annotator vs. MultiHuman annotator,0,
Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,168,0.41327124563445855
Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,168,0.536764705882353
Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,168,0.20517524379646612
Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,126,0.6216637010676157
Annotator1,Qwen,model vs. any human annotator,378,0.41934045241693724
Annotator1,Gemma,model vs. any human annotator,378,0.44359943084245124
Annotator1,GLM,model vs. any human annotator,378,0.45936558206058126
Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,84,0.6189241736876214
Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,42,0.35823429541595914
Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,84,0.45085662759242556
Annotator2,Annotator6,MultiHuman annotator vs. MultiHuman annotator,168,0.4735342715514786
Annotator2,Annotator7,MultiHuman annotator vs. MultiHuman annotator,168,0.5294996265870051
Annotator2,Annotator8,MultiHuman annotator vs. MultiHuman annotator,210,0.572072072072072
Annotator2,Qwen,model vs. any human annotator,462,0.49286146022218064
Annotator2,Gemma,model vs. any human annotator,462,0.5218531051904105
Annotator2,GLM,model vs. any human annotator,462,0.5255136856471302
Annotator3,Annotator4,MultiHuman annotator vs. MultiHuman annotator,42,0.36842105263157887
Annotator3,Annotator5,MultiHuman annotator vs. MultiHuman annotator,168,0.4347311358963176
Annotator3,Annotator6,MultiHuman annotator vs. MultiHuman annotator,168,0.43711858322364483
Annotator3,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.4415231187669991
Annotator3,Annotator8,MultiHuman annotator vs. MultiHuman annotator,210,0.47518450544730356
Annotator3,Qwen,model vs. any human annotator,420,0.366130057191273
Annotator3,Gemma,model vs. any human annotator,420,0.4086893816477376
Annotator3,GLM,model vs. any human annotator,420,0.44362076377130716
Annotator4,Annotator5,MultiHuman annotator vs. MultiHuman annotator,84,0.3526970954356847
Annotator4,Annotator6,MultiHuman annotator vs. MultiHuman annotator,42,0.29156626506024097
Annotator4,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.18236472945891785
Annotator4,Annotator8,MultiHuman annotator vs. MultiHuman annotator,42,0.2978056426332289
Annotator4,Qwen,model vs. any human annotator,126,0.25905701984668694
Annotator4,Gemma,model vs. any human annotator,126,0.2490909090909091
Annotator4,GLM,model vs. any human annotator,126,0.3045324275554612
Annotator5,Annotator6,MultiHuman annotator vs. MultiHuman annotator,84,0.5201827875095202
Annotator5,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.47111111111111115
Annotator5,Annotator8,MultiHuman annotator vs. MultiHuman annotator,84,0.4069037656903766
Annotator5,Qwen,model vs. any human annotator,378,0.32742689556158194
Annotator5,Gemma,model vs. any human annotator,378,0.33688222128122913
Annotator5,GLM,model vs. any human annotator,378,0.31645569620253156
Annotator6,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.2474513438368861
Annotator6,Annotator8,MultiHuman annotator vs. MultiHuman annotator,84,0.4304418985270049
Annotator6,Qwen,model vs. any human annotator,420,0.3704461077249896
Annotator6,Gemma,model vs. any human annotator,420,0.3487125490571457
Annotator6,GLM,model vs. any human annotator,420,0.3783267166593147
Annotator7,Annotator8,MultiHuman annotator vs. MultiHuman annotator,84,0.5787362086258775
Annotator7,Qwen,model vs. any human annotator,378,0.2596323344245782
Annotator7,Gemma,model vs. any human annotator,378,0.27650101130764104
Annotator7,GLM,model vs. any human annotator,378,0.26375842634545243
Annotator8,Qwen,model vs. any human annotator,462,0.40162640753611295
Annotator8,Gemma,model vs. any human annotator,462,0.3916017076952486
Annotator8,GLM,model vs. any human annotator,462,0.42970417810308026
Qwen,Gemma,model vs. model,1134,0.5808840611338341
Qwen,GLM,model vs. model,1134,0.570196943891381
Gemma,GLM,model vs. model,1134,0.5768947407072246
