annotator_a,annotator_b,pair_category,n_shared,kappa
SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,1134,0.5993320924470894
SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,378,0.4022770398481973
SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,462,0.5049557996249665
SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,420,0.3728891890931067
SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,126,0.15846994535519124
SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,378,0.335033016342452
SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,420,0.31248384595502715
SingleHuman,Annotator7,SingleHuman vs. MultiHuman annotator,378,0.3493531509132389
SingleHuman,Annotator8,SingleHuman vs. MultiHuman annotator,462,0.4187670816884299
SingleHuman,Qwen,model vs. any human annotator,1134,0.33852570903133594
SingleHuman,Gemma,model vs. any human annotator,1134,0.32567609727262276
SingleHuman,GLM,model vs. any human annotator,1134,0.3293788265550929
HarmonizedHuman,Annotator1,HarmonizedHuman vs. any human annotator,378,0.5622466705269253
HarmonizedHuman,Annotator2,HarmonizedHuman vs. any human annotator,462,0.5697448517031473
HarmonizedHuman,Annotator3,HarmonizedHuman vs. any human annotator,420,0.40640505187189896
HarmonizedHuman,Annotator4,HarmonizedHuman vs. any human annotator,126,0.20191731575793892
HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,378,0.43433738803258015
HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,420,0.3800638547064769
HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,378,0.287106030453094
HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,462,0.4587669337853164
HarmonizedHuman,Qwen,model vs. any human annotator,1134,0.3267602574255547
HarmonizedHuman,Gemma,model vs. any human annotator,1134,0.3159840808377318
HarmonizedHuman,GLM,model vs. any human annotator,1134,0.3115331423543484
Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,84,0.5551071878940731
Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,84,0.34918514560512964
Annotator1,Annotator4,MultiHuman annotator vs. MultiHuman annotator,0,
Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,168,0.3468982630272952
Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,168,0.44558348546552445
Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,168,0.1594342345809679
Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,126,0.5305205479452054
Annotator1,Qwen,model vs. any human annotator,378,0.34535405023644294
Annotator1,Gemma,model vs. any human annotator,378,0.3424727520435968
Annotator1,GLM,model vs. any human annotator,378,0.3545653466223139
Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,84,0.4649681528662421
Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,42,0.15436241610738244
Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,84,0.3455031166518255
Annotator2,Annotator6,MultiHuman annotator vs. MultiHuman annotator,168,0.33086502860989553
Annotator2,Annotator7,MultiHuman annotator vs. MultiHuman annotator,168,0.47332185886402756
Annotator2,Annotator8,MultiHuman annotator vs. MultiHuman annotator,210,0.44729084783829315
Annotator2,Qwen,model vs. any human annotator,462,0.3690851735015773
Annotator2,Gemma,model vs. any human annotator,462,0.3513621928798261
Annotator2,GLM,model vs. any human annotator,462,0.3507728894173604
Annotator3,Annotator4,MultiHuman annotator vs. MultiHuman annotator,42,0.19402985074626866
Annotator3,Annotator5,MultiHuman annotator vs. MultiHuman annotator,168,0.3573543928923988
Annotator3,Annotator6,MultiHuman annotator vs. MultiHuman annotator,168,0.3146100632649441
Annotator3,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.29559748427672944
Annotator3,Annotator8,MultiHuman annotator vs. MultiHuman annotator,210,0.3507497294790539
Annotator3,Qwen,model vs. any human annotator,420,0.2970956382273979
Annotator3,Gemma,model vs. any human annotator,420,0.28082801413930786
Annotator3,GLM,model vs. any human annotator,420,0.31292952723873496
Annotator4,Annotator5,MultiHuman annotator vs. MultiHuman annotator,84,0.23344127171033277
Annotator4,Annotator6,MultiHuman annotator vs. MultiHuman annotator,42,0.1479713603818618
Annotator4,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.14042069357589532
Annotator4,Annotator8,MultiHuman annotator vs. MultiHuman annotator,42,0.2141372141372141
Annotator4,Qwen,model vs. any human annotator,126,0.18599562363238506
Annotator4,Gemma,model vs. any human annotator,126,0.11640953716690045
Annotator4,GLM,model vs. any human annotator,126,0.17811678064176745
Annotator5,Annotator6,MultiHuman annotator vs. MultiHuman annotator,84,0.362670713201821
Annotator5,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.4108527131782946
Annotator5,Annotator8,MultiHuman annotator vs. MultiHuman annotator,84,0.34596418375291993
Annotator5,Qwen,model vs. any human annotator,378,0.26741507295132927
Annotator5,Gemma,model vs. any human annotator,378,0.24543639818177435
Annotator5,GLM,model vs. any human annotator,378,0.23465320223226152
Annotator6,Annotator7,MultiHuman annotator vs. MultiHuman annotator,84,0.17470064476512145
Annotator6,Annotator8,MultiHuman annotator vs. MultiHuman annotator,84,0.33812282734646587
Annotator6,Qwen,model vs. any human annotator,420,0.28063785805689545
Annotator6,Gemma,model vs. any human annotator,420,0.24281241104469134
Annotator6,GLM,model vs. any human annotator,420,0.24600440558558395
Annotator7,Annotator8,MultiHuman annotator vs. MultiHuman annotator,84,0.418253771951521
Annotator7,Qwen,model vs. any human annotator,378,0.21734780373247362
Annotator7,Gemma,model vs. any human annotator,378,0.20500444899830125
Annotator7,GLM,model vs. any human annotator,378,0.21187347397876602
Annotator8,Qwen,model vs. any human annotator,462,0.2810668229777256
Annotator8,Gemma,model vs. any human annotator,462,0.25859253987524594
Annotator8,GLM,model vs. any human annotator,462,0.2764420670223265
Qwen,Gemma,model vs. model,1134,0.45334388612258003
Qwen,GLM,model vs. model,1134,0.44674018075370886
Gemma,GLM,model vs. model,1134,0.4404230141394486
