label,n,exact,semantic,category,exact_pct,semantic_pct,no_match_pct
AcquisitionMethod,276,157,71,technical,56.88405797101449,25.72463768115942,17.391304347826086
Age,68,48,16,biological,70.58823529411765,23.529411764705884,5.882352941176464
AlkylationReagent,425,420,0,technical,98.82352941176471,0.0,1.17647058823529
CellLine,165,152,5,biological,92.12121212121212,3.0303030303030303,4.848484848484845
CellType,50,28,7,biological,56.0,14.0,30.0
Chromatography,26,20,6,technical,76.92307692307692,23.076923076923077,3.552713678800501e-15
CleavageAgent,614,586,10,technical,95.43973941368078,1.6286644951140066,2.9315960912052104
CollisionEnergy,280,175,68,technical,62.5,24.285714285714285,13.214285714285715
Compound,105,86,1,biological,81.9047619047619,0.9523809523809523,17.14285714285715
Disease,245,203,23,biological,82.85714285714286,9.387755102040817,7.755102040816322
EnrichmentMethod,174,99,23,technical,56.89655172413793,13.218390804597702,29.885057471264368
FactorValue,89,63,6,experimental_design,70.78651685393258,6.741573033707865,22.471910112359552
FractionIdentifier,21,16,3,experimental_design,76.19047619047619,14.285714285714286,9.523809523809524
FractionationFraction,14,10,0,experimental_design,71.42857142857143,0.0,28.57142857142857
FractionationMethod,147,94,26,technical,63.945578231292515,17.687074829931973,18.367346938775512
FragmentMassTolerance,251,145,91,technical,57.76892430278885,36.254980079681275,5.976095617529879
FragmentationMethod,385,338,31,technical,87.79220779220779,8.051948051948052,4.155844155844157
GradientTime,211,141,41,technical,66.82464454976304,19.43127962085308,13.744075829383885
Instrument,645,396,205,technical,61.395348837209305,31.782945736434108,6.821705426356587
IonizationType,195,113,78,technical,57.94871794871795,40.0,2.051282051282051
Label,219,180,28,technical,82.1917808219178,12.785388127853881,5.022831050228316
MS2MassAnalyzer,118,87,16,technical,73.72881355932203,13.559322033898304,12.711864406779661
Modification,427,322,95,technical,75.40983606557377,22.24824355971897,2.3419203747072608
NumberOfBiologicalReplicates,68,32,18,experimental_design,47.05882352941177,26.470588235294116,26.470588235294116
NumberOfFractions,228,161,7,experimental_design,70.6140350877193,3.0701754385964914,26.315789473684205
NumberOfMissedCleavages,221,99,22,technical,44.796380090497735,9.95475113122172,45.248868778280546
NumberOfSamples,134,103,6,experimental_design,76.86567164179104,4.477611940298507,18.656716417910452
NumberOfTechnicalReplicates,72,36,16,experimental_design,50.0,22.22222222222222,27.77777777777778
Organism,498,478,10,biological,95.9839357429719,2.0080321285140563,2.008032128514049
OrganismPart,228,153,24,biological,67.10526315789474,10.526315789473685,22.368421052631575
PooledSample,29,19,6,biological,65.51724137931035,20.689655172413794,13.793103448275858
PrecursorMassTolerance,379,238,115,technical,62.79683377308707,30.34300791556728,6.860158311345646
ReductionReagent,384,351,20,technical,91.40625,5.208333333333333,3.385416666666667
SampleTreatment,7,6,0,experimental_design,85.71428571428571,0.0,14.285714285714292
SamplingTime,14,12,1,experimental_design,85.71428571428571,7.142857142857143,7.142857142857149
Separation,317,125,49,technical,39.43217665615142,15.457413249211356,45.110410094637224
Sex,88,83,3,biological,94.31818181818181,3.409090909090909,2.272727272727278
Staining,75,46,18,biological,61.333333333333336,24.0,14.666666666666664
Strain,145,108,23,biological,74.48275862068965,15.862068965517242,9.655172413793107
SupplementaryFile,44,26,5,technical,59.09090909090909,11.363636363636363,29.545454545454543
Time,178,112,46,experimental_design,62.92134831460674,25.84269662921348,11.23595505617978
Treatment,27,18,1,biological,66.66666666666667,3.7037037037037037,29.629629629629626
