category,n_labels,annotator_a,annotator_b,pair_category,n_items,string_kappa,sapbert_kappa,shift
biological,12,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,324,0.5589762548943822,0.6178150750720389,0.05883882017765674
biological,12,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,108,0.29752412924884575,0.3639040807740848,0.06637995152523907
biological,12,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,132,0.3994540491355779,0.4492111096622767,0.04975706052669876
biological,12,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,120,0.2565055762081784,0.29159546372533784,0.03508988751715947
biological,12,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,36,0.3592233009708739,0.4748784440842788,0.11565514311340491
biological,12,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,108,0.37768465165007864,0.43277310924369744,0.0550884575936188
biological,12,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,120,0.298607529654461,0.317594347751163,0.018986818096701996
biological,12,SingleHuman,Annotator7,SingleHuman vs. MultiHuman annotator,108,0.4255319148936173,0.44910734987247863,0.02357543497886133
biological,12,SingleHuman,Annotator8,SingleHuman vs. MultiHuman annotator,132,0.28407858262022406,0.34574468085106386,0.061666098230839794
biological,12,SingleHuman,Qwen,model vs. any human annotator,324,0.2444659126871762,0.2752282857285946,0.030762373041418378
biological,12,SingleHuman,Gemma,model vs. any human annotator,324,0.26360173675878185,0.32775856648852564,0.06415682972974379
biological,12,SingleHuman,GLM,model vs. any human annotator,324,0.233265720081136,0.2615836660890529,0.028317946007916928
biological,12,HarmonizedHuman,Annotator1,HarmonizedHuman vs. any human annotator,108,0.47988193257728745,0.49532710280373826,0.01544517022645081
biological,12,HarmonizedHuman,Annotator2,HarmonizedHuman vs. any human annotator,132,0.510341726618705,0.5384094754653129,0.0280677488466079
biological,12,HarmonizedHuman,Annotator3,HarmonizedHuman vs. any human annotator,120,0.27577287843330467,0.33242675237977504,0.05665387394647037
biological,12,HarmonizedHuman,Annotator4,HarmonizedHuman vs. any human annotator,36,0.4033149171270717,0.551246537396122,0.14793162026905027
biological,12,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,108,0.4576757532281205,0.5800691244239631,0.12239337119584259
biological,12,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,120,0.4923992068737607,0.538400318344608,0.04600111147084729
biological,12,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,108,0.3025641025641026,0.34196496572734203,0.03940086316323943
