pxd	run	tissue_llm	tissue_mlm	confidence_mlm
PXD001417	PBMC_1_con_sn1a	blood	Monocytes	0.2631
PXD001417	PBMC_1_con_sn1b	blood	Monocytes	0.2693
PXD001417	PBMC_2_con_sn1a	blood	Adipose tissue	0.0893
PXD001417	PBMC_2_con_sn1b	blood	Monocytes	0.111
PXD001417	PBMC_3_con_sn1a	blood	Monocytes	0.3237
PXD001417	PBMC_3_con_sn1b	blood	Monocytes	0.3741
PXD001418	PBMC_1_stim_ne1a	blood	B-cells	0.4477
PXD001418	PBMC_1_stim_ne1b	blood	B-cells	0.4269
PXD001418	PBMC_1_stim_ne2a	blood	Monocytes	0.1949
PXD001418	PBMC_1_stim_ne2b	blood	Bone marrow	0.1939
PXD001418	PBMC_1_stim_ne3a	blood	Monocytes	0.1514
PXD001418	PBMC_1_stim_ne3b	blood	Monocytes	0.1862
PXD001418	PBMC_1_stim_ne4a	blood	Ovary	0.0847
PXD001418	PBMC_1_stim_ne4b	blood	Monocytes	0.1382
PXD001418	PBMC_2_stim_ne1a	blood	B-cells	0.3352
PXD001418	PBMC_2_stim_ne1b	blood	B-cells	0.3465
PXD001418	PBMC_2_stim_ne2a	blood	Bone marrow	0.2066
PXD001418	PBMC_2_stim_ne2b	blood	Bone marrow	0.2013
PXD001418	PBMC_2_stim_ne3a	blood	Monocytes	0.1501
PXD001418	PBMC_2_stim_ne3b	blood	Bone marrow	0.1377
PXD001418	PBMC_2_stim_ne4a	blood	Monocytes	0.1895
PXD001418	PBMC_2_stim_ne4b	blood	Monocytes	0.1789
PXD001418	PBMC_3_stim_ne1a	blood	B-cells	0.3124
PXD001418	PBMC_3_stim_ne1b	blood	B-cells	0.3118
PXD001418	PBMC_3_stim_ne2a	blood	Bone marrow	0.1931
PXD001418	PBMC_3_stim_ne2b	blood	Bone marrow	0.2008
PXD001418	PBMC_3_stim_ne3a	blood	Monocytes	0.151
PXD001418	PBMC_3_stim_ne3b	blood	Monocytes	0.1547
PXD001418	PBMC_3_stim_ne4a	blood	B-cells	0.1692
PXD001418	PBMC_3_stim_ne4b	blood	B-cells	0.1906
PXD001422	PBMC_1_stim_dex_cyt1a	blood	Monocytes	0.2087
PXD001422	PBMC_1_stim_dex_cyt1b	blood	Bone marrow	0.1992
PXD001422	PBMC_1_stim_dex_cyt2a	blood	Monocytes	0.2236
PXD001422	PBMC_1_stim_dex_cyt2b	blood	Monocytes	0.1872
PXD001422	PBMC_1_stim_dex_cyt3a	blood	Monocytes	0.1925
PXD001422	PBMC_1_stim_dex_cyt3b	blood	Monocytes	0.2234
PXD001422	PBMC_1_stim_dex_cyt4a	blood	Monocytes	0.1675
PXD001422	PBMC_1_stim_dex_cyt4b	blood	Monocytes	0.1551
PXD001422	PBMC_2_stim_dex_cyt1a	blood	Bone marrow	0.1652
PXD001422	PBMC_2_stim_dex_cyt1b	blood	Bone marrow	0.162
PXD001422	PBMC_2_stim_dex_cyt2a	blood	Monocytes	0.1768
PXD001422	PBMC_2_stim_dex_cyt2b	blood	Monocytes	0.206
PXD001422	PBMC_2_stim_dex_cyt3a	blood	Monocytes	0.2035
PXD001422	PBMC_2_stim_dex_cyt3b	blood	Monocytes	0.1907
PXD001422	PBMC_2_stim_dex_cyt4a	blood	Ovary	0.1278
PXD001422	PBMC_2_stim_dex_cyt4b	blood	Monocytes	0.1123
PXD001422	PBMC_3_stim_dex_cyt1a	blood	Bone marrow	0.1351
PXD001422	PBMC_3_stim_dex_cyt1b	blood	Monocytes	0.1207
PXD001422	PBMC_3_stim_dex_cyt2a	blood	Monocytes	0.2164
PXD001422	PBMC_3_stim_dex_cyt2b	blood	Monocytes	0.2276
PXD001422	PBMC_3_stim_dex_cyt3a	blood	Monocytes	0.1989
PXD001422	PBMC_3_stim_dex_cyt3b	blood	Monocytes	0.236
PXD001422	PBMC_3_stim_dex_cyt4a	blood	Monocytes	0.1686
PXD001422	PBMC_3_stim_dex_cyt4b	blood	Monocytes	0.1682
PXD002966	Obc08672	blood	Skeletal muscle	0.0395
PXD002966	QHF0006	blood	Monocytes	0.0546
PXD002966	QHF0009	blood	Adipose tissue	0.086
PXD002966	QHF0012	blood	Adipose tissue	0.0968
PXD002966	QHF0013	blood	Adipose tissue	0.1331
PXD002966	QHF0415	blood	Adipose tissue	0.1331
PXD003028	20141116_QEp1_LC7_PhGe_4_53_M1_2	saliva	Adipose tissue	0.2052
PXD003028	20141116_QEp1_LC7_PhGe_4_53_M1_3	saliva	Adipose tissue	0.1885
PXD003028	20141116_QEp1_LC7_PhGe_4_53_M1_4	saliva	Adipose tissue	0.1764
PXD003028	20141116_QEp1_LC7_PhGe_4_53_M2_1	saliva	Adipose tissue	0.2002
PXD003028	20141116_QEp1_LC7_PhGe_4_53_M2_2	saliva	Adipose tissue	0.1366
PXD003028	20141116_QEp1_LC7_PhGe_4_53_M2_3	saliva	Adipose tissue	0.2023
PXD003028	20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2	saliva	Salivary gland	0.2163
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1	saliva	Esophagus	0.1984
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated1	saliva	Esophagus	0.2366
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2	saliva	Esophagus	0.26
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated3	saliva	Esophagus	0.2084
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4	saliva	Esophagus	0.2146
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated5	saliva	Esophagus	0.2332
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated6	saliva	Salivary gland	0.27
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated7	saliva	Esophagus	0.245
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated8	saliva	Esophagus	0.2164
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_1m	saliva	Esophagus	0.2491
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated1	saliva	Esophagus	0.2325
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated2	saliva	Esophagus	0.2565
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated3	saliva	Salivary gland	0.2974
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated4	saliva	Salivary gland	0.2331
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated5	saliva	Salivary gland	0.2492
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated6	saliva	Esophagus	0.2304
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated7	saliva	Esophagus	0.2191
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated8	saliva	Esophagus	0.2474
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2m	saliva	Salivary gland	0.2416
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3	saliva	Esophagus	0.2244
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated1	saliva	Esophagus	0.2412
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated2	saliva	Esophagus	0.2241
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated3	saliva	Esophagus	0.2323
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated4	saliva	Esophagus	0.2352
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated5	saliva	Esophagus	0.2149
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated6	saliva	Esophagus	0.2438
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated7	saliva	Esophagus	0.2229
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated8	saliva	Esophagus	0.2845
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_3m	saliva	Salivary gland	0.2413
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_4	saliva	Esophagus	0.2423
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_4m	saliva	Esophagus	0.2279
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5	saliva	Esophagus	0.2319
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated1	saliva	Esophagus	0.2408
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated2	saliva	Salivary gland	0.2509
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated3	saliva	Esophagus	0.2271
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated4	saliva	Salivary gland	0.2445
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated5	saliva	Esophagus	0.233
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated6	saliva	Esophagus	0.2462
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated7	saliva	Esophagus	0.2166
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated8	saliva	Esophagus	0.2524
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5m	saliva	Salivary gland	0.2307
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6	saliva	Esophagus	0.2378
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated1	saliva	Salivary gland	0.206
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated2	saliva	Esophagus	0.2351
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated3	saliva	Esophagus	0.2469
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated4	saliva	Salivary gland	0.2814
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated5	saliva	Salivary gland	0.296
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated6	saliva	Esophagus	0.2259
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated7	saliva	Esophagus	0.232
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated8	saliva	Esophagus	0.2351
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6m	saliva	Salivary gland	0.2288
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7	saliva	Esophagus	0.2263
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated1	saliva	Salivary gland	0.2351
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated2	saliva	Salivary gland	0.2518
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated3	saliva	Salivary gland	0.2336
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated4	saliva	Salivary gland	0.2111
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated5	saliva	Esophagus	0.2617
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated6	saliva	Salivary gland	0.2297
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated7	saliva	Salivary gland	0.2889
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated8	saliva	Esophagus	0.2321
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_7m	saliva	Esophagus	0.2217
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8	saliva	Esophagus	0.2219
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated1	saliva	Esophagus	0.2597
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated2	saliva	Esophagus	0.2544
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated3	saliva	Esophagus	0.2324
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated4	saliva	Esophagus	0.2214
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated5	saliva	Salivary gland	0.3006
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated6	saliva	Esophagus	0.2053
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated7	saliva	Salivary gland	0.2246
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated8	saliva	Esophagus	0.2122
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8m	saliva	Salivary gland	0.2525
PXD003028	20150513_QEp4_NiGr_SA_workflow_rep1	saliva	Esophagus	0.2339
PXD003028	20150513_QEp4_NiGr_SA_workflow_rep2	saliva	Salivary gland	0.2255
PXD003028	20150513_QEp4_NiGr_SA_workflow_rep3	saliva	Salivary gland	0.2595
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4	saliva	Esophagus	0.2268
PXD005200	20151124_QEp7_JRW_SA_A_O66	blood	Testis	0.0688
PXD005200	20151124_QEp7_JRW_SA_A_O67	blood	Testis	0.0674
PXD005200	20151124_QEp7_JRW_SA_A_O75	blood	Bone marrow	0.1356
PXD005200	20151124_QEp7_JRW_SA_A_O76	blood	Bone marrow	0.1222
PXD005200	20151124_QEp7_JRW_SA_G_O69	blood	Skeletal muscle	0.0392
PXD005200	20151124_QEp7_JRW_SA_G_O78	blood	Placenta	0.0402
PXD005200	20151124_QEp7_JRW_SA_L_O63	blood	Testis	0.0734
PXD005200	20151124_QEp7_JRW_SA_L_O64	blood	Placenta	0.045
PXD005200	20151124_QEp7_JRW_SA_L_O72	blood	Bone marrow	0.0983
PXD005200	20151124_QEp7_JRW_SA_L_O73	blood	Bone marrow	0.1075
PXD005200	20151124_QEp7_JRW_SA_T_O63	blood	Testis	0.0673
PXD005200	20151124_QEp7_JRW_SA_T_O64	blood	Testis	0.0627
PXD005200	20151124_QEp7_JRW_SA_T_O66	blood	Testis	0.0577
PXD005200	20151124_QEp7_JRW_SA_T_O67	blood	Testis	0.0622
PXD005200	20151124_QEp7_JRW_SA_T_O69	blood	Salivary gland	0.0392
PXD005200	20151124_QEp7_JRW_SA_T_O70	blood	Testis	0.0394
PXD005200	20151124_QEp7_JRW_SA_T_O72	blood	Bone marrow	0.1148
PXD005200	20151124_QEp7_JRW_SA_T_O73	blood	Bone marrow	0.1983
PXD005200	20151124_QEp7_JRW_SA_T_O75	blood	Bone marrow	0.1257
PXD005200	20151124_QEp7_JRW_SA_T_O76	blood	Bone marrow	0.1137
PXD005200	20151124_QEp7_JRW_SA_T_O78	blood	Bone marrow	0.1126
PXD005200	20151124_QEp7_JRW_SA_T_O79	blood	Bone marrow	0.1167
PXD005200	20160309_QEp7_JRW_SA_A_O100	blood	Placenta	0.043
PXD005200	20160309_QEp7_JRW_SA_A_O102	blood	Testis	0.0565
PXD005200	20160309_QEp7_JRW_SA_A_O103	blood	Testis	0.0719
PXD005200	20160309_QEp7_JRW_SA_A_O105	blood	Placenta	0.047
PXD005200	20160309_QEp7_JRW_SA_A_O106	blood	Testis	0.0498
PXD005200	20160309_QEp7_JRW_SA_A_O99	blood	Testis	0.0671
PXD005200	20160309_QEp7_JRW_SA_A_Q40	blood	Bone marrow	0.1181
PXD005200	20160309_QEp7_JRW_SA_A_Q41	blood	Bone marrow	0.1176
PXD005200	20160309_QEp7_JRW_SA_A_Q42	blood	Bone marrow	0.1281
PXD005200	20160309_QEp7_JRW_SA_A_Q43	blood	Bone marrow	0.1355
PXD005200	20160309_QEp7_JRW_SA_A_Q44	blood	Bone marrow	0.1291
PXD005200	20160309_QEp7_JRW_SA_A_Q45	blood	Bone marrow	0.1294
PXD005200	20160309_QEp7_JRW_SA_G_O117	blood	Tonsil	0.0434
PXD005200	20160309_QEp7_JRW_SA_G_O118	blood	Placenta	0.0403
PXD005200	20160309_QEp7_JRW_SA_G_O124	blood	Skeletal muscle	0.0394
PXD005200	20160309_QEp7_JRW_SA_G_Q34	blood	Placenta	0.0397
PXD005200	20160309_QEp7_JRW_SA_L_O81_160310165033	blood	Placenta	0.0497
PXD005200	20160309_QEp7_JRW_SA_L_O82	blood	Testis	0.0549
PXD005200	20160309_QEp7_JRW_SA_L_O84	blood	Testis	0.0627
PXD005200	20160309_QEp7_JRW_SA_L_O85	blood	Placenta	0.0493
PXD005200	20160309_QEp7_JRW_SA_L_O87	blood	Testis	0.0493
PXD005200	20160309_QEp7_JRW_SA_L_O88	blood	Placenta	0.0499
PXD005200	20160309_QEp7_JRW_SA_L_Q28	blood	Bone marrow	0.118
PXD005200	20160309_QEp7_JRW_SA_L_Q29	blood	Bone marrow	0.1229
PXD005200	20160309_QEp7_JRW_SA_L_Q30	blood	Bone marrow	0.1508
PXD005200	20160309_QEp7_JRW_SA_L_Q31	blood	Bone marrow	0.1402
PXD005200	20160309_QEp7_JRW_SA_L_Q32	blood	Bone marrow	0.1311
PXD005200	20160309_QEp7_JRW_SA_L_Q33	blood	Bone marrow	0.1161
PXD005200	20160309_QEp7_JRW_SA_T_O100	blood	Placenta	0.045
PXD005200	20160309_QEp7_JRW_SA_T_O102	blood	Placenta	0.0452
PXD005200	20160309_QEp7_JRW_SA_T_O103	blood	Rectum	0.0442
PXD005200	20160309_QEp7_JRW_SA_T_O105	blood	Thyroid	0.0709
PXD005200	20160309_QEp7_JRW_SA_T_O106	blood	Placenta	0.0459
PXD005200	20160309_QEp7_JRW_SA_T_O117	blood	Testis	0.05
PXD005200	20160309_QEp7_JRW_SA_T_O118	blood	Testis	0.0684
PXD005200	20160309_QEp7_JRW_SA_T_O120	blood	Testis	0.0506
PXD005200	20160309_QEp7_JRW_SA_T_O121	blood	Thyroid	0.072
PXD005200	20160309_QEp7_JRW_SA_T_O123	blood	Heart	0.0745
PXD005200	20160309_QEp7_JRW_SA_T_O124	blood	Testis	0.0481
