pxd	run	tissue_mlm	confidence_mlm	tissue_llm	is_agree	is_in_mlm_vocab	lin_similarity	uberon_distance	concordance_tier	mica_label	disease_state_llm	sample_source_llm
PXD003657	qeP_09222015_10C	Skeletal muscle	0.0385	breast	False	False	0.2583	5.0	True Conflict	muscle organ	normal	milk
PXD003657	qeP_09222015_12D	Testis	0.0458	breast	False	False	0.1817	5.0	True Conflict	primordium	normal	milk
PXD003657	qeP_09222015_14E	Lymph node	0.0489	breast	False	False	0.309	5.0	True Conflict	vascular cord	normal	milk
PXD003657	qeP_09222015_16F	Placenta	0.1139	breast	False	False	0.2696	4.0	Distant Concordance (Organ System)	entire extraembryonic component	normal	milk
PXD003657	qeP_09222015_18G	Tonsil	0.0395	breast	False	False	0.2324	5.0	True Conflict	hemolymphoid system	normal	milk
PXD003657	qeP_09222015_20H	Tonsil	0.039	breast	False	False	0.2324	5.0	True Conflict	hemolymphoid system	normal	milk
PXD003657	qeP_09222015_22_I	Testis	0.2076	breast	False	False	0.1817	5.0	True Conflict	primordium	normal	milk
PXD003657	qeP_09222015_24_l	Tonsil	0.0388	breast	False	False	0.2324	5.0	True Conflict	hemolymphoid system	normal	milk
PXD003657	qeP_09222015_8B	Tonsil	0.0382	breast	False	False	0.2324	5.0	True Conflict	hemolymphoid system	normal	milk
PXD003657	qeplus_05202015_27AV1	Skeletal muscle	0.0386	breast	False	False	0.2583	5.0	True Conflict	muscle organ	normal	milk
PXD003657	qeplus_05202015_29Av2	Skeletal muscle	0.0386	breast	False	False	0.2583	5.0	True Conflict	muscle organ	normal	milk
PXD005465	OR11_20150710_VMG_M3EPC_273_C	Monocytes	0.2387	carotid artery segment	False	False	0.2633	7.0	True Conflict	hemolymphoid system	atherosclerosis; normal	healthy individuals; atherosclerotic plaque
PXD005465	OR11_20150710_VMG_M3EPC_274_C	Monocytes	0.2534	carotid artery segment	False	False	0.2633	7.0	True Conflict	hemolymphoid system	atherosclerosis; normal	healthy individuals; atherosclerotic plaque
PXD005465	OR11_20150710_VMG_M3EPC_275_C	Monocytes	0.2139	carotid artery segment	False	False	0.2633	7.0	True Conflict	hemolymphoid system	atherosclerosis; normal	healthy individuals; atherosclerotic plaque
PXD006371	Lanlach1	Thyroid	0.0679	peritoneum	False	False	0.1511	6.0	True Conflict	unilaminar epithelium	normal	healthy PD patients
