agent,field,datasets annotated,several values,share multi-valued (of annotated)
Technical,instrument,1718,621,0.36
Technical,acquisition_method,1627,617,0.38
Technical,cleavage_agent,1579,470,0.3
Biological,cell_type,1317,426,0.32
Technical,labeling,1704,352,0.21
Biological,disease_state,1457,321,0.22
Biological,cell_line,816,278,0.34
Biological,sample_source,1686,234,0.14
Biological,tissue,1306,199,0.15
Technical,collision_energy,890,189,0.21
Technical,_hallucination_flags,315,185,0.59
Technical,_evidence_grounding_flags,964,177,0.18
ExperimentalDesign,factor_value,1232,173,0.14
Technical,fragmentation_method,1020,130,0.13
Technical,alkylation_reagent,1376,121,0.09
Technical,enrichment_method,513,110,0.21
Biological,species,1732,94,0.05
Technical,reduction_concentration,1022,83,0.08
Technical,fractionation_method,535,78,0.15
Technical,alkylation_concentration,941,76,0.08
Technical,reduction_reagent,1155,67,0.06
Technical,ionization_type,1059,66,0.06
Biological,strain,177,58,0.33
ExperimentalDesign,experimental_design,1300,51,0.04
Biological,age,166,38,0.23
ExperimentalDesign,biological_replicate,624,33,0.05
ExperimentalDesign,number_of_biological_replicates,743,21,0.03
Biological,sex,172,20,0.12
ExperimentalDesign,number_of_fractions,421,13,0.03
ExperimentalDesign,number_of_samples,690,8,0.01
ExperimentalDesign,technical_replicate,357,4,0.01
ExperimentalDesign,number_of_technical_replicates,369,3,0.01
Biological,anatomic_site_tumor,31,2,0.06
Biological,BMI,9,1,0.11
