level,row,projects,samples,note
HAMLET,datasets annotated,1737,,production run (manuscript + PRIDE)
HAMLET,listing Homo sapiens,1425,,
HAMLET,exactly one tissue,872,,
HAMLET,no tissue annotated,382,,
HAMLET,several tissues listed,171,,
HAMLET,several cell lines listed,238,,
HAMLET,several disease states listed,289,,
MLMarker,scored by MLMarker (all human projects),1273,62329,fraction-collapsed samples of the reprocessing database
MLMarker,with a HAMLET tissue,926,50503,project-level HAMLET tissue joined on PXD
MLMarker,without a HAMLET tissue,347,11826,
MLMarker,with several HAMLET tissues,146,8636,
MLMarker,usable (coverage >= 0.10),841,32018,
MLMarker,usable with a HAMLET tissue,628,26053,
MLMarker,usable with several HAMLET tissues,108,4828,
Fig. 5a/b,healthy native single tissue training set excluded,31,2775,967 usable; includes 1343 biofluid runs counted as no matching class
Fig. 5c,healthy native multi-tissue non-biofluid usable,9,473,133 files outside MLMarker training set
