pxd,n,k,training,top-1 in HAMLET's list,rescued from rank 2-5,no listed tissue in top-5,coverage < 0.10,ok,bad
PXD050416,90,2,False,0,0,0,90,,
PXD048734,58,7,False,51,7,0,0,,
PXD010296,44,2,False,0,35,6,3,18.0,8.0
PXD058971,32,8,False,0,0,0,32,,
PXD055814,25,4,False,0,0,0,25,,
PXD048647,20,2,False,13,2,5,0,,
PXD006401,14,2,False,14,0,0,0,14.0,0.0
PXD068664,6,2,False,0,0,0,6,,
PXD056300,2,5,False,0,0,0,2,,
PXD056689,1,2,False,0,0,0,1,,
PXD010271,236,3,True,65,20,27,124,,
PXD020192,92,11,True,51,39,0,2,,
PXD000561,85,14,True,57,27,1,0,,
PXD010154,40,28,True,39,1,0,0,,
PXD005693,15,2,True,10,1,2,2,,
