run,truth_raw,pxd,truth_class,source,in_training
PXD000561-Sample 1,adrenal gland,PXD000561,Adrenal gland,PRIDE SDRF,True
PXD000561-Sample 10,liver,PXD000561,Liver,PRIDE SDRF,True
PXD000561-Sample 11,liver,PXD000561,Liver,PRIDE SDRF,True
PXD000561-Sample 12,lung,PXD000561,Lung,PRIDE SDRF,True
PXD000561-Sample 13,lung,PXD000561,Lung,PRIDE SDRF,True
PXD000561-Sample 14,placenta,PXD000561,Placenta,PRIDE SDRF,True
PXD000561-Sample 15,brain,PXD000561,Brain,PRIDE SDRF,True
PXD000561-Sample 16,brain,PXD000561,Brain,PRIDE SDRF,True
PXD000561-Sample 17,gut,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 18,gut,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 19,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 2,adrenal gland,PXD000561,Adrenal gland,PRIDE SDRF,True
PXD000561-Sample 20,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 21,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 22,liver,PXD000561,Liver,PRIDE SDRF,True
PXD000561-Sample 23,liver,PXD000561,Liver,PRIDE SDRF,True
PXD000561-Sample 24,liver,PXD000561,Liver,PRIDE SDRF,True
PXD000561-Sample 25,ovary,PXD000561,Ovary,PRIDE SDRF,True
PXD000561-Sample 26,testis,PXD000561,Testis,PRIDE SDRF,True
PXD000561-Sample 27,testis,PXD000561,Testis,PRIDE SDRF,True
PXD000561-Sample 28,cd4 tcells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 29,cd4 tcells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 3,esophagus,PXD000561,Esophagus,PRIDE SDRF,True
PXD000561-Sample 30,cd4 tcells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 31,monocytes,PXD000561,Monocytes,PRIDE SDRF,True
PXD000561-Sample 32,monocytes,PXD000561,Monocytes,PRIDE SDRF,True
PXD000561-Sample 33,monocytes,PXD000561,Monocytes,PRIDE SDRF,True
PXD000561-Sample 34,nk cells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 35,platelets,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 36,platelets,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 37,esophagus,PXD000561,Esophagus,PRIDE SDRF,True
PXD000561-Sample 38,frontal cortex,PXD000561,Brain,PRIDE SDRF,True
PXD000561-Sample 39,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 4,esophagus,PXD000561,Esophagus,PRIDE SDRF,True
PXD000561-Sample 40,urinary bladder,PXD000561,Urinary bladder,PRIDE SDRF,True
PXD000561-Sample 41,ovary,PXD000561,Ovary,PRIDE SDRF,True
PXD000561-Sample 42,b cells,PXD000561,B-cells,PRIDE SDRF,True
PXD000561-Sample 43,cd8  tcells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 44,cd8  tcells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 45,cd8  tcells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 46,nk cells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 47,nk cells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 48,platelets,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 49,adrenal gland,PXD000561,Adrenal gland,PRIDE SDRF,True
PXD000561-Sample 5,retina,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 50,colon,PXD000561,Colon,PRIDE SDRF,True
PXD000561-Sample 51,colon,PXD000561,Colon,PRIDE SDRF,True
PXD000561-Sample 52,gallbladder,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 53,gallbladder,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 54,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 55,kidney,PXD000561,Kidney,PRIDE SDRF,True
PXD000561-Sample 56,lung,PXD000561,Lung,PRIDE SDRF,True
PXD000561-Sample 57,ovary,PXD000561,Ovary,PRIDE SDRF,True
PXD000561-Sample 58,ovary,PXD000561,Ovary,PRIDE SDRF,True
PXD000561-Sample 59,pancreas,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 6,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 60,pancreas,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 61,prostate,PXD000561,Prostate,PRIDE SDRF,True
PXD000561-Sample 62,prostate,PXD000561,Prostate,PRIDE SDRF,True
PXD000561-Sample 63,rectum,PXD000561,Rectum,PRIDE SDRF,True
PXD000561-Sample 64,retina,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 65,retina,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 66,spinal cord,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 67,spinal cord,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 68,testis,PXD000561,Testis,PRIDE SDRF,True
PXD000561-Sample 69,testis,PXD000561,Testis,PRIDE SDRF,True
PXD000561-Sample 7,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 70,urinary bladder,PXD000561,Urinary bladder,PRIDE SDRF,True
PXD000561-Sample 71,urinary bladder,PXD000561,Urinary bladder,PRIDE SDRF,True
PXD000561-Sample 72,gut,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 73,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 74,ovary,PXD000561,Ovary,PRIDE SDRF,True
PXD000561-Sample 75,b cells,PXD000561,B-cells,PRIDE SDRF,True
PXD000561-Sample 76,b cells,PXD000561,B-cells,PRIDE SDRF,True
PXD000561-Sample 77,cd8 tcells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 78,nk cells,PXD000561,,PRIDE SDRF,True
PXD000561-Sample 79,placenta,PXD000561,Placenta,PRIDE SDRF,True
PXD000561-Sample 8,kidney,PXD000561,Kidney,PRIDE SDRF,True
PXD000561-Sample 80,frontal cortex,PXD000561,Brain,PRIDE SDRF,True
PXD000561-Sample 81,heart,PXD000561,Heart,PRIDE SDRF,True
PXD000561-Sample 82,liver,PXD000561,Liver,PRIDE SDRF,True
PXD000561-Sample 83,liver,PXD000561,Liver,PRIDE SDRF,True
PXD000561-Sample 84,rectum,PXD000561,Rectum,PRIDE SDRF,True
PXD000561-Sample 85,frontal cortex,PXD000561,Brain,PRIDE SDRF,True
PXD000561-Sample 9,kidney,PXD000561,Kidney,PRIDE SDRF,True
PXD020192-Sample 1,frontal cortex,PXD020192,Brain,SDRF,True
PXD020192-Sample 10,cerebellum,PXD020192,Brain,SDRF,True
PXD020192-Sample 11,spinal cord,PXD020192,,SDRF,True
PXD020192-Sample 12,spinal cord,PXD020192,,SDRF,True
PXD020192-Sample 13,brain,PXD020192,Brain,SDRF,True
PXD020192-Sample 14,brain,PXD020192,Brain,SDRF,True
PXD020192-Sample 15,medulla oblongata,PXD020192,Brain,SDRF,True
PXD020192-Sample 16,medulla oblongata,PXD020192,Brain,SDRF,True
PXD020192-Sample 17,placenta,PXD020192,Placenta,SDRF,True
PXD020192-Sample 18,placenta,PXD020192,Placenta,SDRF,True
PXD020192-Sample 19,endometrium,PXD020192,Endometrium,SDRF,True
PXD020192-Sample 2,frontal cortex,PXD020192,Brain,SDRF,True
PXD020192-Sample 20,endometrium,PXD020192,Endometrium,SDRF,True
PXD020192-Sample 21,adrenalgland,PXD020192,Adrenal gland,SDRF,True
PXD020192-Sample 22,adrenalgland,PXD020192,Adrenal gland,SDRF,True
PXD020192-Sample 23,appendix,PXD020192,Appendix,SDRF,True
PXD020192-Sample 24,appendix,PXD020192,Appendix,SDRF,True
PXD020192-Sample 25,lung,PXD020192,Lung,SDRF,True
PXD020192-Sample 26,lung,PXD020192,Lung,SDRF,True
PXD020192-Sample 27,liver,PXD020192,Liver,SDRF,True
PXD020192-Sample 28,liver,PXD020192,Liver,SDRF,True
PXD020192-Sample 29,heart,PXD020192,Heart,SDRF,True
PXD020192-Sample 3,parietal,PXD020192,Brain,SDRF,True
PXD020192-Sample 30,heart,PXD020192,Heart,SDRF,True
PXD020192-Sample 31,colon,PXD020192,Colon,SDRF,True
PXD020192-Sample 32,colon,PXD020192,Colon,SDRF,True
PXD020192-Sample 33,esophagus,PXD020192,Esophagus,SDRF,True
PXD020192-Sample 34,esophagus,PXD020192,Esophagus,SDRF,True
PXD020192-Sample 35,stomach,PXD020192,Stomach,SDRF,True
PXD020192-Sample 36,stomach,PXD020192,Stomach,SDRF,True
PXD020192-Sample 37,small intestine,PXD020192,Small intestine,SDRF,True
PXD020192-Sample 38,small intestine,PXD020192,Small intestine,SDRF,True
PXD020192-Sample 39,trachea,PXD020192,,SDRF,True
