pxd,proj_state,n,hit,conf
PXD005554,mixed/unknown,5,0.0,0.11761999999999999
PXD006770,diseased,50,0.0,0.139434
PXD008079,diseased,6,1.0,0.5033666666666666
PXD008713,diseased,30,0.13333333333333333,0.18780333333333335
PXD009578,diseased,2,1.0,0.369
PXD010296,diseased,41,0.0,0.1364
PXD036023,diseased,49,0.0,0.29805306122448977
PXD047324,diseased,8,1.0,0.6419375
PXD047823,diseased,1,1.0,0.7224
PXD047844,mixed/unknown,15,0.0,0.09701333333333334
PXD048647,diseased,20,0.65,0.167335
PXD048734,diseased,58,0.8793103448275862,0.20866551724137933
PXD048767,diseased,11,0.09090909090909091,0.09145454545454546
PXD051174,mixed/unknown,6,1.0,0.17698333333333335
PXD052033,diseased,15,0.13333333333333333,0.10723333333333333
PXD052904,diseased,6,1.0,0.49545
PXD053362,diseased,49,0.8367346938775511,0.49482857142857145
PXD053814,mixed/unknown,40,1.0,0.7042824999999999
PXD053929,healthy,2,0.0,0.1132
PXD054390,mixed/unknown,15,1.0,0.13596
PXD054428,diseased,6,0.6666666666666666,0.2848833333333333
PXD056781,diseased,13,1.0,0.3050538461538462
PXD057192,diseased,98,0.9387755102040817,0.33425102040816324
PXD058348,diseased,1,1.0,0.2603
PXD058689,diseased,312,0.33653846153846156,0.13578397435897438
PXD058846,mixed/unknown,19,0.3684210526315789,0.1892157894736842
PXD060153,mixed/unknown,3,0.6666666666666666,0.34613333333333335
PXD061059,diseased,1,1.0,0.672
PXD061275,mixed/unknown,1,0.0,0.1005
PXD061427,diseased,16,1.0,0.16718125
PXD062723,healthy,14,0.9285714285714286,0.10816428571428571
PXD063372,diseased,22,0.18181818181818182,0.11393636363636364
PXD063836,diseased,3,1.0,0.6420666666666667
PXD064519,diseased,24,1.0,0.7668125
PXD064523,diseased,32,0.96875,0.348546875
PXD066393,healthy,50,0.56,0.326342
PXD068004,diseased,8,0.0,0.0981875
PXD068129,healthy,1,0.0,0.0987
