,value
"usable human runs, not biofluid-only, HAMLET tissue in MLMarker vocabulary",3540.0
projects,119.0
usable runs whose HAMLET tissue is outside the 34 classes (excluded),3636.0
assigned a tissue,3500.0
  by SDRF / run name,153.0
  by HAMLET single tissue,2955.0
  by HAMLET list + MLMarker choice,392.0
"unresolved (multi-tissue, no candidate in top-5)",40.0
runs in MLMarker training projects,1404.0
new runs,2136.0
"new runs, healthy, native",67.0
"new runs, healthy, native, MLMarker agrees",41.0
MLMarker top-1 agrees with assigned label (all),0.465
  in training projects,0.539
  new projects,0.418
