pxd	run	coverage	scoring_mode	tissue_assigned	label_source	k	hamlet_terms	pred_tissue	confidence	chosen_conf	chosen_rank	mlmarker_agrees	in_training	native	material_type	disease_state
PXD000561	PXD000561-Sample 1	0.2233	predict_proba	Adrenal gland	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Adrenal gland	0.1298	0.1298	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 10	0.2817	predict_proba	Liver	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Liver	0.6779	0.6779	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 11	0.1957	predict_proba	Liver	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Liver	0.7523	0.7523	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 12	0.2559	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Lung	0.2439	0.2439	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 13	0.1634	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Lung	0.2269	0.2269	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 14	0.3293	predict_proba	Placenta	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Placenta	0.3201	0.3201	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 15	0.4568	predict_proba	Brain	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Brain	0.3161	0.3161	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 16	0.4078	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.1326	0.0866	2.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 17	0.4206	predict_proba	Colon	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Stomach	0.1692	0.1254	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 18	0.469	predict_proba	Colon	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Small intestine	0.1541	0.1189	4.0	False	True	True	tissue; primary cells	healthy
