tissue_assigned,in MLMarker training,new,healthy_native_new_runs,new_projects
Brain,108,398,2,19
Prostate,3,328,0,3
Lung,104,302,0,11
Kidney,110,246,0,9
Testis,114,242,0,4
Liver,90,123,0,6
Heart,55,99,0,3
Skeletal muscle,0,79,51,4
Spleen,3,77,0,2
Colon,583,71,0,6
Bone marrow,1,71,14,5
Small intestine,81,24,0,1
Tonsil,1,14,0,1
Placenta,7,12,0,2
Esophagus,6,10,0,3
Lymph node,15,9,0,1
Endometrium,2,8,0,1
Ovary,26,6,0,2
Stomach,2,6,0,2
Adipose tissue,3,1,0,1
Appendix,1,0,0,0
Adrenal gland,4,0,0,0
Oviduct,1,0,0,0
Salivary gland,1,0,0,0
Pituitary gland,2,0,0,0
Thyroid,1,0,0,0
Urinary bladder,50,0,0,0
