tissue_assigned,in_training,runs,projects,healthy_runs,native_runs,from_sdrf_or_name,from_hamlet_single,from_mlmarker_choice,mlmarker_agrees,mean_confidence
Adipose tissue,in MLMarker training,3,2,1,1,1,1,1,0.333,0.178
Adipose tissue,new,1,1,0,1,1,0,0,0.0,0.1
Adrenal gland,in MLMarker training,4,2,4,4,0,0,4,1.0,0.416
Appendix,in MLMarker training,1,1,1,1,0,0,1,1.0,0.171
Bone marrow,in MLMarker training,1,1,1,1,0,0,1,1.0,0.55
Bone marrow,new,71,5,36,49,0,71,0,0.507,0.141
Brain,in MLMarker training,108,10,54,99,1,53,54,0.843,0.619
Brain,new,398,19,59,210,0,398,0,0.666,0.332
Colon,in MLMarker training,583,8,20,227,0,552,31,0.269,0.167
Colon,new,71,6,0,50,0,49,22,0.592,0.174
Endometrium,in MLMarker training,2,1,2,2,0,0,2,0.5,0.147
Endometrium,new,8,1,0,8,0,8,0,0.0,0.098
Esophagus,in MLMarker training,6,2,6,6,0,0,6,1.0,0.331
Esophagus,new,10,3,0,7,0,9,1,0.5,0.224
Heart,in MLMarker training,55,4,21,55,0,34,21,0.909,0.53
Heart,new,99,3,46,0,0,99,0,0.313,0.157
Kidney,in MLMarker training,110,11,12,54,0,98,12,0.627,0.239
Kidney,new,246,9,0,86,81,160,5,0.638,0.302
Liver,in MLMarker training,90,7,77,89,28,13,49,0.922,0.63
Liver,new,123,6,13,10,0,114,9,0.081,0.276
Lung,in MLMarker training,104,8,56,73,0,48,56,0.413,0.165
Lung,new,302,11,0,142,0,270,32,0.235,0.154
Lymph node,in MLMarker training,15,2,1,15,0,14,1,0.067,0.157
Lymph node,new,9,1,0,9,0,0,9,0.0,0.108
Ovary,in MLMarker training,26,2,26,26,0,0,26,0.231,0.167
Ovary,new,6,2,0,6,0,5,1,0.167,0.117
Oviduct,in MLMarker training,1,1,1,1,0,0,1,1.0,0.45
Pituitary gland,in MLMarker training,2,1,2,2,0,0,2,1.0,0.742
Placenta,in MLMarker training,7,3,7,7,0,0,7,0.857,0.544
Placenta,new,12,2,0,12,0,12,0,1.0,0.34
Prostate,in MLMarker training,3,2,3,3,0,0,3,1.0,0.478
Prostate,new,328,3,0,313,0,328,0,0.369,0.139
Salivary gland,in MLMarker training,1,1,1,1,0,0,1,1.0,0.584
Skeletal muscle,new,79,4,52,51,0,79,0,0.354,0.247
Small intestine,in MLMarker training,81,2,2,2,0,79,2,0.975,0.401
Small intestine,new,24,1,24,0,0,24,0,0.0,0.109
Spleen,in MLMarker training,3,2,3,3,0,0,3,1.0,0.214
Spleen,new,77,2,0,27,27,50,0,0.0,0.143
Stomach,in MLMarker training,2,1,2,2,0,0,2,1.0,0.486
Stomach,new,6,2,0,6,0,3,3,0.833,0.293
Testis,in MLMarker training,114,6,114,114,0,95,19,0.93,0.562
Testis,new,242,4,0,56,0,242,0,0.372,0.28
Thyroid,in MLMarker training,1,1,1,1,0,0,1,1.0,0.495
Tonsil,in MLMarker training,1,1,1,1,0,0,1,1.0,0.316
Tonsil,new,14,1,14,0,14,0,0,1.0,0.216
Urinary bladder,in MLMarker training,50,4,3,50,0,47,3,0.42,0.154
