pxd	run	organism	organism_source	tissue	tissue_source	disease	disease_source	cell_line	cell_line_source	material_type	material_type_source	sample_source	sample_source_source	cell_type	cell_type_source	is_human	is_healthy	has_cell_line	in_old_atlas	tissue_ambiguous
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_1	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_10	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_11	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_12	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_2	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_3	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_4	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_5	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_6	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_7	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_8	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046357	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_9	homo sapiens	name			normal	hamlet	hela	name	proteome mixture; cell culture	hamlet	3-species proteome mixture; yeast proteomes	hamlet	vegetative cell (sensu fungi); cell	hamlet	True	True	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac01	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac02	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac03	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac04	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac05	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac06	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac07	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac08	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac09	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac10	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac11	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac12	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac13	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac14	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac15	homo sapiens	name					hek293	name							True	False	True	False	False
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_22_rep3_Frac16	homo sapiens	name					hek293	name							True	False	True	False	False
