pxd	run	source_parquet	coverage	scoring_mode	tissue	confidence	tissue_2	confidence_2	tissue_3	confidence_3	tissue_4	confidence_4	tissue_5	confidence_5
PXD000412	R20120217_10_Z5_MAIR_calc	sample_nsaf_matrix.parquet	0.0064	shap_penalty1	Salivary gland	0.412	Parotid gland	0.0427	Tonsil	0.0384	Small intestine	0.0335	B-cells	0.0335
PXD000561	PXD000561-Sample 10	sample_nsaf_matrix.parquet	0.2817	predict_proba	Liver	0.6779	Kidney	0.0698	Adipose tissue	0.0298	Testis	0.0204	Lung	0.0203
PXD000561	PXD000561-Sample 11	sample_nsaf_matrix.parquet	0.1957	predict_proba	Liver	0.7523	Kidney	0.0489	Adipose tissue	0.0154	Ovary	0.0152	Colon	0.0148
PXD000561	PXD000561-Sample 14	sample_nsaf_matrix.parquet	0.3293	predict_proba	Placenta	0.3201	Kidney	0.0639	Lung	0.0573	Testis	0.0546	Adipose tissue	0.048
PXD000561	PXD000561-Sample 15	sample_nsaf_matrix.parquet	0.4568	predict_proba	Brain	0.3161	Lung	0.075	Bone marrow	0.0662	Monocytes	0.0655	Testis	0.0602
PXD000561	PXD000561-Sample 19	sample_nsaf_matrix.parquet	0.484	predict_proba	Heart	0.4991	Lung	0.0396	Smooth muscle	0.0316	Esophagus	0.0314	Urinary bladder	0.0303
PXD000561	PXD000561-Sample 2	sample_nsaf_matrix.parquet	0.2636	predict_proba	Adrenal gland	0.3071	Testis	0.0896	Lung	0.0632	Placenta	0.0487	Pituitary gland	0.0453
PXD000561	PXD000561-Sample 20	sample_nsaf_matrix.parquet	0.4964	predict_proba	Heart	0.5109	Kidney	0.0437	Ovary	0.0353	Endometrium	0.0303	Esophagus	0.0286
PXD000561	PXD000561-Sample 21	sample_nsaf_matrix.parquet	0.3666	predict_proba	Heart	0.425	Kidney	0.0512	Endometrium	0.0362	Esophagus	0.0342	Urinary bladder	0.0318
PXD000561	PXD000561-Sample 22	sample_nsaf_matrix.parquet	0.4822	predict_proba	Liver	0.3469	Kidney	0.0824	Testis	0.044	Lung	0.0424	Colon	0.0402
PXD000561	PXD000561-Sample 23	sample_nsaf_matrix.parquet	0.4598	predict_proba	Liver	0.3245	Kidney	0.1353	Bone marrow	0.0449	Lung	0.041	Testis	0.0396
PXD000561	PXD000561-Sample 3	sample_nsaf_matrix.parquet	0.2447	predict_proba	Esophagus	0.3721	Ovary	0.153	Heart	0.0684	Tonsil	0.059	Lung	0.0393
PXD000561	PXD000561-Sample 31	sample_nsaf_matrix.parquet	0.3148	predict_proba	Monocytes	0.3352	Bone marrow	0.2579	Lung	0.0493	Testis	0.0439	Spleen	0.0412
PXD000561	PXD000561-Sample 33	sample_nsaf_matrix.parquet	0.4563	predict_proba	Monocytes	0.4229	Bone marrow	0.1875	Kidney	0.0537	Lung	0.037	Spleen	0.0321
PXD000561	PXD000561-Sample 37	sample_nsaf_matrix.parquet	0.2056	predict_proba	Esophagus	0.4711	Ovary	0.1618	Tonsil	0.0634	Heart	0.0544	Lung	0.0456
PXD000561	PXD000561-Sample 38	sample_nsaf_matrix.parquet	0.3414	predict_proba	Brain	0.7587	Bone marrow	0.0237	Kidney	0.0227	Monocytes	0.0179	Pituitary gland	0.0144
PXD000561	PXD000561-Sample 39	sample_nsaf_matrix.parquet	0.2064	predict_proba	Heart	0.5842	Endometrium	0.0381	Skeletal muscle	0.034	Esophagus	0.0335	Prostate	0.0237
PXD000561	PXD000561-Sample 4	sample_nsaf_matrix.parquet	0.2681	predict_proba	Esophagus	0.4006	Ovary	0.1394	Tonsil	0.1353	Lung	0.0681	Urinary bladder	0.032
PXD000561	PXD000561-Sample 49	sample_nsaf_matrix.parquet	0.5118	predict_proba	Adrenal gland	0.6498	Testis	0.0593	Pituitary gland	0.0442	Lung	0.0246	Placenta	0.0229
PXD000561	PXD000561-Sample 50	sample_nsaf_matrix.parquet	0.482	predict_proba	Colon	0.4372	Appendix	0.0595	Rectum	0.0588	Duodenum	0.046	Urinary bladder	0.0443
PXD000561	PXD000561-Sample 51	sample_nsaf_matrix.parquet	0.3593	predict_proba	Colon	0.3852	Rectum	0.0919	Stomach	0.0561	Lung	0.0473	Smooth muscle	0.0433
PXD000561	PXD000561-Sample 54	sample_nsaf_matrix.parquet	0.3638	predict_proba	Heart	0.7101	Esophagus	0.0285	Skeletal muscle	0.0283	Testis	0.0242	Colon	0.0172
PXD000561	PXD000561-Sample 55	sample_nsaf_matrix.parquet	0.4116	predict_proba	Kidney	0.3496	Liver	0.0794	Lung	0.0557	Testis	0.0362	Adipose tissue	0.0354
PXD000561	PXD000561-Sample 58	sample_nsaf_matrix.parquet	0.5631	predict_proba	Testis	0.7629	Lung	0.0348	Kidney	0.0316	Urinary bladder	0.0167	Stomach	0.0139
PXD000561	PXD000561-Sample 6	sample_nsaf_matrix.parquet	0.2444	predict_proba	Heart	0.5683	Esophagus	0.0364	Skeletal muscle	0.0285	Prostate	0.026	Lung	0.0257
PXD000561	PXD000561-Sample 61	sample_nsaf_matrix.parquet	0.5486	predict_proba	Prostate	0.4024	Salivary gland	0.0866	Ovary	0.0633	Esophagus	0.0459	Lung	0.0449
