pxd,cohort,field,kind,score,category,old_values,new_values
PXD000004,abstract_only,technology_type,lin,1.0,agree,"[""targeted proteomics""]","[""targeted proteomics""]"
PXD000445,abstract_only,experimental_design,exact,0.0,disagree,"[""case vs control""]","[""treated vs control""]"
PXD000445,abstract_only,factor_value,lin,0.8781241724338897,partial,"[""colorectal adenoma vs normal mucosa""]","[""adenoma vs normal mucosa""]"
PXD000445,abstract_only,number_of_biological_replicates,numeric,6.0,disagree,"[""30""]","[""36""]"
PXD000445,abstract_only,number_of_samples,numeric,6.0,disagree,"[""30""]","[""36""]"
PXD000445,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""shotgun proteomics""]","[""bottom-up proteomics""]"
PXD001326,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD001419,abstract_only,biological_replicate,numeric,,,"[""pbmcs""]","[""3""]"
PXD001419,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD001419,abstract_only,factor_value,lin,,,"[""inflammatory activation, dexamethasone""]","[""treated vs control""]"
PXD001419,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD001524,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""proteomics""]","[""shotgun proteomics""]"
PXD001985,abstract_only,experimental_design,exact,1.0,agree,"[""case vs control""]","[""case vs control""]"
PXD001985,abstract_only,factor_value,lin,1.0,agree,"[""cf vs healthy""]","[""cf vs healthy control""]"
PXD001985,abstract_only,technology_type,lin,,,"[""mudpit""]","[""itraq"", ""shotgun proteomics""]"
PXD002354,abstract_only,biological_replicate,numeric,,,"[""human fibroblasts""]","[""3""]"
PXD002354,abstract_only,technology_type,lin,,,"[""n-terminal amine isotopic labeling of substrate""]","[""top-down proteomics""]"
PXD002687,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""3"", ""4"", ""5""]","[""4""]"
PXD002687,with_methods,number_of_samples,numeric,3.0,disagree,"[""3"", ""4"", ""5""]","[""8""]"
PXD002687,with_methods,technology_type,lin,1.0,agree,"[""affinity purification coupled with mass spectrometry proteomics""]","[""shotgun proteomics""]"
PXD003053,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD003053,abstract_only,factor_value,lin,,,"[""hype-mediated ampylation""]","[""hype e234g""]"
PXD003053,abstract_only,technology_type,lin,1.0,agree,"[""mass-spectrometry-based proteomics""]","[""shotgun proteomics""]"
PXD003293,with_methods,biological_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD003293,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""time course"", ""treated vs control""]"
PXD003293,with_methods,factor_value,lin,0.005848970319949168,disagree,"[""treatment""]","[""tgf\u03b2"", ""tnf\u03b1""]"
PXD003293,with_methods,number_of_fractions,numeric,0.0,agree,"[""60""]","[""60""]"
PXD003293,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD003293,with_methods,number_of_samples,numeric,0.0,agree,"[""8""]","[""8""]"
PXD003293,with_methods,technology_type,lin,0.9663632996183132,partial,"[""targeted proteomics""]","[""shotgun proteomics""]"
PXD003408,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD003408,abstract_only,factor_value,lin,,,"[""inflammation activated vs control""]","[""interleukin 1-\u03b2 stimulation""]"
PXD003408,abstract_only,number_of_fractions,numeric,0.0,agree,"[""3""]","[""3""]"
PXD003408,abstract_only,technology_type,lin,1.0,agree,"[""bottom-up proteomics""]","[""bottom-up proteomics""]"
PXD003416,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD003416,abstract_only,factor_value,lin,0.40925097229198554,disagree,"[""interleukin 1-\u03b2 stimulation""]","[""inflammatory activated""]"
PXD003416,abstract_only,number_of_fractions,numeric,0.0,agree,"[""3""]","[""3""]"
PXD003416,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD003594,with_methods,biological_replicate,numeric,0.0,agree,"[""4""]","[""4""]"
PXD003594,with_methods,technical_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD003594,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD003594,with_methods,factor_value,lin,,,"[""parental vs resistant cell lines""]","[""drug treatment"", ""resistance""]"
PXD003594,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD003594,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""4""]","[""4""]"
PXD003594,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD003971,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD003971,abstract_only,technology_type,lin,0.9684835203822864,partial,"[""label-free quantification proteomics""]","[""shotgun proteomics""]"
PXD004334,with_methods,biological_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD004334,with_methods,technical_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD004334,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD004334,with_methods,factor_value,lin,1.0,agree,"[""kdm3a null vs wild type""]","[""kdm3a null vs wild-type""]"
PXD004334,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD004334,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD004334,with_methods,number_of_samples,numeric,4.0,disagree,"[""2""]","[""6""]"
PXD004334,with_methods,technology_type,lin,1.0,agree,"[""affinity purification coupled with mass spectrometry proteomics""]","[""affinity purification coupled with mass spectrometry proteomics"", ""shotgun proteomics""]"
