agent,field,manuscript_only,both,pride_added,n_datasets_populated
BiologicalAgent,species,2,1421,312,1735
BiologicalAgent,sample_source,20,1396,291,1707
BiologicalAgent,material_type,23,1358,320,1701
BiologicalAgent,disease_state,145,1153,305,1603
BiologicalAgent,tissue,163,1039,268,1470
BiologicalAgent,cell_type,122,991,326,1439
BiologicalAgent,cell_line,39,571,245,855
BiologicalAgent,developmental_stage,91,103,82,276
BiologicalAgent,strain,61,129,48,238
BiologicalAgent,age,47,122,44,213
BiologicalAgent,sex,36,138,34,208
BiologicalAgent,anatomic_site_tumor,31,7,24,62
BiologicalAgent,ethnicity,4,12,3,19
BiologicalAgent,BMI,2,7,2,11
ExperimentalDesignAgent,technology_type,19,1290,420,1729
ExperimentalDesignAgent,experimental_design,138,885,432,1455
ExperimentalDesignAgent,factor_value,160,792,456,1408
ExperimentalDesignAgent,number_of_biological_replicates,103,385,377,865
ExperimentalDesignAgent,number_of_samples,114,384,321,819
ExperimentalDesignAgent,biological_replicate,150,241,394,785
ExperimentalDesignAgent,number_of_fractions,42,168,273,483
ExperimentalDesignAgent,number_of_technical_replicates,59,141,245,445
ExperimentalDesignAgent,technical_replicate,58,131,240,429
TechnicalAgent,instrument,0,574,1162,1736
TechnicalAgent,labeling,11,1459,263,1733
TechnicalAgent,mass_analyzer,4,570,1140,1714
TechnicalAgent,ptm,10,622,1067,1699
TechnicalAgent,acquisition_method,3,533,1110,1646
TechnicalAgent,cleavage_agent,2,552,1043,1597
TechnicalAgent,alkylation_reagent,13,398,992,1403
TechnicalAgent,reduction_reagent,9,403,765,1177
TechnicalAgent,ionization_type,63,358,714,1135
TechnicalAgent,fragmentation_method,18,378,653,1049
TechnicalAgent,reduction_concentration,5,369,664,1038
TechnicalAgent,alkylation_concentration,6,349,603,958
TechnicalAgent,collision_energy,0,339,561,900
TechnicalAgent,enrichment_method,39,185,335,559
TechnicalAgent,fractionation_method,16,216,323,555
