agent,field,manuscript_only,both,pride_added,n_datasets_populated
BiologicalAgent,BMI,1,0,1,2
BiologicalAgent,age,12,28,21,61
BiologicalAgent,anatomic_site_tumor,11,3,14,28
BiologicalAgent,cell_line,14,216,229,459
BiologicalAgent,cell_type,68,549,287,904
BiologicalAgent,developmental_stage,24,47,43,114
BiologicalAgent,disease_state,100,634,277,1011
BiologicalAgent,ethnicity,3,3,0,6
BiologicalAgent,material_type,19,764,317,1100
BiologicalAgent,sample_source,18,799,289,1106
BiologicalAgent,sex,13,28,21,62
BiologicalAgent,species,1,822,311,1134
BiologicalAgent,strain,21,36,38,95
BiologicalAgent,tissue,87,561,250,898
ExperimentalDesignAgent,biological_replicate,58,57,288,403
ExperimentalDesignAgent,experimental_design,81,444,360,885
ExperimentalDesignAgent,factor_value,89,380,377,846
ExperimentalDesignAgent,number_of_biological_replicates,39,98,310,447
ExperimentalDesignAgent,number_of_fractions,7,17,225,249
ExperimentalDesignAgent,number_of_samples,39,119,251,409
ExperimentalDesignAgent,number_of_technical_replicates,6,10,185,201
ExperimentalDesignAgent,technical_replicate,7,12,177,196
ExperimentalDesignAgent,technology_type,7,725,397,1129
TechnicalAgent,acquisition_method,1,99,968,1068
TechnicalAgent,alkylation_concentration,0,0,558,558
TechnicalAgent,alkylation_reagent,0,5,883,888
TechnicalAgent,cleavage_agent,1,31,983,1015
TechnicalAgent,collision_energy,0,2,522,524
TechnicalAgent,enrichment_method,15,38,297,350
TechnicalAgent,fractionation_method,3,16,276,295
TechnicalAgent,fragmentation_method,0,7,602,609
TechnicalAgent,instrument,0,48,1087,1135
TechnicalAgent,ionization_type,2,14,616,632
TechnicalAgent,labeling,6,870,256,1132
TechnicalAgent,mass_analyzer,0,52,1065,1117
TechnicalAgent,ptm,3,176,928,1107
TechnicalAgent,reduction_concentration,0,1,613,614
TechnicalAgent,reduction_reagent,1,1,711,713
