agent,field,manuscript_only,both,pride_added,n_datasets_populated
BiologicalAgent,BMI,1,7,1,9
BiologicalAgent,age,35,94,23,152
BiologicalAgent,anatomic_site_tumor,20,4,10,34
BiologicalAgent,cell_line,25,355,16,396
BiologicalAgent,cell_type,54,442,39,535
BiologicalAgent,developmental_stage,67,56,39,162
BiologicalAgent,disease_state,45,519,28,592
BiologicalAgent,ethnicity,1,9,3,13
BiologicalAgent,material_type,4,594,3,601
BiologicalAgent,sample_source,2,597,2,601
BiologicalAgent,sex,23,110,13,146
BiologicalAgent,species,1,599,1,601
BiologicalAgent,strain,40,93,10,143
BiologicalAgent,tissue,76,478,18,572
ExperimentalDesignAgent,biological_replicate,92,184,106,382
ExperimentalDesignAgent,experimental_design,57,441,72,570
ExperimentalDesignAgent,factor_value,71,412,79,562
ExperimentalDesignAgent,number_of_biological_replicates,64,287,67,418
ExperimentalDesignAgent,number_of_fractions,35,151,48,234
ExperimentalDesignAgent,number_of_samples,75,265,70,410
ExperimentalDesignAgent,number_of_technical_replicates,53,131,60,244
ExperimentalDesignAgent,technical_replicate,51,119,63,233
ExperimentalDesignAgent,technology_type,12,565,23,600
TechnicalAgent,acquisition_method,2,434,142,578
TechnicalAgent,alkylation_concentration,6,349,45,400
TechnicalAgent,alkylation_reagent,13,393,109,515
TechnicalAgent,cleavage_agent,1,521,60,582
TechnicalAgent,collision_energy,0,337,39,376
TechnicalAgent,enrichment_method,24,147,38,209
TechnicalAgent,fractionation_method,13,200,47,260
TechnicalAgent,fragmentation_method,18,371,51,440
TechnicalAgent,instrument,0,526,75,601
TechnicalAgent,ionization_type,61,344,98,503
TechnicalAgent,labeling,5,589,7,601
TechnicalAgent,mass_analyzer,4,518,75,597
TechnicalAgent,ptm,7,446,139,592
TechnicalAgent,reduction_concentration,5,368,51,424
TechnicalAgent,reduction_reagent,8,402,54,464
