field,agent,datasets,manuscript,combined,both,n_both,resolved_share,mean_lin,same_term,related,distant,string_identical
species,BiologicalAgent,1737,0.819,0.998,0.818,1417.0,0.997,0.942,0.908,0.064,0.028,0.871
sample_source,BiologicalAgent,1737,0.815,0.971,0.804,,,,,,,
material_type,BiologicalAgent,1737,0.795,0.966,0.782,,,,,,,
disease_state,BiologicalAgent,1737,0.747,0.839,0.664,1138.0,0.987,0.788,0.569,0.26,0.171,0.426
tissue,BiologicalAgent,1737,0.692,0.752,0.598,941.0,0.906,0.846,0.722,0.151,0.128,0.64
cell_type,BiologicalAgent,1737,0.641,0.758,0.571,983.0,0.992,0.822,0.548,0.331,0.121,0.264
cell_line,BiologicalAgent,1737,0.351,0.47,0.329,500.0,0.876,0.896,0.828,0.088,0.084,0.708
sex,BiologicalAgent,1737,0.1,0.099,0.079,,,,,,,
strain,BiologicalAgent,1737,0.109,0.102,0.074,,,,,,,
age,BiologicalAgent,1737,0.097,0.096,0.07,,,,,,,
developmental_stage,BiologicalAgent,1737,0.112,0.107,0.059,,,,,,,
ethnicity,BiologicalAgent,1737,0.009,0.009,0.007,,,,,,,
BMI,BiologicalAgent,1737,0.005,0.005,0.004,,,,,,,
anatomic_site_tumor,BiologicalAgent,1737,0.022,0.018,0.004,,,,,,,
technology_type,ExperimentalDesignAgent,1737,0.754,0.984,0.743,,,,,,,
experimental_design,ExperimentalDesignAgent,1737,0.589,0.758,0.509,,,,,,,
factor_value,ExperimentalDesignAgent,1737,0.548,0.718,0.456,,,,,,,
number_of_biological_replicates,ExperimentalDesignAgent,1737,0.281,0.439,0.222,,,,,,,
number_of_samples,ExperimentalDesignAgent,1737,0.287,0.406,0.221,,,,,,,
biological_replicate,ExperimentalDesignAgent,1737,0.225,0.366,0.139,,,,,,,
number_of_fractions,ExperimentalDesignAgent,1737,0.121,0.254,0.097,,,,,,,
number_of_technical_replicates,ExperimentalDesignAgent,1737,0.115,0.222,0.081,,,,,,,
technical_replicate,ExperimentalDesignAgent,1737,0.109,0.214,0.075,,,,,,,
labeling,TechnicalAgent,1737,0.846,0.991,0.84,1441.0,0.988,0.827,0.761,0.105,0.135,0.555
ptm,TechnicalAgent,1737,0.364,0.972,0.358,,,,,,,
instrument,TechnicalAgent,1737,0.33,0.999,0.33,559.0,0.974,0.886,0.714,0.197,0.089,0.288
mass_analyzer,TechnicalAgent,1737,0.33,0.984,0.328,,,,,,,
cleavage_agent,TechnicalAgent,1737,0.319,0.918,0.318,543.0,0.984,0.979,0.932,0.063,0.006,0.768
acquisition_method,TechnicalAgent,1737,0.309,0.946,0.307,,,,,,,
reduction_reagent,TechnicalAgent,1737,0.237,0.672,0.232,,,,,,,
alkylation_reagent,TechnicalAgent,1737,0.237,0.8,0.229,,,,,,,
fragmentation_method,TechnicalAgent,1737,0.228,0.594,0.218,,,,,,,
reduction_concentration,TechnicalAgent,1737,0.215,0.595,0.212,,,,,,,
ionization_type,TechnicalAgent,1737,0.242,0.617,0.206,,,,,,,
alkylation_concentration,TechnicalAgent,1737,0.204,0.548,0.201,,,,,,,
collision_energy,TechnicalAgent,1737,0.195,0.518,0.195,,,,,,,
fractionation_method,TechnicalAgent,1737,0.134,0.31,0.124,,,,,,,
enrichment_method,TechnicalAgent,1737,0.129,0.299,0.107,,,,,,,
