pxd,cohort,agent,field,old_values,new_values,lin,string_identical
PXD000004,abstract_only,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens"", ""mus musculus""]",1.0,True
PXD000004,abstract_only,BiologicalAgent,tissue,"[""brain"", ""prefrontal cortex""]","[""brain""]",0.7522329259216392,False
PXD000004,abstract_only,BiologicalAgent,disease_state,"[""neuropsychiatric disease""]","[""normal""]",0.07442153378649831,False
PXD000445,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD000445,abstract_only,BiologicalAgent,tissue,"[""colon""]","[""colon""]",1.0,True
PXD000445,abstract_only,BiologicalAgent,cell_type,"[""colon epithelial cell""]","[""colon epithelial cell""]",1.0,True
PXD000445,abstract_only,BiologicalAgent,disease_state,"[""colorectal adenoma"", ""colorectal cancer"", ""normal""]","[""colorectal adenoma"", ""colorectal cancer"", ""normal""]",1.0,True
PXD000445,abstract_only,BiologicalAgent,cell_line,"[""caco2"", ""cx1"", ""hcec"", ""ht29"", ""sw480"", ""sw620""]","[""caco2"", ""cx1"", ""hcec"", ""ht29"", ""sw480"", ""sw620""]",1.0,True
PXD001326,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD001326,abstract_only,BiologicalAgent,tissue,"[""breast""]","[""breast""]",1.0,True
PXD001326,abstract_only,BiologicalAgent,cell_type,"[""epithelial cell"", ""fibroblast""]","[""cancer-associated fibroblasts"", ""mammary carcinoma cell"", ""primary human mammary fibroblasts""]",0.686550153738271,False
PXD001326,abstract_only,BiologicalAgent,disease_state,"[""breast adenocarcinoma""]","[""breast adenocarcinoma"", ""breast cancer""]",1.0,False
PXD001326,abstract_only,BiologicalAgent,cell_line,"[""zr-75-1""]","[""zr-75-1""]",1.0,True
PXD001419,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD001419,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""blood""]",1.0,True
PXD001419,abstract_only,BiologicalAgent,cell_type,"[""pbmcs""]","[""peripheral blood mononuclear cell""]",1.0,False
PXD001524,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD001524,abstract_only,BiologicalAgent,tissue,"[""testis""]","[""testis""]",1.0,True
PXD001524,abstract_only,BiologicalAgent,cell_type,"[""testicular cell""]","[""testicular cells""]",1.0,False
PXD001524,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD001985,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD001985,abstract_only,BiologicalAgent,tissue,"[""lung""]","[""lung""]",1.0,True
PXD001985,abstract_only,BiologicalAgent,disease_state,"[""cystic fibrosis"", ""normal""]","[""cystic fibrosis""]",0.5278338151948515,False
PXD002354,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD002354,abstract_only,BiologicalAgent,cell_type,"[""fibroblast""]","[""fibroblast""]",1.0,True
PXD002354,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD002687,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD002687,with_methods,BiologicalAgent,tissue,"[""cervix""]","[""cervix""]",,True
PXD002687,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]",1.0,True
PXD002687,with_methods,BiologicalAgent,disease_state,"[""cervical adenocarcinoma""]","[""cervical adenocarcinoma""]",1.0,True
PXD002687,with_methods,BiologicalAgent,cell_line,"[""hela""]","[""hela""]",1.0,True
PXD003053,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD003053,abstract_only,BiologicalAgent,cell_type,"[""human proteins"", ""mammalian cells""]","[""kidney cell""]",0.3889598854322769,False
PXD003053,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD003293,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD003293,with_methods,BiologicalAgent,tissue,"[""lung""]","[""lung""]",1.0,True
PXD003293,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell"", ""mesenchymal hsaecs"", ""mesenchymal hsaecs treated with tnf\u03b1 for 1 h"", ""normal hsaecs"", ""normal hsaecs treated with tnf\u03b1 for 1 h"", ""small airway epithelial cells"", ""tgf\u03b2 induced mesenchymal hsaecs""]",1.0,False
PXD003293,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""epithelial mesenchymal transition"", ""normal""]",1.0,False
PXD003408,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD003408,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""umbilical vein""]",0.05041784566533146,False
PXD003408,abstract_only,BiologicalAgent,cell_type,"[""endothelial cell"", ""fibroblast"", ""peripheral blood mononuclear cell""]","[""endothelial cell"", ""fibroblast""]",0.8527579760316004,False
PXD003408,abstract_only,BiologicalAgent,disease_state,"[""inflammation""]","[""normal""]",0.07970347903471453,False
PXD003416,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD003416,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""skin""]",0.06224700447945047,False
PXD003416,abstract_only,BiologicalAgent,cell_type,"[""endothelial cell"", ""fibroblast""]","[""endothelial cell"", ""fibroblast""]",1.0,True
PXD003416,abstract_only,BiologicalAgent,disease_state,"[""inflammation""]","[""inflammation""]",1.0,True
PXD003594,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD003594,with_methods,BiologicalAgent,tissue,"[""breast""]","[""breast""]",1.0,True
PXD003594,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]",1.0,True
PXD003594,with_methods,BiologicalAgent,disease_state,"[""breast carcinoma""]","[""breast cancer""]",0.9880989524001719,False
PXD003594,with_methods,BiologicalAgent,cell_line,"[""mcf7""]","[""mcf7""]",1.0,True
PXD003971,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD003971,abstract_only,BiologicalAgent,cell_type,"[""fibroblasts"", ""mesenchymal stem cells""]","[""fibroblast"", ""human mesenchymal stem cells""]",1.0,False
PXD003971,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""chronic inflammation""]",0.07970347903471453,False
PXD004334,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD004334,with_methods,BiologicalAgent,cell_type,"[""retinal pigment epithelial cells""]","[""epithelial cell""]",0.4986183235482724,False
PXD004334,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""disease free""]",0.06580369820027723,False
PXD004626,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD004626,abstract_only,BiologicalAgent,tissue,"[""melanoma""]","[""blood""]",,False
PXD004626,abstract_only,BiologicalAgent,disease_state,"[""cachexia"", ""metastatic melanoma""]","[""cachexia"", ""metastatic melanoma""]",1.0,True
PXD005045,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD005045,abstract_only,BiologicalAgent,tissue,"[""placenta""]","[""placenta""]",1.0,True
PXD005045,abstract_only,BiologicalAgent,cell_type,"[""trophoblast""]","[""extravillous trophoblasts"", ""trophoblastic cell"", ""villous trophoblasts""]",1.0,False
PXD005045,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD005045,abstract_only,BiologicalAgent,cell_line,"[""bewo"", ""htr8/svneo""]","[""bewo"", ""htr8/svneo""]",,True
PXD005301,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD005301,abstract_only,BiologicalAgent,tissue,"[""skin""]","[""skin""]",1.0,True
PXD005301,abstract_only,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epidermoid carcinoma cell"", ""squamous epithelial cell""]",0.8769187091504953,False
PXD005301,abstract_only,BiologicalAgent,disease_state,"[""squamous cell carcinoma""]","[""skin squamous cell carcinoma""]",0.8178908036211854,False
PXD005301,abstract_only,BiologicalAgent,cell_line,"[""a431""]","[""a431""]",1.0,True
PXD005544,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD005544,abstract_only,BiologicalAgent,tissue,"[""breast""]","[""breast""]",1.0,True
PXD005544,abstract_only,BiologicalAgent,disease_state,"[""triple-negative breast cancer""]","[""breast cancer""]",0.7668223791565913,False
PXD005753,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens"", ""mus musculus""]",1.0,True
PXD005753,with_methods,BiologicalAgent,tissue,"[""brain""]","[""brain""]",1.0,True
PXD005753,with_methods,BiologicalAgent,disease_state,"[""huntington's disease"", ""normal""]","[""huntington disease"", ""huntington's disease (hd)""]",0.5283745775807177,False
PXD006114,with_methods,BiologicalAgent,species,"[""mus musculus""]","[""homo sapiens""]",0.0,False
PXD006114,with_methods,BiologicalAgent,tissue,"[""lung""]","[""lung"", ""tumor""]",1.0,False
PXD006114,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]",1.0,True
PXD006114,with_methods,BiologicalAgent,disease_state,"[""non-small cell lung cancer""]","[""drug resistance"", ""nsclc""]",1.0,False
PXD006114,with_methods,BiologicalAgent,cell_line,"[""h1975"", ""h1975-hgf"", ""hcc827"", ""hcc827-er1""]","[""h1975"", ""hcc827""]",0.6666666666666666,False
PXD006299,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD006299,abstract_only,BiologicalAgent,cell_type,"[""cell line""]","[""epithelial cell"", ""t cell""]",0.6916523131934361,False
PXD006447,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""saccharomyces cerevisiae""]","[""homo sapiens"", ""saccharomyces cerevisiae""]",1.0,True
PXD006571,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD006571,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""blood""]",1.0,True
PXD006571,abstract_only,BiologicalAgent,cell_type,"[""b cell""]","[""b cell""]",1.0,True
PXD006571,abstract_only,BiologicalAgent,disease_state,"[""b cell chronic lymphocytic leukemia"", ""normal""]","[""chronic lymphocytic leukemia""]",0.5299512430366027,False
PXD006571,abstract_only,BiologicalAgent,cell_line,"[""jvm-13""]","[""jvm-13""]",1.0,True
PXD006607,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD006607,abstract_only,BiologicalAgent,tissue,"[""brain""]","[""brain""]",1.0,True
PXD006607,abstract_only,BiologicalAgent,disease_state,"[""medulloblastoma""]","[""childhood medulloblastoma""]",0.8452253878953289,False
PXD006770,abstract_only,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens"", ""mus musculus""]",1.0,True
PXD006770,abstract_only,BiologicalAgent,tissue,"[""lung""]","[""airways"", ""lung""]",1.0,False
PXD006770,abstract_only,BiologicalAgent,disease_state,"[""chronic obstructive pulmonary disease"", ""cystic fibrosis""]","[""chronic obstructive pulmonary disease"", ""cystic fibrosis""]",1.0,True
PXD006897,abstract_only,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens"", ""mus musculus""]",1.0,True
PXD006897,abstract_only,BiologicalAgent,tissue,"[""kidney""]","[""kidney""]",1.0,True
PXD006897,abstract_only,BiologicalAgent,cell_type,"[""podocyte""]","[""glomerular cell"", ""podocyte"", ""proximal tubule""]",1.0,False
PXD006897,abstract_only,BiologicalAgent,disease_state,"[""genetic sclerotic and non-sclerotic proteinuric diseases"", ""proteinuric glomerular kidney disease"", ""sclerotic glomerular disease""]","[""proteinuric kidney disease""]",0.3544877214040974,False
PXD007270,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens""]",0.5,False
PXD007270,with_methods,BiologicalAgent,tissue,"[""embryo""]","[""embryo""]",1.0,True
PXD007270,with_methods,BiologicalAgent,cell_type,"[""embryonic stem cell"", ""neural progenitor cell"", ""neuron""]","[""embryonic stem cell"", ""induced pluripotent stem cell"", ""stem cell""]",0.6684021369811948,False
PXD007270,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD007270,with_methods,BiologicalAgent,cell_line,"[""e14"", ""h1 (wa01)"", ""h9 (wa09)"", ""hfib2-ips4"", ""hues6"", ""hues9""]","[""h1 (wa01)"", ""h9 (wa09)"", ""hfib2-ips4"", ""hues6"", ""hues9""]",1.0,False
PXD007643,abstract_only,BiologicalAgent,species,"[""escherichia coli"", ""homo sapiens"", ""pichia pastoris""]","[""escherichia coli"", ""homo sapiens""]",1.0,False
PXD007643,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""blood""]",1.0,True
PXD007738,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens""]",0.5,False
PXD007738,with_methods,BiologicalAgent,cell_type,"[""human embryonic stem cells"", ""human induced pluripotent stem cells"", ""mouse embryonic stem cells"", ""neuronal counterpart""]","[""embryonic stem cell"", ""neuron"", ""neuronal progenitor cell""]",0.9582781379537907,False
PXD007738,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD007738,with_methods,BiologicalAgent,cell_line,"[""e14 mesc line was maintained in the naive state"", ""h9 (wa09) and h1 (wa01) hesc lines were obtained from wicell research institute"", ""hfib2-ips4"", ""hues6 and hues9 hesc lines were obtained from harvard stem cell institute""]","[""e14"", ""h1 (wa01)"", ""h9 (wa09)"", ""hfib2-ips4"", ""hues6"", ""hues9""]",0.0,False
PXD007842,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens"", ""trypanosoma brucei""]",1.0,False
PXD007842,abstract_only,BiologicalAgent,disease_state,"[""human african trypanosomiasis""]","[""trypanosomiasis""]",0.9734779774424814,False
PXD007959,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD007959,with_methods,BiologicalAgent,tissue,"[""colon""]","[""colon""]",1.0,True
PXD007959,with_methods,BiologicalAgent,cell_type,"[""mucosal epithelial cells""]","[""mucosal epithelial cells""]",1.0,True
PXD007959,with_methods,BiologicalAgent,disease_state,"[""crohn's disease"", ""inflammatory bowel disease"", ""normal"", ""ulcerative colitis""]","[""crohn's disease"", ""inflammatory bowel disease"", ""normal"", ""ulcerative colitis""]",1.0,True
PXD008076,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD008076,abstract_only,BiologicalAgent,disease_state,"[""fibromyalgia"", ""normal""]","[""fibromyalgia""]",0.5269556056781728,False
PXD008178,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD008178,with_methods,BiologicalAgent,tissue,"[""cervix"", ""skin""]","[""cervix""]",0.0,False
PXD008178,with_methods,BiologicalAgent,cell_type,"[""cervical epithelial cell"", ""fibroblast""]","[""epithelial cell""]",0.7765927759894657,False
PXD008178,with_methods,BiologicalAgent,disease_state,"[""cervical adenocarcinoma"", ""normal"", ""ssr3-cdg""]","[""cervical adenocarcinoma""]",0.3963183718673922,False
PXD008178,with_methods,BiologicalAgent,cell_line,"[""gm0038"", ""hela"", ""trap\u03b3-deficient cells (cdg359)"", ""trap\u03b4-deficient cells (cdg406)""]","[""hela""]",0.3333333333333333,False
PXD008333,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD008333,abstract_only,BiologicalAgent,tissue,"[""testis""]","[""testis""]",1.0,True
PXD008333,abstract_only,BiologicalAgent,cell_type,"[""male germ cells"", ""spermatozoa""]","[""spermatozoa""]",1.0,False
PXD008333,abstract_only,BiologicalAgent,disease_state,"[""idiopathic male infertility"", ""oligospermia""]","[""idiopathic male infertility""]",0.8594522672360514,False
PXD008468,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD008468,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""blood plasma""]",0.8952405931341462,False
PXD008468,abstract_only,BiologicalAgent,disease_state,"[""myocardial infarction"", ""stemi""]","[""acute myocardial infarction""]",0.9190531888192324,False
PXD008719,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD008719,abstract_only,BiologicalAgent,tissue,"[""breast""]","[""breast""]",1.0,True
PXD008719,abstract_only,BiologicalAgent,cell_type,"[""epithelial cell"", ""fibroblast""]","[""epithelial cell"", ""fibroblast""]",1.0,True
PXD008719,abstract_only,BiologicalAgent,disease_state,"[""breast carcinoma""]","[""breast cancer"", ""disease free""]",0.9880989524001719,False
PXD008719,abstract_only,BiologicalAgent,cell_line,"[""mcf-7"", ""zr-75-1""]","[""mcf-7"", ""zr-75-1""]",1.0,True
PXD008918,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD008918,with_methods,BiologicalAgent,tissue,"[""blood""]","[""liver""]",0.058749057994850855,False
PXD008918,with_methods,BiologicalAgent,cell_type,"[""monocyte-derived hepatocyte-like cells""]","[""hepatocyte-like cell""]",1.0,False
PXD008918,with_methods,BiologicalAgent,disease_state,"[""diclofenac-induced drug-induced liver injury""]","[""diclofenac-induced drug-induced liver injury"", ""normal""]",1.0,False
PXD008980,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD008980,with_methods,BiologicalAgent,tissue,"[""lung""]","[""lung""]",1.0,True
PXD008980,with_methods,BiologicalAgent,cell_type,"[""lung fibroblast""]","[""fibroblast""]",1.0,False
PXD008980,with_methods,BiologicalAgent,disease_state,"[""adenovirus type 2 infection"", ""normal""]","[""viral infectious disease""]",0.036090988366712165,False
PXD008980,with_methods,BiologicalAgent,cell_line,"[""imr-90""]","[""imr-90""]",1.0,True
PXD009095,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD009095,with_methods,BiologicalAgent,tissue,"[""kidney""]","[""kidney""]",1.0,True
PXD009095,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""kidney""]",0.2804104512203622,False
PXD009095,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD009095,with_methods,BiologicalAgent,cell_line,"[""ad293"", ""hek293 6e""]","[""hek293""]",0.6967872312745048,False
PXD009161,abstract_only,BiologicalAgent,species,"[""mus musculus""]","[""homo sapiens""]",0.0,False
PXD009161,abstract_only,BiologicalAgent,cell_type,"[""endothelial cell""]","[""endothelial cell""]",1.0,True
PXD009241,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD009241,with_methods,BiologicalAgent,tissue,"[""head"", ""neck"", ""oral""]","[""head and neck""]",0.0,False
PXD009241,with_methods,BiologicalAgent,cell_type,"[""oral keratinocyte""]","[""squamous epithelial cell""]",0.7167720648004382,False
PXD009241,with_methods,BiologicalAgent,disease_state,"[""head and neck squamous cell carcinoma"", ""normal""]","[""head and neck squamous cell carcinoma"", ""normal""]",1.0,True
PXD009241,with_methods,BiologicalAgent,cell_line,"[""cal 27"", ""fadu"", ""jhu-o28"", ""okf6/tert1""]","[""cal 27"", ""fadu"", ""jhu-o28"", ""okf6/tert1""]",1.0,True
PXD009300,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD009300,with_methods,BiologicalAgent,tissue,"[""kidney""]","[""kidney""]",1.0,True
PXD009300,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]",1.0,True
PXD009300,with_methods,BiologicalAgent,disease_state,"[""chromophobe renal cell carcinoma"", ""renal oncocytoma""]","[""chromophobe renal cell carcinoma"", ""renal oncocytoma""]",1.0,True
PXD009350,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD009350,with_methods,BiologicalAgent,tissue,"[""blood""]","[""blood plasma""]",0.8952405931341462,False
PXD009350,with_methods,BiologicalAgent,disease_state,"[""obese"", ""overweight""]","[""obesity"", ""overweight""]",1.0,False
PXD009500,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD009500,with_methods,BiologicalAgent,cell_type,"[""bone marrow stromal cells""]","[""stromal cell""]",1.0,False
PXD009500,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD009578,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""rattus norvegicus""]","[""homo sapiens"", ""rattus norvegicus""]",1.0,True
PXD009578,with_methods,BiologicalAgent,tissue,"[""brain"", ""cerebellum"", ""neuroblastoma""]","[""brain"", ""cerebellum""]",0.7998000708764632,False
PXD009578,with_methods,BiologicalAgent,disease_state,"[""autoimmune encephalitis"", ""neuroblastoma"", ""new-onset epilepsy"", ""normal"", ""opsoclonus myoclonus ataxia syndrome"", ""rasmussen encephalitis""]","[""neuroblastoma""]",0.327999578251973,False
PXD009646,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD009646,abstract_only,BiologicalAgent,tissue,"[""cerebrospinal fluid""]","[""brain"", ""cerebrospinal fluid""]",1.0,False
PXD009646,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""alzheimer's disease"", ""normal""]",1.0,False
PXD009760,abstract_only,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens""]",0.5,False
PXD009760,abstract_only,BiologicalAgent,tissue,"[""brain""]","[""cervix""]",0.0,False
PXD009760,abstract_only,BiologicalAgent,cell_type,"[""neuron""]","[""hela cell""]",0.0,False
PXD009760,abstract_only,BiologicalAgent,disease_state,"[""amyotrophic lateral sclerosis""]","[""cervical adenocarcinoma""]",0.1501453821897761,False
PXD009900,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD009900,with_methods,BiologicalAgent,tissue,"[""lung""]","[""lung""]",1.0,True
PXD009900,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]",1.0,True
