pxd,cohort,agent,field,old_values,new_values
PXD000004,abstract_only,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens"", ""mus musculus""]"
PXD000004,abstract_only,BiologicalAgent,tissue,"[""brain"", ""prefrontal cortex""]","[""brain""]"
PXD000004,abstract_only,BiologicalAgent,cell_type,[],"[""neuronal""]"
PXD000004,abstract_only,BiologicalAgent,disease_state,"[""neuropsychiatric disease""]","[""normal""]"
PXD000004,abstract_only,BiologicalAgent,sample_source,"[""postmortem brain tissue""]","[""human brain tissue""]"
PXD000004,abstract_only,BiologicalAgent,age,[],[]
PXD000004,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD000004,abstract_only,BiologicalAgent,BMI,[],[]
PXD000004,abstract_only,BiologicalAgent,cell_line,[],[]
PXD000004,abstract_only,BiologicalAgent,sex,[],[]
PXD000004,abstract_only,BiologicalAgent,strain,[],[]
PXD000004,abstract_only,BiologicalAgent,material_type,"[""tissue""]","[""tissue""]"
PXD000004,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD000004,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD000445,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD000445,abstract_only,BiologicalAgent,tissue,"[""colon""]","[""colon""]"
PXD000445,abstract_only,BiologicalAgent,cell_type,"[""colon epithelial cell""]","[""colon epithelial cell""]"
PXD000445,abstract_only,BiologicalAgent,disease_state,"[""colorectal adenoma"", ""colorectal cancer"", ""normal""]","[""colorectal adenoma"", ""colorectal cancer"", ""normal""]"
PXD000445,abstract_only,BiologicalAgent,sample_source,"[""cell culture"", ""colonoscopy tissue""]","[""cell culture"", ""colonoscopy sample""]"
PXD000445,abstract_only,BiologicalAgent,age,[],[]
PXD000445,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD000445,abstract_only,BiologicalAgent,BMI,[],[]
PXD000445,abstract_only,BiologicalAgent,cell_line,"[""caco2"", ""cx1"", ""hcec"", ""ht29"", ""sw480"", ""sw620""]","[""caco2"", ""cx1"", ""hcec"", ""ht29"", ""sw480"", ""sw620""]"
PXD000445,abstract_only,BiologicalAgent,sex,[],[]
PXD000445,abstract_only,BiologicalAgent,strain,[],[]
PXD000445,abstract_only,BiologicalAgent,material_type,"[""cell line"", ""tissue""]","[""cell line"", ""tissue""]"
PXD000445,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD000445,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD001000,abstract_only,BiologicalAgent,species,[],"[""homo sapiens"", ""mus musculus""]"
PXD001000,abstract_only,BiologicalAgent,tissue,[],[]
PXD001000,abstract_only,BiologicalAgent,cell_type,[],[]
PXD001000,abstract_only,BiologicalAgent,disease_state,[],"[""breast cancer""]"
PXD001000,abstract_only,BiologicalAgent,sample_source,[],[]
PXD001000,abstract_only,BiologicalAgent,age,[],[]
PXD001000,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD001000,abstract_only,BiologicalAgent,BMI,[],[]
PXD001000,abstract_only,BiologicalAgent,cell_line,[],[]
PXD001000,abstract_only,BiologicalAgent,sex,[],[]
PXD001000,abstract_only,BiologicalAgent,strain,[],[]
PXD001000,abstract_only,BiologicalAgent,material_type,[],[]
PXD001000,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD001000,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD001326,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD001326,abstract_only,BiologicalAgent,tissue,"[""breast""]","[""breast""]"
PXD001326,abstract_only,BiologicalAgent,cell_type,"[""epithelial cell"", ""fibroblast""]","[""cancer-associated fibroblasts"", ""mammary carcinoma cell"", ""primary human mammary fibroblasts""]"
PXD001326,abstract_only,BiologicalAgent,disease_state,"[""breast adenocarcinoma""]","[""breast adenocarcinoma"", ""breast cancer""]"
PXD001326,abstract_only,BiologicalAgent,sample_source,"[""tumor biopsy""]","[""cell culture"", ""tumor biopsy""]"
PXD001326,abstract_only,BiologicalAgent,age,[],[]
PXD001326,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD001326,abstract_only,BiologicalAgent,BMI,[],[]
PXD001326,abstract_only,BiologicalAgent,cell_line,"[""zr-75-1""]","[""zr-75-1""]"
PXD001326,abstract_only,BiologicalAgent,sex,[],[]
PXD001326,abstract_only,BiologicalAgent,strain,[],[]
PXD001326,abstract_only,BiologicalAgent,material_type,"[""cell line"", ""tissue""]","[""cell line"", ""primary cells"", ""tissue""]"
PXD001326,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD001326,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD001419,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD001419,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""blood""]"
PXD001419,abstract_only,BiologicalAgent,cell_type,"[""pbmcs""]","[""peripheral blood mononuclear cell""]"
PXD001419,abstract_only,BiologicalAgent,disease_state,[],"[""normal""]"
PXD001419,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""healthy volunteers""]"
PXD001419,abstract_only,BiologicalAgent,age,[],[]
PXD001419,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD001419,abstract_only,BiologicalAgent,BMI,[],[]
PXD001419,abstract_only,BiologicalAgent,cell_line,[],[]
PXD001419,abstract_only,BiologicalAgent,sex,[],[]
PXD001419,abstract_only,BiologicalAgent,strain,[],[]
PXD001419,abstract_only,BiologicalAgent,material_type,"[""cell culture""]","[""primary cells""]"
PXD001419,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD001419,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD001524,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD001524,abstract_only,BiologicalAgent,tissue,"[""testis""]","[""testis""]"
PXD001524,abstract_only,BiologicalAgent,cell_type,"[""testicular cell""]","[""testicular cells""]"
PXD001524,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]"
PXD001524,abstract_only,BiologicalAgent,sample_source,"[""human cadaveric testicular tissue""]","[""human cadaveric testicular tissue""]"
PXD001524,abstract_only,BiologicalAgent,age,[],[]
PXD001524,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD001524,abstract_only,BiologicalAgent,BMI,[],[]
PXD001524,abstract_only,BiologicalAgent,cell_line,[],[]
PXD001524,abstract_only,BiologicalAgent,sex,"[""male""]",[]
PXD001524,abstract_only,BiologicalAgent,strain,[],[]
PXD001524,abstract_only,BiologicalAgent,material_type,"[""tissue""]","[""tissue""]"
PXD001524,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD001524,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD001985,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD001985,abstract_only,BiologicalAgent,tissue,"[""lung""]","[""lung""]"
PXD001985,abstract_only,BiologicalAgent,cell_type,[],"[""b cell"", ""dendritic cell"", ""epithelial cell"", ""erythrocyte"", ""fibroblast"", ""leukocyte"", ""macrophage"", ""neutrophil"", ""platelet"", ""t cell""]"
PXD001985,abstract_only,BiologicalAgent,disease_state,"[""cystic fibrosis"", ""normal""]","[""cystic fibrosis""]"
PXD001985,abstract_only,BiologicalAgent,sample_source,"[""sputum""]","[""sputum sample""]"
PXD001985,abstract_only,BiologicalAgent,age,[],"[""adults""]"
PXD001985,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD001985,abstract_only,BiologicalAgent,BMI,[],[]
PXD001985,abstract_only,BiologicalAgent,cell_line,[],[]
PXD001985,abstract_only,BiologicalAgent,sex,[],[]
PXD001985,abstract_only,BiologicalAgent,strain,[],[]
PXD001985,abstract_only,BiologicalAgent,material_type,"[""biofluid""]","[""biofluid""]"
PXD001985,abstract_only,BiologicalAgent,developmental_stage,[],"[""adult""]"
PXD001985,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD002354,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD002354,abstract_only,BiologicalAgent,tissue,"[""skin""]",[]
PXD002354,abstract_only,BiologicalAgent,cell_type,"[""fibroblast""]","[""fibroblast""]"
PXD002354,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]"
PXD002354,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD002354,abstract_only,BiologicalAgent,age,[],[]
PXD002354,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD002354,abstract_only,BiologicalAgent,BMI,[],[]
PXD002354,abstract_only,BiologicalAgent,cell_line,[],"[""hek cells""]"
PXD002354,abstract_only,BiologicalAgent,sex,[],[]
PXD002354,abstract_only,BiologicalAgent,strain,[],[]
PXD002354,abstract_only,BiologicalAgent,material_type,"[""cell culture""]","[""cell culture""]"
PXD002354,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD002354,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD002687,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD002687,with_methods,BiologicalAgent,tissue,"[""cervix""]","[""cervix""]"
PXD002687,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]"
PXD002687,with_methods,BiologicalAgent,disease_state,"[""cervical adenocarcinoma""]","[""cervical adenocarcinoma""]"
PXD002687,with_methods,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD002687,with_methods,BiologicalAgent,age,[],[]
PXD002687,with_methods,BiologicalAgent,anatomic_site_tumor,[],[]
PXD002687,with_methods,BiologicalAgent,BMI,[],[]
PXD002687,with_methods,BiologicalAgent,cell_line,"[""hela""]","[""hela""]"
PXD002687,with_methods,BiologicalAgent,sex,[],[]
PXD002687,with_methods,BiologicalAgent,strain,[],[]
PXD002687,with_methods,BiologicalAgent,material_type,"[""cell line""]","[""cell line""]"
PXD002687,with_methods,BiologicalAgent,developmental_stage,[],[]
PXD002687,with_methods,BiologicalAgent,ethnicity,[],[]
PXD003053,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD003053,abstract_only,BiologicalAgent,tissue,[],"[""kidney""]"
PXD003053,abstract_only,BiologicalAgent,cell_type,"[""human proteins"", ""mammalian cells""]","[""kidney cell""]"
PXD003053,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]"
PXD003053,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD003053,abstract_only,BiologicalAgent,age,[],[]
PXD003053,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD003053,abstract_only,BiologicalAgent,BMI,[],[]
PXD003053,abstract_only,BiologicalAgent,cell_line,[],"[""hek293""]"
PXD003053,abstract_only,BiologicalAgent,sex,[],[]
PXD003053,abstract_only,BiologicalAgent,strain,[],[]
PXD003053,abstract_only,BiologicalAgent,material_type,"[""cell lysate""]","[""cell line""]"
PXD003053,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD003053,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD003293,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD003293,with_methods,BiologicalAgent,tissue,"[""lung""]","[""lung""]"
PXD003293,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell"", ""mesenchymal hsaecs"", ""mesenchymal hsaecs treated with tnf\u03b1 for 1 h"", ""normal hsaecs"", ""normal hsaecs treated with tnf\u03b1 for 1 h"", ""small airway epithelial cells"", ""tgf\u03b2 induced mesenchymal hsaecs""]"
PXD003293,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""epithelial mesenchymal transition"", ""normal""]"
PXD003293,with_methods,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture"", ""primary small airway epithelial cells""]"
PXD003293,with_methods,BiologicalAgent,age,[],[]
PXD003293,with_methods,BiologicalAgent,anatomic_site_tumor,[],[]
PXD003293,with_methods,BiologicalAgent,BMI,[],[]
PXD003293,with_methods,BiologicalAgent,cell_line,"[""hsaecs""]",[]
PXD003293,with_methods,BiologicalAgent,sex,[],[]
PXD003293,with_methods,BiologicalAgent,strain,[],[]
PXD003293,with_methods,BiologicalAgent,material_type,"[""cell line""]","[""cell line"", ""primary cells""]"
