section,measure,value
totals,old_fields,21997
totals,new_fields,37026
totals,shared_fields,20169
totals,earlier_only_fields,1828
totals,expanded_only_fields,16857
totals,old_values,27755
totals,new_values,49791
totals,equivalent_pairs,16227
totals,hierarchical_inclusive_pairs,16463
totals,semantic_inclusive_pairs,19505
field_value_categories,equivalent_value_sets,11122
field_value_categories,partial_overlap,3834
field_value_categories,expanded_only_field,16857
field_value_categories,no_accepted_overlap_review,3329
field_value_categories,semantic_candidate_value_sets,1749
field_value_categories,earlier_only_field,1828
field_value_categories,hierarchically_related_value_sets,135
denominator,datasets,1737
