pxd,cohort,old_fields,new_fields,shared_fields,earlier_only_fields,expanded_only_fields,old_values,new_values,field_jaccard,field_delta,value_delta,equivalent_pairs,hierarchical_inclusive_pairs,semantic_inclusive_pairs,equivalent_pairs_jaccard,hierarchical_inclusive_pairs_jaccard,semantic_inclusive_pairs_jaccard
PXD000004,abstract_only,10,15,8,2,7,12,18,0.47058823529411764,5,6,6,6,6,0.25,0.25,0.25
PXD000445,abstract_only,14,18,14,0,4,23,32,0.7777777777777778,4,9,16,16,21,0.41025641025641024,0.41025641025641024,0.6176470588235294
PXD001000,abstract_only,1,14,1,0,13,1,21,0.07142857142857142,13,20,0,0,0,0.0,0.0,0.0
PXD001326,abstract_only,9,21,9,0,12,11,29,0.42857142857142855,12,18,8,8,9,0.25,0.25,0.2903225806451613
PXD001419,abstract_only,10,26,10,0,16,10,31,0.38461538461538464,16,21,5,5,6,0.1388888888888889,0.1388888888888889,0.17142857142857143
PXD001524,abstract_only,9,21,8,1,13,9,23,0.36363636363636365,12,14,6,6,8,0.23076923076923078,0.23076923076923078,0.3333333333333333
PXD001985,abstract_only,9,24,9,0,15,10,36,0.375,15,26,5,5,7,0.12195121951219512,0.12195121951219512,0.1794871794871795
PXD002354,abstract_only,11,13,7,4,6,11,20,0.4117647058823529,2,9,5,5,5,0.19230769230769232,0.19230769230769232,0.19230769230769232
PXD002687,with_methods,25,26,24,1,2,30,30,0.8888888888888888,1,0,22,22,22,0.5789473684210527,0.5789473684210527,0.5789473684210527
PXD003053,abstract_only,10,22,10,0,12,11,23,0.45454545454545453,12,12,6,6,7,0.21428571428571427,0.21428571428571427,0.25925925925925924
PXD003293,with_methods,29,27,27,2,0,37,40,0.9310344827586207,-2,3,24,24,26,0.4528301886792453,0.4528301886792453,0.5098039215686274
PXD003408,abstract_only,14,26,14,0,12,16,32,0.5384615384615384,12,16,11,11,11,0.2972972972972973,0.2972972972972973,0.2972972972972973
PXD003416,abstract_only,14,29,14,0,15,15,35,0.4827586206896552,15,20,11,11,12,0.28205128205128205,0.28205128205128205,0.3157894736842105
PXD003594,with_methods,21,25,20,1,5,24,36,0.7692307692307693,4,12,16,17,22,0.36363636363636365,0.3953488372093023,0.5789473684210527
PXD003971,abstract_only,8,27,8,0,19,9,35,0.2962962962962963,19,26,5,5,8,0.1282051282051282,0.1282051282051282,0.2222222222222222
PXD004334,with_methods,18,20,16,2,4,22,25,0.7272727272727273,2,3,9,9,12,0.23684210526315788,0.23684210526315788,0.34285714285714286
PXD004626,abstract_only,12,19,9,3,10,14,25,0.4090909090909091,7,11,5,5,5,0.14705882352941177,0.14705882352941177,0.14705882352941177
PXD005045,abstract_only,12,25,12,0,13,13,30,0.48,13,17,11,11,12,0.34375,0.34375,0.3870967741935484
PXD005301,abstract_only,12,23,12,0,11,12,31,0.5217391304347826,11,19,7,9,12,0.19444444444444445,0.2647058823529412,0.3870967741935484
PXD005544,abstract_only,13,23,10,3,13,13,25,0.38461538461538464,10,12,5,6,7,0.15151515151515152,0.1875,0.22580645161290322
PXD005753,with_methods,21,17,16,5,1,33,32,0.7272727272727273,-4,-1,13,13,19,0.25,0.25,0.41304347826086957
PXD006114,with_methods,30,25,25,5,0,51,43,0.8333333333333334,-5,-8,18,18,28,0.23684210526315788,0.23684210526315788,0.42424242424242425
PXD006299,abstract_only,9,20,7,2,13,9,39,0.3181818181818182,11,30,4,4,5,0.09090909090909091,0.09090909090909091,0.11627906976744186
PXD006447,with_methods,22,25,21,1,4,24,31,0.8076923076923077,3,7,23,23,23,0.71875,0.71875,0.71875
PXD006571,abstract_only,12,21,9,3,12,17,26,0.375,9,9,9,9,10,0.2647058823529412,0.2647058823529412,0.30303030303030304
PXD006607,abstract_only,7,21,7,0,14,8,24,0.3333333333333333,14,16,3,4,6,0.10344827586206896,0.14285714285714285,0.23076923076923078
PXD006770,abstract_only,8,20,8,0,12,12,36,0.4,12,24,6,6,8,0.14285714285714285,0.14285714285714285,0.2
PXD006897,abstract_only,8,12,8,0,4,12,16,0.6666666666666666,4,4,6,6,7,0.2727272727272727,0.2727272727272727,0.3333333333333333
PXD007149,abstract_only,6,16,3,3,13,6,27,0.15789473684210525,10,21,2,2,3,0.06451612903225806,0.06451612903225806,0.1
PXD007270,with_methods,24,23,22,2,1,39,29,0.88,-1,-10,20,20,23,0.4166666666666667,0.4166666666666667,0.5111111111111111
PXD007643,abstract_only,10,20,8,2,12,16,26,0.36363636363636365,10,10,6,6,10,0.16666666666666666,0.16666666666666666,0.3125
PXD007738,with_methods,24,23,21,3,2,38,37,0.8076923076923077,-1,-1,17,17,23,0.29310344827586204,0.29310344827586204,0.4423076923076923
PXD007842,abstract_only,8,24,7,1,17,8,32,0.28,16,24,3,4,5,0.08108108108108109,0.1111111111111111,0.14285714285714285
PXD007959,with_methods,21,23,20,1,3,24,28,0.8333333333333334,2,4,17,17,18,0.4857142857142857,0.4857142857142857,0.5294117647058824
PXD008076,abstract_only,8,15,7,1,8,9,21,0.4375,7,12,6,6,6,0.25,0.25,0.25
PXD008178,with_methods,23,27,23,0,4,36,32,0.8518518518518519,4,-4,20,21,24,0.4166666666666667,0.44680851063829785,0.5454545454545454
PXD008333,abstract_only,11,19,11,0,8,13,25,0.5789473684210527,8,12,9,9,10,0.3103448275862069,0.3103448275862069,0.35714285714285715
PXD008468,abstract_only,11,24,11,0,13,12,33,0.4583333333333333,13,21,5,6,8,0.125,0.15384615384615385,0.21621621621621623
PXD008581,abstract_only,1,15,1,0,14,1,19,0.06666666666666667,14,18,1,1,1,0.05263157894736842,0.05263157894736842,0.05263157894736842
PXD008719,abstract_only,11,19,11,0,8,15,25,0.5789473684210527,8,10,9,10,11,0.2903225806451613,0.3333333333333333,0.3793103448275862
PXD008918,with_methods,18,16,15,3,1,19,19,0.7894736842105263,-2,0,11,11,14,0.4074074074074074,0.4074074074074074,0.5833333333333334
PXD008980,with_methods,21,29,21,0,8,26,35,0.7241379310344828,8,9,16,16,20,0.35555555555555557,0.35555555555555557,0.4878048780487805
PXD009095,with_methods,26,26,25,1,1,32,35,0.9259259259259259,0,3,19,19,27,0.3958333333333333,0.3958333333333333,0.675
PXD009161,abstract_only,12,17,6,6,11,12,17,0.2608695652173913,5,5,4,4,4,0.16,0.16,0.16
PXD009241,with_methods,28,27,27,1,0,40,36,0.9642857142857143,-1,-4,24,24,28,0.46153846153846156,0.46153846153846156,0.5833333333333334
PXD009300,with_methods,16,17,15,1,2,17,18,0.8333333333333334,1,1,15,15,16,0.75,0.75,0.8421052631578947
PXD009350,with_methods,28,25,24,4,1,36,34,0.8275862068965517,-3,-2,18,18,23,0.34615384615384615,0.34615384615384615,0.48936170212765956
PXD009426,abstract_only,7,21,6,1,15,10,32,0.2727272727272727,14,22,5,5,6,0.13513513513513514,0.13513513513513514,0.16666666666666666
PXD009500,with_methods,24,22,21,3,1,26,27,0.84,-2,1,14,14,18,0.358974358974359,0.358974358974359,0.5142857142857142
PXD009578,with_methods,18,24,17,1,7,40,36,0.68,6,-4,18,18,19,0.3103448275862069,0.3103448275862069,0.3333333333333333
PXD009646,abstract_only,13,19,11,2,8,13,36,0.5238095238095238,6,23,8,8,9,0.1951219512195122,0.1951219512195122,0.225
PXD009760,abstract_only,8,18,8,0,10,11,23,0.4444444444444444,10,12,5,5,5,0.1724137931034483,0.1724137931034483,0.1724137931034483
PXD009839,abstract_only,5,16,5,0,11,5,20,0.3125,11,15,2,2,3,0.08695652173913043,0.08695652173913043,0.13636363636363635
PXD009900,with_methods,15,18,14,1,4,15,29,0.7368421052631579,3,14,12,13,13,0.375,0.41935483870967744,0.41935483870967744
PXD009950,abstract_only,5,14,4,1,10,5,16,0.26666666666666666,9,11,2,2,3,0.10526315789473684,0.10526315789473684,0.16666666666666666
PXD010093,abstract_only,11,27,10,1,17,12,31,0.35714285714285715,16,19,8,8,9,0.22857142857142856,0.22857142857142856,0.2647058823529412
PXD010154,with_methods,22,26,22,0,4,36,75,0.8461538461538461,4,39,27,27,32,0.32142857142857145,0.32142857142857145,0.4050632911392405
PXD010286,abstract_only,12,21,11,1,10,12,25,0.5,9,13,10,10,11,0.37037037037037035,0.37037037037037035,0.4230769230769231
PXD010469,abstract_only,11,23,11,0,12,12,25,0.4782608695652174,12,13,6,6,10,0.1935483870967742,0.1935483870967742,0.37037037037037035
PXD010630,abstract_only,10,14,9,1,5,17,24,0.6,4,7,15,15,15,0.5769230769230769,0.5769230769230769,0.5769230769230769
PXD010821,with_methods,27,22,22,5,0,39,29,0.8148148148148148,-5,-10,21,21,25,0.44680851063829785,0.44680851063829785,0.5813953488372093
PXD011075,abstract_only,9,16,9,0,7,10,19,0.5625,7,9,7,7,8,0.3181818181818182,0.3181818181818182,0.38095238095238093
PXD011242,abstract_only,12,20,11,1,9,12,25,0.5238095238095238,8,13,8,8,10,0.27586206896551724,0.27586206896551724,0.37037037037037035
PXD011609,abstract_only,13,21,12,1,9,18,25,0.5454545454545454,8,7,6,7,9,0.16216216216216217,0.19444444444444445,0.2647058823529412
PXD013923,with_methods,27,28,26,1,2,36,35,0.896551724137931,1,-1,21,21,26,0.42,0.42,0.5777777777777777
PXD020164,abstract_only,9,21,7,2,14,11,26,0.30434782608695654,12,15,7,7,7,0.23333333333333334,0.23333333333333334,0.23333333333333334
PXD025899,with_methods,24,27,23,1,4,26,31,0.8214285714285714,3,5,14,14,17,0.32558139534883723,0.32558139534883723,0.425
PXD036023,abstract_only,10,18,9,1,9,13,21,0.47368421052631576,8,8,8,8,8,0.3076923076923077,0.3076923076923077,0.3076923076923077
PXD046405,abstract_only,8,19,8,0,11,10,31,0.42105263157894735,11,21,5,6,7,0.1388888888888889,0.17142857142857143,0.20588235294117646
PXD046462,abstract_only,11,30,11,0,19,11,40,0.36666666666666664,19,29,9,9,11,0.21428571428571427,0.21428571428571427,0.275
PXD046550,with_methods,24,27,24,0,3,28,36,0.8888888888888888,3,8,19,19,22,0.4222222222222222,0.4222222222222222,0.5238095238095238
PXD046676,abstract_only,11,28,11,0,17,11,42,0.39285714285714285,17,31,9,9,10,0.20454545454545456,0.20454545454545456,0.23255813953488372
PXD046754,abstract_only,11,16,9,2,7,12,25,0.5,5,13,5,5,8,0.15625,0.15625,0.27586206896551724
PXD046846,with_methods,23,23,23,0,0,24,31,1.0,0,7,15,15,17,0.375,0.375,0.4473684210526316
PXD046988,abstract_only,2,20,2,0,18,2,22,0.1,18,20,0,0,1,0.0,0.0,0.043478260869565216
PXD047040,with_methods,20,27,20,0,7,23,33,0.7407407407407407,7,10,21,21,21,0.6,0.6,0.6
PXD047111,abstract_only,11,27,10,1,17,11,37,0.35714285714285715,16,26,7,7,8,0.17073170731707318,0.17073170731707318,0.2
PXD047228,abstract_only,10,15,8,2,7,10,18,0.47058823529411764,5,8,6,6,7,0.2727272727272727,0.2727272727272727,0.3333333333333333
PXD047367,with_methods,26,27,26,0,1,28,31,0.9629629629629629,1,3,22,22,24,0.5945945945945946,0.5945945945945946,0.6857142857142857
PXD047507,with_methods,15,23,14,1,9,17,34,0.5833333333333334,8,17,11,11,14,0.275,0.275,0.3783783783783784
PXD047613,abstract_only,14,25,9,5,16,17,36,0.3,11,19,6,6,9,0.1276595744680851,0.1276595744680851,0.20454545454545456
PXD047823,with_methods,25,28,25,0,3,33,35,0.8928571428571429,3,2,24,24,28,0.5454545454545454,0.5454545454545454,0.7
PXD047914,abstract_only,1,9,0,1,9,1,9,0.0,8,8,0,0,0,0.0,0.0,0.0
PXD048018,abstract_only,8,30,7,1,23,9,40,0.22580645161290322,22,31,2,2,3,0.0425531914893617,0.0425531914893617,0.06521739130434782
PXD048102,abstract_only,1,8,1,0,7,1,8,0.125,7,7,1,1,1,0.125,0.125,0.125
PXD048361,with_methods,19,19,19,0,0,19,28,1.0,0,9,14,14,18,0.42424242424242425,0.42424242424242425,0.6206896551724138
PXD048511,abstract_only,8,14,7,1,7,8,17,0.4666666666666667,6,9,6,6,7,0.3157894736842105,0.3157894736842105,0.3888888888888889
PXD048603,with_methods,25,26,25,0,1,30,39,0.9615384615384616,1,9,19,19,22,0.38,0.38,0.46808510638297873
PXD048682,abstract_only,10,21,10,0,11,11,25,0.47619047619047616,11,14,4,4,8,0.125,0.125,0.2857142857142857
PXD048840,with_methods,16,23,12,4,11,17,27,0.4444444444444444,7,10,10,10,12,0.29411764705882354,0.29411764705882354,0.375
PXD048934,with_methods,25,25,22,3,3,31,37,0.7857142857142857,0,6,28,28,28,0.7,0.7,0.7
PXD049067,with_methods,27,27,25,2,2,39,34,0.8620689655172413,0,-5,25,25,25,0.5208333333333334,0.5208333333333334,0.5208333333333334
PXD049249,abstract_only,10,17,7,3,10,11,27,0.35,7,16,3,3,5,0.08571428571428572,0.08571428571428572,0.15151515151515152
