pxd,cohort,agent,field,old_count,new_count,status,equivalent_pairs,hierarchical_inclusive_pairs,semantic_inclusive_pairs,equivalent_jaccard,unmatched_earlier,unmatched_expanded
PXD000004,abstract_only,BiologicalAgent,species,2,2,equivalent_value_sets,2,2,2,1.0,[],[]
PXD000004,abstract_only,BiologicalAgent,tissue,2,1,partial_overlap,1,1,1,0.5,"[""prefrontal cortex""]",[]
PXD000004,abstract_only,BiologicalAgent,cell_type,0,1,expanded_only_field,0,0,0,0.0,[],"[""neuronal""]"
PXD000004,abstract_only,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""neuropsychiatric disease""]","[""normal""]"
PXD000004,abstract_only,BiologicalAgent,sample_source,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""postmortem brain tissue""]","[""human brain tissue""]"
PXD000004,abstract_only,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD000445,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD000445,abstract_only,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD000445,abstract_only,BiologicalAgent,cell_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD000445,abstract_only,BiologicalAgent,disease_state,3,3,equivalent_value_sets,3,3,3,1.0,[],[]
PXD000445,abstract_only,BiologicalAgent,sample_source,2,2,semantic_candidate_value_sets,1,1,2,0.3333333333333333,[],[]
PXD000445,abstract_only,BiologicalAgent,cell_line,6,6,equivalent_value_sets,6,6,6,1.0,[],[]
PXD000445,abstract_only,BiologicalAgent,material_type,2,2,equivalent_value_sets,2,2,2,1.0,[],[]
PXD001000,abstract_only,BiologicalAgent,species,0,2,expanded_only_field,0,0,0,0.0,[],"[""homo sapiens"", ""mus musculus""]"
PXD001000,abstract_only,BiologicalAgent,disease_state,0,1,expanded_only_field,0,0,0,0.0,[],"[""breast cancer""]"
PXD001326,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001326,abstract_only,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001326,abstract_only,BiologicalAgent,cell_type,2,3,no_accepted_overlap_review,0,0,0,0.0,"[""epithelial cell"", ""fibroblast""]","[""cancer-associated fibroblasts"", ""mammary carcinoma cell"", ""primary human mammary fibroblasts""]"
PXD001326,abstract_only,BiologicalAgent,disease_state,1,2,partial_overlap,1,1,1,0.5,[],"[""breast cancer""]"
PXD001326,abstract_only,BiologicalAgent,sample_source,1,2,partial_overlap,1,1,1,0.5,[],"[""cell culture""]"
PXD001326,abstract_only,BiologicalAgent,cell_line,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001326,abstract_only,BiologicalAgent,material_type,2,3,partial_overlap,2,2,2,0.6666666666666666,[],"[""primary cells""]"
PXD001419,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001419,abstract_only,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001419,abstract_only,BiologicalAgent,cell_type,1,1,semantic_candidate_value_sets,0,0,1,0.0,[],[]
PXD001419,abstract_only,BiologicalAgent,disease_state,0,1,expanded_only_field,0,0,0,0.0,[],"[""normal""]"
PXD001419,abstract_only,BiologicalAgent,sample_source,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""cell culture""]","[""healthy volunteers""]"
PXD001419,abstract_only,BiologicalAgent,material_type,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""cell culture""]","[""primary cells""]"
PXD001524,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001524,abstract_only,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001524,abstract_only,BiologicalAgent,cell_type,1,1,semantic_candidate_value_sets,0,0,1,0.0,[],[]
PXD001524,abstract_only,BiologicalAgent,disease_state,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001524,abstract_only,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001524,abstract_only,BiologicalAgent,sex,1,0,earlier_only_field,0,0,0,0.0,"[""male""]",[]
PXD001524,abstract_only,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001985,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001985,abstract_only,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001985,abstract_only,BiologicalAgent,cell_type,0,10,expanded_only_field,0,0,0,0.0,[],"[""b cell"", ""dendritic cell"", ""epithelial cell"", ""erythrocyte"", ""fibroblast"", ""leukocyte"", ""macrophage"", ""neutrophil"", ""platelet"", ""t cell""]"
PXD001985,abstract_only,BiologicalAgent,disease_state,2,1,partial_overlap,1,1,1,0.5,"[""normal""]",[]
PXD001985,abstract_only,BiologicalAgent,sample_source,1,1,semantic_candidate_value_sets,0,0,1,0.0,[],[]
PXD001985,abstract_only,BiologicalAgent,age,0,1,expanded_only_field,0,0,0,0.0,[],"[""adults""]"
PXD001985,abstract_only,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD001985,abstract_only,BiologicalAgent,developmental_stage,0,1,expanded_only_field,0,0,0,0.0,[],"[""adult""]"
PXD002354,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002354,abstract_only,BiologicalAgent,tissue,1,0,earlier_only_field,0,0,0,0.0,"[""skin""]",[]
PXD002354,abstract_only,BiologicalAgent,cell_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002354,abstract_only,BiologicalAgent,disease_state,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002354,abstract_only,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002354,abstract_only,BiologicalAgent,cell_line,0,1,expanded_only_field,0,0,0,0.0,[],"[""hek cells""]"
PXD002354,abstract_only,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002687,with_methods,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002687,with_methods,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002687,with_methods,BiologicalAgent,cell_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002687,with_methods,BiologicalAgent,disease_state,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002687,with_methods,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002687,with_methods,BiologicalAgent,cell_line,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD002687,with_methods,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003053,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003053,abstract_only,BiologicalAgent,tissue,0,1,expanded_only_field,0,0,0,0.0,[],"[""kidney""]"
PXD003053,abstract_only,BiologicalAgent,cell_type,2,1,no_accepted_overlap_review,0,0,0,0.0,"[""human proteins"", ""mammalian cells""]","[""kidney cell""]"
PXD003053,abstract_only,BiologicalAgent,disease_state,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003053,abstract_only,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003053,abstract_only,BiologicalAgent,cell_line,0,1,expanded_only_field,0,0,0,0.0,[],"[""hek293""]"
PXD003053,abstract_only,BiologicalAgent,material_type,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""cell lysate""]","[""cell line""]"
PXD003293,with_methods,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003293,with_methods,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003293,with_methods,BiologicalAgent,cell_type,1,7,partial_overlap,1,1,1,0.14285714285714285,[],"[""mesenchymal hsaecs"", ""mesenchymal hsaecs treated with tnf\u03b1 for 1 h"", ""normal hsaecs"", ""normal hsaecs treated with tnf\u03b1 for 1 h"", ""small airway epithelial cells"", ""tgf\u03b2 induced mesenchymal hsaecs""]"
PXD003293,with_methods,BiologicalAgent,disease_state,1,2,partial_overlap,1,1,1,0.5,[],"[""epithelial mesenchymal transition""]"
PXD003293,with_methods,BiologicalAgent,sample_source,1,2,partial_overlap,1,1,1,0.5,[],"[""primary small airway epithelial cells""]"
PXD003293,with_methods,BiologicalAgent,cell_line,1,0,earlier_only_field,0,0,0,0.0,"[""hsaecs""]",[]
PXD003293,with_methods,BiologicalAgent,material_type,1,2,partial_overlap,1,1,1,0.5,[],"[""primary cells""]"
PXD003408,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003408,abstract_only,BiologicalAgent,tissue,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""blood""]","[""umbilical vein""]"
PXD003408,abstract_only,BiologicalAgent,cell_type,3,2,partial_overlap,2,2,2,0.6666666666666666,"[""peripheral blood mononuclear cell""]",[]
PXD003408,abstract_only,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""inflammation""]","[""normal""]"
PXD003408,abstract_only,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003408,abstract_only,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003416,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003416,abstract_only,BiologicalAgent,tissue,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""blood""]","[""skin""]"
PXD003416,abstract_only,BiologicalAgent,cell_type,2,2,equivalent_value_sets,2,2,2,1.0,[],[]
PXD003416,abstract_only,BiologicalAgent,disease_state,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003416,abstract_only,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003416,abstract_only,BiologicalAgent,material_type,1,2,partial_overlap,1,1,1,0.5,[],"[""cell line""]"
PXD003416,abstract_only,BiologicalAgent,developmental_stage,0,1,expanded_only_field,0,0,0,0.0,[],"[""adult""]"
PXD003594,with_methods,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003594,with_methods,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003594,with_methods,BiologicalAgent,cell_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003594,with_methods,BiologicalAgent,disease_state,1,1,hierarchically_related_value_sets,0,1,1,0.0,[],[]
PXD003594,with_methods,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003594,with_methods,BiologicalAgent,cell_line,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003594,with_methods,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003971,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003971,abstract_only,BiologicalAgent,tissue,0,1,expanded_only_field,0,0,0,0.0,[],"[""skin""]"
PXD003971,abstract_only,BiologicalAgent,cell_type,2,2,semantic_candidate_value_sets,0,0,2,0.0,[],[]
PXD003971,abstract_only,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""normal""]","[""chronic inflammation""]"
PXD003971,abstract_only,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD003971,abstract_only,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD004334,with_methods,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD004334,with_methods,BiologicalAgent,tissue,1,0,earlier_only_field,0,0,0,0.0,"[""eye""]",[]
PXD004334,with_methods,BiologicalAgent,cell_type,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""retinal pigment epithelial cells""]","[""epithelial cell""]"
PXD004334,with_methods,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""normal""]","[""disease free""]"
PXD004334,with_methods,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD004334,with_methods,BiologicalAgent,cell_line,3,0,earlier_only_field,0,0,0,0.0,"[""kdm3anull"", ""rpe1wt"", ""rpe1wtcr""]",[]
PXD004334,with_methods,BiologicalAgent,material_type,1,1,semantic_candidate_value_sets,0,0,1,0.0,[],[]
PXD004626,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD004626,abstract_only,BiologicalAgent,tissue,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""melanoma""]","[""blood""]"
PXD004626,abstract_only,BiologicalAgent,disease_state,2,2,equivalent_value_sets,2,2,2,1.0,[],[]
PXD004626,abstract_only,BiologicalAgent,sample_source,1,2,no_accepted_overlap_review,0,0,0,0.0,"[""patients""]","[""healthy volunteers"", ""melanoma patients""]"
PXD004626,abstract_only,BiologicalAgent,material_type,0,1,expanded_only_field,0,0,0,0.0,[],"[""biofluid""]"
PXD005045,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD005045,abstract_only,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD005045,abstract_only,BiologicalAgent,cell_type,1,3,partial_overlap,0,0,1,0.0,[],"[""extravillous trophoblasts"", ""villous trophoblasts""]"
PXD005045,abstract_only,BiologicalAgent,disease_state,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD005045,abstract_only,BiologicalAgent,sample_source,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD005045,abstract_only,BiologicalAgent,cell_line,2,2,equivalent_value_sets,2,2,2,1.0,[],[]
PXD005045,abstract_only,BiologicalAgent,material_type,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD005301,abstract_only,BiologicalAgent,species,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD005301,abstract_only,BiologicalAgent,tissue,1,1,equivalent_value_sets,1,1,1,1.0,[],[]
PXD005301,abstract_only,BiologicalAgent,cell_type,1,2,partial_overlap,0,1,1,0.0,[],"[""epidermoid carcinoma cell""]"
