pxd,agent,field,earlier,expanded,category,similarity,earlier_id,expanded_id,hops
PXD000004,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD000004,BiologicalAgent,species,mus musculus,mus musculus,EXACT_LEXICAL,1.0,,,
PXD000004,BiologicalAgent,tissue,brain,brain,EXACT_LEXICAL,1.0,,,
PXD000004,BiologicalAgent,material_type,tissue,tissue,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,tissue,colon,colon,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,cell_type,colon epithelial cell,colon epithelial cell,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,disease_state,colorectal adenoma,colorectal adenoma,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,disease_state,colorectal cancer,colorectal cancer,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,disease_state,normal,normal,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,sample_source,colonoscopy tissue,colonoscopy sample,SEMANTIC_CANDIDATE,0.7979241609573364,,,
PXD000445,BiologicalAgent,cell_line,caco2,caco2,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,cell_line,cx1,cx1,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,cell_line,hcec,hcec,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,cell_line,ht29,ht29,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,cell_line,sw480,sw480,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,cell_line,sw620,sw620,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD000445,BiologicalAgent,material_type,tissue,tissue,EXACT_LEXICAL,1.0,,,
PXD001326,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD001326,BiologicalAgent,tissue,breast,breast,EXACT_LEXICAL,1.0,,,
PXD001326,BiologicalAgent,disease_state,breast adenocarcinoma,breast adenocarcinoma,EXACT_LEXICAL,1.0,,,
PXD001326,BiologicalAgent,sample_source,tumor biopsy,tumor biopsy,EXACT_LEXICAL,1.0,,,
PXD001326,BiologicalAgent,cell_line,zr-75-1,zr-75-1,EXACT_LEXICAL,1.0,,,
PXD001326,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD001326,BiologicalAgent,material_type,tissue,tissue,EXACT_LEXICAL,1.0,,,
PXD001419,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD001419,BiologicalAgent,tissue,blood,blood,EXACT_LEXICAL,1.0,,,
PXD001419,BiologicalAgent,cell_type,pbmcs,peripheral blood mononuclear cell,SEMANTIC_CANDIDATE,0.7629453539848328,,CL:2000001,
PXD001524,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD001524,BiologicalAgent,tissue,testis,testis,EXACT_LEXICAL,1.0,,,
PXD001524,BiologicalAgent,cell_type,testicular cell,testicular cells,SEMANTIC_CANDIDATE,0.987932026386261,,,
PXD001524,BiologicalAgent,disease_state,normal,normal,EXACT_LEXICAL,1.0,,,
PXD001524,BiologicalAgent,sample_source,human cadaveric testicular tissue,human cadaveric testicular tissue,EXACT_LEXICAL,1.0,,,
PXD001524,BiologicalAgent,material_type,tissue,tissue,EXACT_LEXICAL,1.0,,,
PXD001985,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD001985,BiologicalAgent,tissue,lung,lung,EXACT_LEXICAL,1.0,,,
PXD001985,BiologicalAgent,disease_state,cystic fibrosis,cystic fibrosis,EXACT_LEXICAL,1.0,,,
PXD001985,BiologicalAgent,sample_source,sputum,sputum sample,SEMANTIC_CANDIDATE,0.9109786748886108,BTO:0001297,,
PXD001985,BiologicalAgent,material_type,biofluid,biofluid,EXACT_LEXICAL,1.0,,,
PXD002354,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD002354,BiologicalAgent,cell_type,fibroblast,fibroblast,EXACT_LEXICAL,1.0,,,
PXD002354,BiologicalAgent,disease_state,normal,normal,EXACT_LEXICAL,1.0,,,
PXD002354,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD002354,BiologicalAgent,material_type,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD002687,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD002687,BiologicalAgent,tissue,cervix,cervix,EXACT_LEXICAL,1.0,,,
PXD002687,BiologicalAgent,cell_type,epithelial cell,epithelial cell,EXACT_LEXICAL,1.0,,,
PXD002687,BiologicalAgent,disease_state,cervical adenocarcinoma,cervical adenocarcinoma,EXACT_LEXICAL,1.0,,,
PXD002687,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD002687,BiologicalAgent,cell_line,hela,hela,EXACT_LEXICAL,1.0,,,
PXD002687,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD003053,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD003053,BiologicalAgent,disease_state,normal,normal,EXACT_LEXICAL,1.0,,,
PXD003053,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD003293,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD003293,BiologicalAgent,tissue,lung,lung,EXACT_LEXICAL,1.0,,,
PXD003293,BiologicalAgent,cell_type,epithelial cell,epithelial cell,EXACT_LEXICAL,1.0,,,
PXD003293,BiologicalAgent,disease_state,normal,normal,EXACT_LEXICAL,1.0,,,
PXD003293,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD003293,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD003408,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD003408,BiologicalAgent,cell_type,endothelial cell,endothelial cell,EXACT_LEXICAL,1.0,,,
PXD003408,BiologicalAgent,cell_type,fibroblast,fibroblast,EXACT_LEXICAL,1.0,,,
PXD003408,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD003408,BiologicalAgent,material_type,primary cells,primary cells,EXACT_LEXICAL,1.0,,,
PXD003416,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD003416,BiologicalAgent,cell_type,endothelial cell,endothelial cell,EXACT_LEXICAL,1.0,,,
PXD003416,BiologicalAgent,cell_type,fibroblast,fibroblast,EXACT_LEXICAL,1.0,,,
PXD003416,BiologicalAgent,disease_state,inflammation,inflammation,EXACT_LEXICAL,1.0,,,
PXD003416,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD003416,BiologicalAgent,material_type,primary cells,primary cells,EXACT_LEXICAL,1.0,,,
PXD003594,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD003594,BiologicalAgent,tissue,breast,breast,EXACT_LEXICAL,1.0,,,
PXD003594,BiologicalAgent,cell_type,epithelial cell,epithelial cell,EXACT_LEXICAL,1.0,,,
PXD003594,BiologicalAgent,disease_state,breast carcinoma,breast cancer,EXPANDED_BROADER,0.9,MONDO:0004989,MONDO:0007254,1
PXD003594,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD003594,BiologicalAgent,cell_line,mcf7,mcf7,EXACT_LEXICAL,1.0,,,
PXD003594,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD003971,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD003971,BiologicalAgent,cell_type,fibroblasts,fibroblast,SEMANTIC_CANDIDATE,0.9647287130355835,,CL:0000057,
PXD003971,BiologicalAgent,cell_type,mesenchymal stem cells,human mesenchymal stem cells,SEMANTIC_CANDIDATE,0.9431499242782593,,,
PXD003971,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD003971,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD004334,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD004334,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD004334,BiologicalAgent,material_type,cell line,cell culture,SEMANTIC_CANDIDATE,0.7742264270782471,,,
PXD004626,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD004626,BiologicalAgent,disease_state,cachexia,cachexia,EXACT_LEXICAL,1.0,,,
PXD004626,BiologicalAgent,disease_state,metastatic melanoma,metastatic melanoma,EXACT_LEXICAL,1.0,,,
PXD005045,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD005045,BiologicalAgent,tissue,placenta,placenta,EXACT_LEXICAL,1.0,,,
PXD005045,BiologicalAgent,cell_type,trophoblast,trophoblastic cell,SEMANTIC_CANDIDATE,0.9091047644615173,,CL:0000351,
PXD005045,BiologicalAgent,disease_state,normal,normal,EXACT_LEXICAL,1.0,,,
PXD005045,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD005045,BiologicalAgent,cell_line,bewo,bewo,EXACT_LEXICAL,1.0,,,
PXD005045,BiologicalAgent,cell_line,htr8/svneo,htr8/svneo,EXACT_LEXICAL,1.0,,,
PXD005045,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD005301,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD005301,BiologicalAgent,tissue,skin,skin,EXACT_LEXICAL,1.0,,,
PXD005301,BiologicalAgent,cell_type,epithelial cell,squamous epithelial cell,EXPANDED_NARROWER,0.9,CL:0000066,CL:0000076,1
PXD005301,BiologicalAgent,disease_state,squamous cell carcinoma,skin squamous cell carcinoma,EXPANDED_NARROWER,0.9,MONDO:0005096,MONDO:0002529,1
PXD005301,BiologicalAgent,sample_source,cell culture,cell culture,EXACT_LEXICAL,1.0,,,
PXD005301,BiologicalAgent,cell_line,a431,a431,EXACT_LEXICAL,1.0,,,
PXD005301,BiologicalAgent,material_type,cell line,cell line,EXACT_LEXICAL,1.0,,,
PXD005544,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD005544,BiologicalAgent,tissue,breast,breast,EXACT_LEXICAL,1.0,,,
PXD005544,BiologicalAgent,disease_state,triple-negative breast cancer,breast cancer,EXPANDED_BROADER,0.9,MONDO:0005494,MONDO:0007254,4
PXD005753,BiologicalAgent,species,homo sapiens,homo sapiens,EXACT_LEXICAL,1.0,,,
PXD005753,BiologicalAgent,species,mus musculus,mus musculus,EXACT_LEXICAL,1.0,,,
PXD005753,BiologicalAgent,tissue,brain,brain,EXACT_LEXICAL,1.0,,,
PXD005753,BiologicalAgent,disease_state,huntington's disease,huntington disease,ONTOLOGY_EQUIVALENT,1.0,MONDO:0007739,MONDO:0007739,0
PXD005753,BiologicalAgent,sample_source,mouse brain,mouse brain,EXACT_LEXICAL,1.0,,,
PXD005753,BiologicalAgent,strain,ki q175,ki q175,EXACT_LEXICAL,1.0,,,
PXD005753,BiologicalAgent,material_type,tissue,tissue,EXACT_LEXICAL,1.0,,,
PXD006114,BiologicalAgent,tissue,lung,lung,EXACT_LEXICAL,1.0,,,
PXD006114,BiologicalAgent,cell_type,epithelial cell,epithelial cell,EXACT_LEXICAL,1.0,,,
PXD006114,BiologicalAgent,disease_state,non-small cell lung cancer,nsclc,ONTOLOGY_EQUIVALENT,1.0,MONDO:0005233,MONDO:0005233,0
