field,value,ontology_id
acquisition_method,affinity purification coupled with mass spectrometry proteomics,
acquisition_method,all-ion fragmentation,
acquisition_method,ap-ms,
acquisition_method,"at dda mode, full ms scans were acquired in the mass range of 350 to 1650 m/z with a mass resolution of 120,000, and the agc target value was set at 3 × 106 with a maximum injection time of 100 ms.",
acquisition_method,"at dia mode, full ms scans were acquired in the mass range of 350 to 1250 m/z with a mass resolution of 120,000, and the agc target value was set at 3 × 106.",
acquisition_method,bottom-up proteomics,MS:1003355
acquisition_method,chopin,
acquisition_method,continuum mode,
acquisition_method,data dependent,
acquisition_method,data dependent acquisition,
acquisition_method,data dependent acquisition (dda),
acquisition_method,data dependent manner,
acquisition_method,data dependent mode,
acquisition_method,data dependent selection of the top 10 precursors,
acquisition_method,data independent acquisition,
acquisition_method,data independent acquisition (dia),
acquisition_method,data independent acquisition (dia) proteomics,
acquisition_method,data independent acquisition mode (dia),
acquisition_method,data independent acquisition strategy,
acquisition_method,data independent mode,
acquisition_method,data-dependant mode,
acquisition_method,data-depended acquisition,
acquisition_method,data-depended acquisition mode,
acquisition_method,data-dependent,
acquisition_method,data-dependent (ddms2) top 10 scan mode,
acquisition_method,data-dependent acquisition,MS:1003221
acquisition_method,data-dependent acquisition (dda),
acquisition_method,data-dependent acquisition (topn15),
acquisition_method,data-dependent acquisition mode,
acquisition_method,data-dependent acquisition mode (dda),
acquisition_method,data-dependent acquisition mode in sps ms3 (ft-it-hcd-ft-hcd) method,
acquisition_method,"data-dependent acquisition of mass spectra was carried out by performing a full scan from 400 to 1600 m/z at a resolution of 120,000",
acquisition_method,data-dependent acquisition-parallel accumulation–serial fragmentation,
acquisition_method,data-dependent analysis,
acquisition_method,data-dependent analysis was performed on an orbitrap eclipse operated in positive ionization mode,
acquisition_method,data-dependent bottom up,
acquisition_method,data-dependent experiment,
acquisition_method,data-dependent manner,
acquisition_method,data-dependent mode,
acquisition_method,data-dependent ms/ms,
acquisition_method,data-dependent ms/ms method,
acquisition_method,data-dependent ms/ms scan method,
acquisition_method,data-dependent pasef acquisition,
acquisition_method,data-dependent synchronous precursor selection (sps)-based ms3,
acquisition_method,data-dependent tandem mass spectrometry,
acquisition_method,data-dependent top 10 method,
acquisition_method,data-dependent top 10 or top 15 mode,
