pxd,cohort,agent,field,old_count,new_count,status,equivalent_pairs,hierarchical_inclusive_pairs,semantic_inclusive_pairs,equivalent_jaccard,unmatched_earlier,unmatched_expanded
PXD000004,abstract_only,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""neuropsychiatric disease""]","[""normal""]"
PXD000004,abstract_only,BiologicalAgent,sample_source,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""postmortem brain tissue""]","[""human brain tissue""]"
PXD001326,abstract_only,BiologicalAgent,cell_type,2,3,no_accepted_overlap_review,0,0,0,0.0,"[""epithelial cell"", ""fibroblast""]","[""cancer-associated fibroblasts"", ""mammary carcinoma cell"", ""primary human mammary fibroblasts""]"
PXD001419,abstract_only,BiologicalAgent,sample_source,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""cell culture""]","[""healthy volunteers""]"
PXD001419,abstract_only,BiologicalAgent,material_type,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""cell culture""]","[""primary cells""]"
PXD003053,abstract_only,BiologicalAgent,cell_type,2,1,no_accepted_overlap_review,0,0,0,0.0,"[""human proteins"", ""mammalian cells""]","[""kidney cell""]"
PXD003053,abstract_only,BiologicalAgent,material_type,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""cell lysate""]","[""cell line""]"
PXD003408,abstract_only,BiologicalAgent,tissue,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""blood""]","[""umbilical vein""]"
PXD003408,abstract_only,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""inflammation""]","[""normal""]"
PXD003416,abstract_only,BiologicalAgent,tissue,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""blood""]","[""skin""]"
PXD003971,abstract_only,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""normal""]","[""chronic inflammation""]"
PXD004334,with_methods,BiologicalAgent,cell_type,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""retinal pigment epithelial cells""]","[""epithelial cell""]"
PXD004334,with_methods,BiologicalAgent,disease_state,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""normal""]","[""disease free""]"
PXD004626,abstract_only,BiologicalAgent,tissue,1,1,no_accepted_overlap_review,0,0,0,0.0,"[""melanoma""]","[""blood""]"
PXD004626,abstract_only,BiologicalAgent,sample_source,1,2,no_accepted_overlap_review,0,0,0,0.0,"[""patients""]","[""healthy volunteers"", ""melanoma patients""]"
