field,earlier,expanded,category,similarity,earlier_id,expanded_id,hops
BMI,18.0 to 25.0,18.0 to 25.0,EXACT_LEXICAL,1.0,,,
BMI,23.5 ± 1.7 kg/m2,23.5,UNRESOLVED_NUMERIC,0.0,,,
BMI,25 to 35 kg/m2,between 25 and 35 kg/m2,UNRESOLVED_NUMERIC,0.0,,,
BMI,25–35 kg/m2,25-35 kg/m2,UNRESOLVED_NUMERIC,0.0,,,
BMI,25–35 kg/m2,≤ 35 kg/m2,UNRESOLVED_NUMERIC,0.0,,,
BMI,26 kg/m2,26,UNRESOLVED_NUMERIC,0.0,,,
BMI,28,28 kg/m2,UNRESOLVED_NUMERIC,0.0,,,
BMI,29.8,29.8,EXACT_LEXICAL,1.0,,,
BMI,>35 kg/m2,between 25 and 35 kg/m2,UNRESOLVED_NUMERIC,0.0,,,
acquisition_method,ap-ms,data-dependent acquisition,UNRESOLVED,0.3269321620464325,,MS:1003221,
acquisition_method,ap-ms,dda,UNRESOLVED,0.3643963932991028,,MS:1003221,
acquisition_method,chopin,dda,UNRESOLVED,0.47266340255737305,,MS:1003221,
acquisition_method,chopin,shotgun proteomics,UNRESOLVED,0.3459697365760803,,,
acquisition_method,continuum mode,dda,UNRESOLVED,0.3207886815071106,,MS:1003221,
acquisition_method,continuum mode,gel-based experiment,UNRESOLVED,0.38624119758605957,,,
acquisition_method,data dependent,dda,UNRESOLVED,0.45318302512168884,,MS:1003221,
acquisition_method,data dependent acquisition,data-dependent acquisition,SEMANTIC_CANDIDATE,0.9867025017738342,,MS:1003221,
acquisition_method,data dependent acquisition,dda,UNRESOLVED,0.521782398223877,,MS:1003221,
acquisition_method,data dependent manner,dda,UNRESOLVED,0.4236408770084381,,MS:1003221,
acquisition_method,data dependent manner,shotgun proteomics,UNRESOLVED,0.38288038969039917,,,
acquisition_method,data dependent mode,dda,UNRESOLVED,0.48203253746032715,,MS:1003221,
acquisition_method,data dependent mode,shotgun proteomics,UNRESOLVED,0.39584535360336304,,,
acquisition_method,data independent acquisition,dda,UNRESOLVED,0.488857626914978,,MS:1003221,
acquisition_method,data independent acquisition,dia,UNRESOLVED,0.6365189552307129,,MS:1003215,
acquisition_method,data independent acquisition,dia-gpf,UNRESOLVED,0.44059324264526367,,,
acquisition_method,data independent acquisition strategy,data-independent acquisition,SEMANTIC_CANDIDATE,0.9395950436592102,,MS:1003215,
acquisition_method,data independent acquisition strategy,dia,UNRESOLVED,0.6490626335144043,,MS:1003215,
acquisition_method,data-depended acquisition,data-depended acquisition mode,SEMANTIC_CANDIDATE,0.9077835083007812,,,
acquisition_method,data-depended acquisition,data-dependent acquisition,SEMANTIC_CANDIDATE,0.9740570783615112,,MS:1003221,
acquisition_method,data-dependent,data-dependent,EXACT_LEXICAL,1.0,,,
acquisition_method,data-dependent,data-dependent acquisition,SEMANTIC_CANDIDATE,0.8220669031143188,,MS:1003221,
acquisition_method,data-dependent,data-dependent bottom up,SEMANTIC_CANDIDATE,0.7848144173622131,,,
acquisition_method,data-dependent,dda,UNRESOLVED,0.4637283682823181,,MS:1003221,
acquisition_method,data-dependent,dia,UNRESOLVED,0.5456854701042175,,MS:1003215,
acquisition_method,data-dependent,shotgun proteomics,UNRESOLVED,0.40204674005508423,,,
acquisition_method,data-dependent (ddms2) top 10 scan mode,data-dependent acquisition,UNRESOLVED,0.5477467775344849,,MS:1003221,
acquisition_method,data-dependent (ddms2) top 10 scan mode,dda,UNRESOLVED,0.4656065106391907,,MS:1003221,
acquisition_method,data-dependent acquisition,bottom-up proteomics,UNRESOLVED,0.3840952515602112,MS:1003221,MS:1003355,
acquisition_method,data-dependent acquisition,data dependent acquisition,SEMANTIC_CANDIDATE,0.9867025017738342,MS:1003221,,
acquisition_method,data-dependent acquisition,data-dependent acquisition,EXACT_LEXICAL,1.0,,,
acquisition_method,data-dependent acquisition,data-dependent acquisition mode,SEMANTIC_CANDIDATE,0.9166664481163025,MS:1003221,,
acquisition_method,data-dependent acquisition,data-dependent acquisition-parallel accumulation–serial fragmentation,SEMANTIC_CANDIDATE,0.7427066564559937,MS:1003221,,
acquisition_method,data-dependent acquisition,data-independent acquisition,SEMANTIC_CANDIDATE,0.930057942867279,MS:1003221,MS:1003215,
acquisition_method,data-dependent acquisition,dda,ONTOLOGY_EQUIVALENT,1.0,MS:1003221,MS:1003221,0
acquisition_method,data-dependent acquisition,shotgun proteomics,UNRESOLVED,0.46292126178741455,MS:1003221,,
acquisition_method,data-dependent acquisition (dda),bottom-up proteomics,UNRESOLVED,0.36585354804992676,,MS:1003355,
acquisition_method,data-dependent acquisition (dda),data-dependent acquisition,SEMANTIC_CANDIDATE,0.9408087134361267,,MS:1003221,
