pxd,cohort,manuscript_fields,manuscript_values,pride_fields,pride_values,combined_fields,combined_values
PXD000004,abstract_only,10,12,10,12,15,18
PXD000445,abstract_only,14,23,16,35,18,32
PXD001000,abstract_only,1,1,17,25,14,21
PXD001326,abstract_only,9,11,21,25,21,29
PXD001419,abstract_only,10,10,27,34,26,31
PXD001524,abstract_only,9,9,19,27,21,23
PXD001985,abstract_only,9,10,21,37,24,36
PXD002354,abstract_only,11,11,11,19,13,20
PXD002687,with_methods,25,30,21,25,26,30
PXD003053,abstract_only,10,11,24,27,22,23
PXD003293,with_methods,29,37,12,12,27,40
PXD003408,abstract_only,14,16,24,32,26,32
PXD003416,abstract_only,14,15,26,32,29,35
PXD003594,with_methods,21,24,17,21,25,36
PXD003971,abstract_only,8,9,25,27,27,35
PXD004334,with_methods,18,22,14,18,20,25
PXD004626,abstract_only,12,14,16,23,19,25
PXD005045,abstract_only,12,13,23,25,25,30
PXD005301,abstract_only,12,12,26,38,23,31
PXD005544,abstract_only,13,13,21,25,23,25
PXD005753,with_methods,21,33,19,23,17,32
PXD006114,with_methods,30,51,15,20,25,43
PXD006299,abstract_only,9,9,26,36,20,39
PXD006447,with_methods,22,24,18,22,25,31
PXD006571,abstract_only,12,17,22,34,21,26
PXD006607,abstract_only,7,8,21,27,21,24
PXD006770,abstract_only,8,12,17,33,20,36
PXD006897,abstract_only,8,12,11,11,12,16
PXD007149,abstract_only,6,6,17,18,16,27
PXD007270,with_methods,24,39,22,22,23,29
PXD007643,abstract_only,10,16,19,27,20,26
PXD007738,with_methods,24,38,13,13,23,37
PXD007842,abstract_only,8,8,22,39,24,32
PXD007959,with_methods,21,24,18,21,23,28
PXD008076,abstract_only,8,9,14,17,15,21
PXD008178,with_methods,23,36,26,30,27,32
PXD008333,abstract_only,11,13,17,22,19,25
PXD008468,abstract_only,11,12,22,29,24,33
PXD008581,abstract_only,1,1,14,24,15,19
PXD008719,abstract_only,11,15,18,29,19,25
PXD008918,with_methods,18,19,16,17,16,19
PXD008980,with_methods,21,26,28,36,29,35
PXD009095,with_methods,26,32,16,19,26,35
PXD009161,abstract_only,12,12,15,17,17,17
PXD009241,with_methods,28,40,27,35,27,36
PXD009300,with_methods,16,17,13,14,17,18
PXD009350,with_methods,28,36,14,27,25,34
PXD009426,abstract_only,7,10,21,34,21,32
PXD009500,with_methods,24,26,17,18,22,27
PXD009578,with_methods,18,40,15,21,24,36
PXD009646,abstract_only,13,13,16,27,19,36
PXD009760,abstract_only,8,11,16,23,18,23
PXD009839,abstract_only,5,5,14,19,16,20
PXD009900,with_methods,15,15,14,17,18,29
