model,arm,n_inference_runs,n_pxds,fields_per_pxd_mean,fields_per_pxd_sd_across_pxds,unknown_rate
qwen3_8_27b,S0,1,30,8.033333333333333,5.410611115546761,0.7885964912280702
qwen3_8_27b,S1,1,30,19.1,4.474833843958285,0.49736842105263157
qwen3_8_27b,S2,1,30,25.066666666666666,4.733835168475857,0.34035087719298246
qwen3_8_27b,S3,1,30,24.766666666666666,4.384009606500088,0.3482456140350877
qwen3_8_27b,S4,1,30,25.033333333333335,4.951372734305406,0.3412280701754386
qwen3_8_27b,S5,1,30,24.833333333333332,4.616935342196487,0.34649122807017546
gemma4_31b,S0,1,30,10.166666666666666,3.0295479728072023,0.7324561403508771
gemma4_31b,S1,1,30,20.266666666666666,5.264934969198106,0.4666666666666667
gemma4_31b,S2,1,30,24.366666666666667,4.649681734257202,0.3587719298245614
gemma4_31b,S3,1,30,24.333333333333332,4.736747999334079,0.35964912280701755
gemma4_31b,S4,1,30,24.233333333333334,4.688087127980903,0.362280701754386
gemma4_31b,S5,1,30,24.366666666666667,4.604969829047394,0.3587719298245614
glm4_7,S0,1,30,3.3666666666666667,5.365813453987056,0.9114035087719298
glm4_7,S1,1,30,15.866666666666667,5.02911065925065,0.5824561403508772
glm4_7,S2,1,30,23.366666666666667,4.429395018496889,0.3850877192982456
glm4_7,S3,1,30,23.533333333333335,4.644116287514129,0.38070175438596493
glm4_7,S4,1,30,23.666666666666668,4.765778391633513,0.37719298245614036
glm4_7,S5,1,30,23.7,4.706195476397997,0.3763157894736842
