model,arm,agent,field,n_pxds,unknown_rate
qwen3_8_27b,S0,BiologicalAgent,BMI,30,1.0
qwen3_8_27b,S0,BiologicalAgent,age,30,0.7666666666666667
qwen3_8_27b,S0,BiologicalAgent,anatomic_site_tumor,30,0.9666666666666667
qwen3_8_27b,S0,BiologicalAgent,cell_line,30,0.7666666666666667
qwen3_8_27b,S0,BiologicalAgent,cell_type,30,0.9
qwen3_8_27b,S0,BiologicalAgent,developmental_stage,30,0.9666666666666667
qwen3_8_27b,S0,BiologicalAgent,disease_state,30,0.7
qwen3_8_27b,S0,BiologicalAgent,ethnicity,30,1.0
qwen3_8_27b,S0,BiologicalAgent,material_type,30,1.0
qwen3_8_27b,S0,BiologicalAgent,sample_source,30,0.9
qwen3_8_27b,S0,BiologicalAgent,sex,30,0.9
qwen3_8_27b,S0,BiologicalAgent,species,30,0.26666666666666666
qwen3_8_27b,S0,BiologicalAgent,strain,30,0.6
qwen3_8_27b,S0,BiologicalAgent,tissue,30,0.5666666666666667
qwen3_8_27b,S0,ExperimentalDesignAgent,biological_replicate,30,0.9666666666666667
qwen3_8_27b,S0,ExperimentalDesignAgent,experimental_design,30,0.9333333333333333
qwen3_8_27b,S0,ExperimentalDesignAgent,factor_value,30,0.9666666666666667
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_biological_replicates,30,0.6666666666666666
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_fractions,30,0.9
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_samples,30,1.0
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_technical_replicates,30,0.9333333333333333
qwen3_8_27b,S0,ExperimentalDesignAgent,technical_replicate,30,0.8666666666666667
qwen3_8_27b,S0,ExperimentalDesignAgent,technology_type,30,1.0
qwen3_8_27b,S0,TechnicalAgent,acquisition_method,30,0.7666666666666667
qwen3_8_27b,S0,TechnicalAgent,alkylation_concentration,30,1.0
qwen3_8_27b,S0,TechnicalAgent,alkylation_reagent,30,0.7
qwen3_8_27b,S0,TechnicalAgent,cleavage_agent,30,0.3
qwen3_8_27b,S0,TechnicalAgent,collision_energy,30,0.6
qwen3_8_27b,S0,TechnicalAgent,enrichment_method,30,0.6333333333333333
qwen3_8_27b,S0,TechnicalAgent,fractionation_method,30,0.9666666666666667
qwen3_8_27b,S0,TechnicalAgent,fragmentation_method,30,0.6333333333333333
qwen3_8_27b,S0,TechnicalAgent,instrument,30,0.2
qwen3_8_27b,S0,TechnicalAgent,ionization_type,30,0.7666666666666667
qwen3_8_27b,S0,TechnicalAgent,labeling,30,0.8666666666666667
qwen3_8_27b,S0,TechnicalAgent,mass_analyzer,30,0.8666666666666667
