model,model_dir,arm,non_unknown_fields_mean,non_unknown_fields_sd_across_replicates,slots,unanimity_all_slots,unanimity_informative_slots,n_informative_slots
Gemma 4 31B,gemma4_31b,S0,9.355555555555556,0.3024590575292488,228,0.4605263157894737,0.4605263157894737,228
Gemma 4 31B,gemma4_31b,S1,16.72222222222222,0.09622504486493626,960,0.8427083333333333,0.7096153846153846,520
Gemma 4 31B,gemma4_31b,S2,20.4,0.20275875100994054,960,0.8677083333333333,0.7971246006389776,626
Gemma 4 31B,gemma4_31b,S3,20.377777777777776,0.06938886664887056,960,0.8854166666666666,0.8234349919743178,623
Gemma 4 31B,gemma4_31b,S4,20.355555555555554,0.13471506281091236,960,0.8666666666666667,0.79585326953748,627
Gemma 4 31B,gemma4_31b,S5,20.233333333333334,0.09999999999999964,960,0.8708333333333333,0.7993527508090615,618
GLM-4.7,glm4_7,S0,9.375,1.27212922189597,43,0.5116279069767442,0.5116279069767442,43
GLM-4.7,glm4_7,S1,13.022222222222222,0.15396007178389964,960,0.953125,0.8880597014925373,402
GLM-4.7,glm4_7,S2,20.81111111111111,0.08388704928078487,960,0.9291666666666667,0.8918918918918919,629
GLM-4.7,glm4_7,S3,20.833333333333332,0.12018504251546687,960,0.9239583333333333,0.8850393700787401,635
GLM-4.7,glm4_7,S4,20.91111111111111,0.15030832509409686,960,0.9260416666666667,0.8885400313971743,637
GLM-4.7,glm4_7,S5,20.955555555555556,0.15752718754175407,960,0.921875,0.8826291079812206,639
Qwen3.8-27B,qwen3_8_27b,S0,7.425287356321839,0.569595198476884,92,0.20652173913043478,0.20652173913043478,92
Qwen3.8-27B,qwen3_8_27b,S1,15.577777777777778,0.1677740985615716,960,0.6895833333333333,0.44712430426716143,539
Qwen3.8-27B,qwen3_8_27b,S2,21.322222222222223,0.08388704928078487,960,0.6822916666666666,0.566145092460882,703
Qwen3.8-27B,qwen3_8_27b,S3,21.244444444444444,0.09622504486493831,960,0.690625,0.5738880918220947,697
Qwen3.8-27B,qwen3_8_27b,S4,21.31111111111111,0.24570382652773193,960,0.6916666666666667,0.5703918722786647,689
Qwen3.8-27B,qwen3_8_27b,S5,21.266666666666666,0.2962731472438529,960,0.6833333333333333,0.5625899280575539,695
