field,S0,S1,S2,S3,S4,S5,agent
strain,0.37777777777777777,1.0,1.0,1.0,1.0,1.0,BiologicalAgent
species,0.6790123456790124,0.9958847736625515,0.9753086419753086,0.9753086419753086,0.9794238683127572,0.9794238683127572,BiologicalAgent
disease,0.40404040404040403,0.9090909090909091,0.8787878787878788,0.8686868686868687,0.898989898989899,0.8686868686868687,BiologicalAgent
organ,0.5925925925925926,0.7555555555555555,0.7703703703703704,0.762962962962963,0.7851851851851852,0.7481481481481481,BiologicalAgent
cell_line,0.5,0.7361111111111112,0.6944444444444444,0.7083333333333334,0.6944444444444444,0.6944444444444444,BiologicalAgent
cell_type,0.12698412698412698,0.31746031746031744,0.4603174603174603,0.4603174603174603,0.47619047619047616,0.4603174603174603,BiologicalAgent
replicates,0.28888888888888886,0.5722222222222222,0.7277777777777777,0.7388888888888889,0.75,0.7444444444444445,ExperimentalDesignAgent
number_of_samples,0.022222222222222223,0.2222222222222222,0.6666666666666666,0.6333333333333333,0.6777777777777778,0.6333333333333333,ExperimentalDesignAgent
technical_replicates,0.14814814814814814,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,ExperimentalDesignAgent
fractions,0.012345679012345678,0.1111111111111111,0.2222222222222222,0.20987654320987653,0.2345679012345679,0.2345679012345679,ExperimentalDesignAgent
factor_value,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,ExperimentalDesignAgent
collision_energy,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,TechnicalAgent
reduction_reagent,0.4888888888888889,1.0,1.0,1.0,1.0,1.0,TechnicalAgent
instrument,0.6767676767676768,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,TechnicalAgent
label,0.15873015873015872,0.5343915343915344,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,TechnicalAgent
cleavage_agent,0.5882352941176471,0.8823529411764706,0.8823529411764706,0.8758169934640523,0.8823529411764706,0.8758169934640523,TechnicalAgent
